Callsign,Product__c,Status,Type__c,Licence_Version.LastModifiedDate,Licence_Version.Original_start_date__c
20AAA,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20AAB,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20AAC,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20AAD,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20AAE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,30/07/2016
20AAF,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,31/07/2016
20AAG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,01/08/2016
20AAH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,02/04/2026,02/08/2016
20AAI,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20AAJ,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20AAK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,05/09/1991
20AAL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,30/10/2025,05/08/2016
20AAM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,06/08/2016
20AAN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,06/08/2016
20AAO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,06/08/2016
20AAP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,30/10/2025,24/10/1991
20AAQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,09/08/2016
20AAR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,02/01/2026,09/08/2016
20AAS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,11/08/2016
20AAT,,Reserved,Call Sign - Amateur,,
20AAU,,Reserved,Call Sign - Amateur,,
20AAV,,Reserved,Call Sign - Amateur,,
20AAW,,Reserved,Call Sign - Amateur,,
20AAX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,12/12/1991
20AAY,,Reserved,Call Sign - Amateur,,
20AAZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,13/12/1991
20ABA,,Reserved,Call Sign - Amateur,,
20ABB,,Reserved,Call Sign - Amateur,,
20ABC,,Reserved,Call Sign - Amateur,,
20ABD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,03/01/1992
20ABE,,Reserved,Call Sign - Amateur,,
20ABF,,Reserved,Call Sign - Amateur,,
20ABG,,Reserved,Call Sign - Amateur,,
20ABH,,Reserved,Call Sign - Amateur,,
20ABI,,Reserved,Call Sign - Amateur,,
20ABJ,,Reserved,Call Sign - Amateur,,
20ABK,,Reserved,Call Sign - Amateur,,
20ABL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,20/02/1992
20ABM,,Reserved,Call Sign - Amateur,,
20ABN,,Reserved,Call Sign - Amateur,,
20ABO,,Reserved,Call Sign - Amateur,,
20ABP,,Reserved,Call Sign - Amateur,,
20ABQ,,Reserved,Call Sign - Amateur,,
20ABR,,Reserved,Call Sign - Amateur,,
20ABS,,Reserved,Call Sign - Amateur,,
20ABT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,31/03/1992
20ABU,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20ABV,,Reserved,Call Sign - Amateur,,
20ABW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,14/06/1992
20ABX,,Reserved,Call Sign - Amateur,,
20ABY,,Reserved,Call Sign - Amateur,,
20ACA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,14/06/1992
20ACB,,Reserved,Call Sign - Amateur,,
20ACC,,Reserved,Call Sign - Amateur,,
20ACD,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20ACE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,17/05/1992
20ACF,,Reserved,Call Sign - Amateur,,
20ACG,,Reserved,Call Sign - Amateur,,
20ACH,,Reserved,Call Sign - Amateur,,
20ACI,,Reserved,Call Sign - Amateur,,
20ACJ,,Reserved,Call Sign - Amateur,,
20ACK,,Reserved,Call Sign - Amateur,,
20ACL,,Reserved,Call Sign - Amateur,,
20ACM,,Reserved,Call Sign - Amateur,,
20ACN,,Reserved,Call Sign - Amateur,,
20ACO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,19/06/1992
20ACP,,Reserved,Call Sign - Amateur,,
20ACQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,26/06/2000
20ACR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,28/06/1992
20ACS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,05/07/2005
20ACT,,Reserved,Call Sign - Amateur,,
20ACU,,Reserved,Call Sign - Amateur,,
20ACV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,10/07/1992
20ACW,,Reserved,Call Sign - Amateur,,
20ACX,,Reserved,Call Sign - Amateur,,
20ACY,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20ADA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,05/07/1992
20ADB,,Reserved,Call Sign - Amateur,,
20ADC,,Reserved,Call Sign - Amateur,,
20ADD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/12/2006
20ADE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,07/08/1992
20ADF,,Reserved,Call Sign - Amateur,,
20ADG,,Reserved,Call Sign - Amateur,,
20ADH,,Reserved,Call Sign - Amateur,,
20ADI,,Reserved,Call Sign - Amateur,,
20ADJ,,Reserved,Call Sign - Amateur,,
20ADK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,09/08/2016
20ADL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,16/09/1992
20ADM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,29/07/2016
20ADN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,16/09/1992
20ADO,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20ADP,,Reserved,Call Sign - Amateur,,
20ADQ,,Reserved,Call Sign - Amateur,,
20ADR,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
20ADT,,Reserved,Call Sign - Amateur,,
20ADU,,Reserved,Call Sign - Amateur,,
20ADV,,Reserved,Call Sign - Amateur,,
20ADW,,Reserved,Call Sign - Amateur,,
20ADX,,Reserved,Call Sign - Amateur,,
20ADY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,16/10/2025,02/11/2020
20AEA,,Reserved,Call Sign - Amateur,,
20AEB,,Reserved,Call Sign - Amateur,,
20AEC,,Reserved,Call Sign - Amateur,,
20AED,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,12/11/1992
20AEE,,Reserved,Call Sign - Amateur,,
20AEF,,Reserved,Call Sign - Amateur,,
20AEG,,Reserved,Call Sign - Amateur,,
20AEH,,Reserved,Call Sign - Amateur,,
20AEI,,Reserved,Call Sign - Amateur,,
20AEJ,,Reserved,Call Sign - Amateur,,
20AEK,,Reserved,Call Sign - Amateur,,
20AEL,,Reserved,Call Sign - Amateur,,
20AEM,,Reserved,Call Sign - Amateur,,
20AEN,,Reserved,Call Sign - Amateur,,
20AEO,,Reserved,Call Sign - Amateur,,
20AEP,,Reserved,Call Sign - Amateur,,
20AEQ,,Reserved,Call Sign - Amateur,,
20AER,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/1993
