Value,Status,Product,Call Sign MMSI: Last Modified Date
M7RFT,Allocated,Amateur Foundation Radio Licence,05/11/2022
M3YVL,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7CVI,Allocated,Amateur Foundation Radio Licence,28/01/2022
M6DNO,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7VIK,Allocated,Amateur Foundation Radio Licence,27/10/2022
M3CAB,Allocated,Amateur Foundation Radio Licence,29/01/2022
M7EIE,Allocated,Amateur Foundation Radio Licence,26/10/2021
M6GWB,Allocated,Amateur Foundation Radio Licence,16/11/2019
20LQX,Allocated,Amateur Intermediate Radio Licence,20/01/2022
M6DST,Allocated,Amateur Foundation Radio Licence,31/10/2021
M7FAF,Allocated,Amateur Foundation Radio Licence,16/06/2021
M6DEB,Allocated,Amateur Foundation Radio Licence,10/08/2016
20KPJ,Allocated,Amateur Intermediate Radio Licence,20/01/2022
M6DEZ,Allocated,Amateur Foundation Radio Licence,10/10/2022
M7ISB,Allocated,Amateur Foundation Radio Licence,20/01/2022
M6BJM,Allocated,Amateur Foundation Radio Licence,22/09/2020
20HPW,Allocated,Amateur Intermediate Radio Licence,20/01/2022
M6MGT,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7WOA,Allocated,Amateur Foundation Radio Licence,27/10/2021
M3YVN,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7CMK,Allocated,Amateur Foundation Radio Licence,27/10/2021
M6SMP,Allocated,Amateur Foundation Radio Licence,24/04/2019
20HXP,Allocated,Amateur Intermediate Radio Licence,02/06/2022
M3YVO,Allocated,Amateur Foundation Radio Licence,19/06/2021
M7WDH,Allocated,Amateur Foundation Radio Licence,20/01/2022
M6PUB,Allocated,Amateur Foundation Radio Licence,10/10/2018
20WNL,Allocated,Amateur Intermediate Radio Licence,20/01/2022
M6WET,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7YSL,Allocated,Amateur Foundation Radio Licence,20/01/2022
M6EMS,Allocated,Amateur Foundation Radio Licence,16/03/2020
M7CXG,Allocated,Amateur Foundation Radio Licence,13/02/2022
M6DSK,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7ESO,Allocated,Amateur Foundation Radio Licence,27/10/2021
M6RGN,Reserved,Amateur Foundation Radio Licence,23/07/2016
M0JVS,Allocated,Amateur Full Radio Licence,20/01/2022
M6ATC,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7CNA,Allocated,Amateur Foundation Radio Licence,02/11/2021
M6DRE,Allocated,Amateur Foundation Radio Licence,10/08/2016
20HXQ,Allocated,Amateur Intermediate Radio Licence,04/06/2022
M6PMA,Allocated,Amateur Foundation Radio Licence,23/07/2016
20YQS,Allocated,Amateur Intermediate Radio Licence,02/06/2022
M3YVP,Allocated,Amateur Foundation Radio Licence,23/07/2016
G3SHO,Available,,26/01/2022
M6RDJ,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7HLA,Allocated,Amateur Foundation Radio Licence,20/01/2022
M6PPY,Allocated,Amateur Foundation Radio Licence,16/02/2020
M7DKN,Allocated,Amateur Foundation Radio Licence,01/06/2022
M6YAR,Allocated,Amateur Foundation Radio Licence,27/09/2017
M7FRU,Allocated,Amateur Foundation Radio Licence,20/01/2022
M3SPQ,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7NKT,Allocated,Amateur Foundation Radio Licence,26/01/2022
M6BTM,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7MXP,Allocated,Amateur Foundation Radio Licence,20/01/2022
M6GAV,Allocated,Amateur Foundation Radio Licence,10/08/2016
20KDU,Allocated,Amateur Intermediate Radio Licence,20/01/2022
M6RAL,Allocated,Amateur Foundation Radio Licence,21/06/2021
M7CMM,Allocated,Amateur Foundation Radio Licence,27/10/2021
