Value__c,Product__c,Status__c,Type__c,CreatedDate,LastModifiedDate
M0IVB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,20/01/2019,21/04/2024
M5TX,,Available,Call Sign - Amateur,21/01/2019,21/01/2019
M7ACX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,21/01/2019,03/08/2024
G5YTT,,Allocated,Call Sign - Amateur,22/01/2019,09/05/2024
M0JBL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,23/04/2024
M7ACY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,18/06/2024
M7TUX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
20YOX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,24/06/2024
M0IVC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,14/06/2024
M0IVD,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,23/01/2019,23/01/2019
M7BTW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
M/KNIZ,Amateur Temporary Reciprocal Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,26/01/2019
20STH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,09/06/2024
20FEV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,05/03/2024
M7PEZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
M7AWE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
M7FAB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
M7CFC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
M7MIK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
20MOX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,02/06/2024
20RSY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,15/06/2024
M7MJC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,06/10/2024
M0IVG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,13/06/2024
M7GAK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,06/06/2024
M7PMO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,16/06/2024
20UKE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
M7JDL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,19/06/2024
M7MCD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,23/01/2019,21/04/2024
M0XBC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,16/06/2024
G6EFW,,Allocated,Call Sign - Amateur,24/01/2019,20/06/2024
M7DJN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,23/06/2024
20VVX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,20/12/2024
20FEZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,01/05/2024
M7ACZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,22/04/2024
M7RSB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,27/06/2024
20YWH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,22/04/2024
M7JPM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,23/06/2024
M7RJE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,22/04/2024
20LXY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,24/01/2019,17/06/2024
M7PCO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,25/01/2019,22/04/2024
M7RMD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,25/01/2019,22/04/2024
M7AYA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,26/01/2019,22/04/2024
M0WGR,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,27/01/2019,22/04/2024
M7KTI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,28/01/2019,19/06/2024
M7IGG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,09/08/2024
M7ADA,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur,29/01/2019,10/09/2019
M7ADB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,22/04/2024
20RIV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,12/05/2024
M0WCN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,14/06/2024
M5GB,,Allocated,Call Sign - Amateur,29/01/2019,22/04/2024
M7ECB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,22/04/2024
M7JKM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,22/04/2024
M7JAM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,22/04/2024
M0IVH,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,29/01/2019,18/01/2022
M7TTM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,15/06/2024
M7BBC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,22/04/2024
M0IVI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,29/01/2019,16/10/2024
M0NWF,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,18/06/2024
20OMR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,20/03/2025
20XLI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,19/06/2024
M7MGY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,06/02/2025
M7BMS,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,22/04/2024
M7HPL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,14/12/2024
G8OEB,,Allocated,Call Sign - Amateur,30/01/2019,22/04/2024
M7ALC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,22/04/2024
20FFB,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,30/01/2019,25/02/2024
M7PVM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/01/2019,22/04/2024
