callsign,parse_status,prefix_series,rsl,suffix,home_callsign,implied_class,flags
20FEV,parsed,2#0,,FEV,,Intermediate,missing-rsl
20FEZ,parsed,2#0,,FEZ,,Intermediate,missing-rsl
20FFB,parsed,2#0,,FFB,,Intermediate,missing-rsl
20FFD,parsed,2#0,,FFD,,Intermediate,missing-rsl
20FFI,parsed,2#0,,FFI,,Intermediate,missing-rsl
20FFJ,parsed,2#0,,FFJ,,Intermediate,missing-rsl
20FFK,parsed,2#0,,FFK,,Intermediate,missing-rsl
20FFN,parsed,2#0,,FFN,,Intermediate,missing-rsl
20FFO,parsed,2#0,,FFO,,Intermediate,missing-rsl
20FFU,parsed,2#0,,FFU,,Intermediate,missing-rsl
20FFV,parsed,2#0,,FFV,,Intermediate,missing-rsl
20FFZ,parsed,2#0,,FFZ,,Intermediate,missing-rsl
20FHO,parsed,2#0,,FHO,,Intermediate,missing-rsl
20FHP,parsed,2#0,,FHP,,Intermediate,missing-rsl
20FHQ,parsed,2#0,,FHQ,,Intermediate,missing-rsl
20FHV,parsed,2#0,,FHV,,Intermediate,missing-rsl
20FHW,parsed,2#0,,FHW,,Intermediate,missing-rsl
20FHX,parsed,2#0,,FHX,,Intermediate,missing-rsl
20FHY,parsed,2#0,,FHY,,Intermediate,missing-rsl
20FHZ,parsed,2#0,,FHZ,,Intermediate,missing-rsl
20FID,parsed,2#0,,FID,,Intermediate,missing-rsl
20FIH,parsed,2#0,,FIH,,Intermediate,missing-rsl
20FII,parsed,2#0,,FII,,Intermediate,missing-rsl
20FIK,parsed,2#0,,FIK,,Intermediate,missing-rsl
20FIM,parsed,2#0,,FIM,,Intermediate,missing-rsl
20FIO,parsed,2#0,,FIO,,Intermediate,missing-rsl
20FIP,parsed,2#0,,FIP,,Intermediate,missing-rsl
20FIU,parsed,2#0,,FIU,,Intermediate,missing-rsl
20FIV,parsed,2#0,,FIV,,Intermediate,missing-rsl
20FIW,parsed,2#0,,FIW,,Intermediate,missing-rsl
20FIY,parsed,2#0,,FIY,,Intermediate,missing-rsl
20FJB,parsed,2#0,,FJB,,Intermediate,missing-rsl
20FJC,parsed,2#0,,FJC,,Intermediate,missing-rsl
20FJE,parsed,2#0,,FJE,,Intermediate,missing-rsl
20FJF,parsed,2#0,,FJF,,Intermediate,missing-rsl
20FJG,parsed,2#0,,FJG,,Intermediate,missing-rsl
20FJH,parsed,2#0,,FJH,,Intermediate,missing-rsl
20FJI,parsed,2#0,,FJI,,Intermediate,missing-rsl
20FJJ,parsed,2#0,,FJJ,,Intermediate,missing-rsl
20FJK,parsed,2#0,,FJK,,Intermediate,missing-rsl
20FJN,parsed,2#0,,FJN,,Intermediate,missing-rsl
20FJO,parsed,2#0,,FJO,,Intermediate,missing-rsl
20FJQ,parsed,2#0,,FJQ,,Intermediate,missing-rsl
20FJT,parsed,2#0,,FJT,,Intermediate,missing-rsl
20FJU,parsed,2#0,,FJU,,Intermediate,missing-rsl
20FJV,parsed,2#0,,FJV,,Intermediate,missing-rsl
20FJW,parsed,2#0,,FJW,,Intermediate,missing-rsl
20FJX,parsed,2#0,,FJX,,Intermediate,missing-rsl
20FKB,parsed,2#0,,FKB,,Intermediate,missing-rsl
20FMN,parsed,2#0,,FMN,,Intermediate,missing-rsl
20FNK,parsed,2#0,,FNK,,Intermediate,missing-rsl
20FOE,parsed,2#0,,FOE,,Intermediate,missing-rsl
20FXE,parsed,2#0,,FXE,,Intermediate,missing-rsl
20GNE,parsed,2#0,,GNE,,Intermediate,missing-rsl
20HCO,parsed,2#0,,HCO,,Intermediate,missing-rsl
20HCR,parsed,2#0,,HCR,,Intermediate,missing-rsl
20HGP,parsed,2#0,,HGP,,Intermediate,missing-rsl
20HJT,parsed,2#0,,HJT,,Intermediate,missing-rsl
20HJU,parsed,2#0,,HJU,,Intermediate,missing-rsl
20HJW,parsed,2#0,,HJW,,Intermediate,missing-rsl
20HJX,parsed,2#0,,HJX,,Intermediate,missing-rsl
20HJY,parsed,2#0,,HJY,,Intermediate,missing-rsl
20HKB,parsed,2#0,,HKB,,Intermediate,missing-rsl
20HKE,parsed,2#0,,HKE,,Intermediate,missing-rsl
20HKH,parsed,2#0,,HKH,,Intermediate,missing-rsl
20HKI,parsed,2#0,,HKI,,Intermediate,missing-rsl
20HKJ,parsed,2#0,,HKJ,,Intermediate,missing-rsl
20HKP,parsed,2#0,,HKP,,Intermediate,missing-rsl
20HKQ,parsed,2#0,,HKQ,,Intermediate,missing-rsl
20HKT,parsed,2#0,,HKT,,Intermediate,missing-rsl
20HKV,parsed,2#0,,HKV,,Intermediate,missing-rsl
20HKW,parsed,2#0,,HKW,,Intermediate,missing-rsl
20HKX,parsed,2#0,,HKX,,Intermediate,missing-rsl
20HKZ,parsed,2#0,,HKZ,,Intermediate,missing-rsl
20HLA,parsed,2#0,,HLA,,Intermediate,missing-rsl
20HLE,parsed,2#0,,HLE,,Intermediate,missing-rsl
20HLQ,parsed,2#0,,HLQ,,Intermediate,missing-rsl
20HLS,parsed,2#0,,HLS,,Intermediate,missing-rsl
20HLU,parsed,2#0,,HLU,,Intermediate,missing-rsl
20HLV,parsed,2#0,,HLV,,Intermediate,missing-rsl
20HLY,parsed,2#0,,HLY,,Intermediate,missing-rsl
20HLZ,parsed,2#0,,HLZ,,Intermediate,missing-rsl
20HMK,parsed,2#0,,HMK,,Intermediate,missing-rsl
20HML,parsed,2#0,,HML,,Intermediate,missing-rsl
20HMN,parsed,2#0,,HMN,,Intermediate,missing-rsl
20HMO,parsed,2#0,,HMO,,Intermediate,missing-rsl
20HMP,parsed,2#0,,HMP,,Intermediate,missing-rsl
20HOX,parsed,2#0,,HOX,,Intermediate,missing-rsl
20HWO,parsed,2#0,,HWO,,Intermediate,missing-rsl
20IQI,parsed,2#0,,IQI,,Intermediate,missing-rsl
20IWK,parsed,2#0,,IWK,,Intermediate,missing-rsl
20IWX,parsed,2#0,,IWX,,Intermediate,missing-rsl
20IZZ,parsed,2#0,,IZZ,,Intermediate,missing-rsl
20JHH,parsed,2#0,,JHH,,Intermediate,missing-rsl
20JKX,parsed,2#0,,JKX,,Intermediate,missing-rsl
20JMJ,parsed,2#0,,JMJ,,Intermediate,missing-rsl
20JNC,parsed,2#0,,JNC,,Intermediate,missing-rsl
20JNR,parsed,2#0,,JNR,,Intermediate,missing-rsl
20JOT,parsed,2#0,,JOT,,Intermediate,missing-rsl
20JTO,parsed,2#0,,JTO,,Intermediate,missing-rsl
20JZG,parsed,2#0,,JZG,,Intermediate,missing-rsl
20JZH,parsed,2#0,,JZH,,Intermediate,missing-rsl
20JZI,parsed,2#0,,JZI,,Intermediate,missing-rsl
20JZJ,parsed,2#0,,JZJ,,Intermediate,missing-rsl
20KBZ,parsed,2#0,,KBZ,,Intermediate,missing-rsl
20KGN,parsed,2#0,,KGN,,Intermediate,missing-rsl
20KGY,parsed,2#0,,KGY,,Intermediate,missing-rsl
20KIE,parsed,2#0,,KIE,,Intermediate,missing-rsl
20KTO,parsed,2#0,,KTO,,Intermediate,missing-rsl
20KVS,parsed,2#0,,KVS,,Intermediate,missing-rsl
20KXL,parsed,2#0,,KXL,,Intermediate,missing-rsl
20LCF,parsed,2#0,,LCF,,Intermediate,missing-rsl
20LPU,parsed,2#0,,LPU,,Intermediate,missing-rsl
20LXY,parsed,2#0,,LXY,,Intermediate,missing-rsl
20LYB,parsed,2#0,,LYB,,Intermediate,missing-rsl
20LZI,parsed,2#0,,LZI,,Intermediate,missing-rsl
20MOU,parsed,2#0,,MOU,,Intermediate,missing-rsl
20MOX,parsed,2#0,,MOX,,Intermediate,missing-rsl
20MSN,parsed,2#0,,MSN,,Intermediate,missing-rsl
20MSU,parsed,2#0,,MSU,,Intermediate,missing-rsl
20MYZ,parsed,2#0,,MYZ,,Intermediate,missing-rsl
20MZC,parsed,2#0,,MZC,,Intermediate,missing-rsl
20NEG,parsed,2#0,,NEG,,Intermediate,missing-rsl
20NII,parsed,2#0,,NII,,Intermediate,missing-rsl
20NOU,parsed,2#0,,NOU,,Intermediate,missing-rsl
20NQF,parsed,2#0,,NQF,,Intermediate,missing-rsl
20NRN,parsed,2#0,,NRN,,Intermediate,missing-rsl
20NSH,parsed,2#0,,NSH,,Intermediate,missing-rsl
20NSX,parsed,2#0,,NSX,,Intermediate,missing-rsl
20NUR,parsed,2#0,,NUR,,Intermediate,missing-rsl
20NXE,parsed,2#0,,NXE,,Intermediate,missing-rsl
20NXM,parsed,2#0,,NXM,,Intermediate,missing-rsl
20NZS,parsed,2#0,,NZS,,Intermediate,missing-rsl
20OFS,parsed,2#0,,OFS,,Intermediate,missing-rsl
20OMR,parsed,2#0,,OMR,,Intermediate,missing-rsl
20ONK,parsed,2#0,,ONK,,Intermediate,missing-rsl
20ONX,parsed,2#0,,ONX,,Intermediate,missing-rsl
20ONZ,parsed,2#0,,ONZ,,Intermediate,missing-rsl
20OQR,parsed,2#0,,OQR,,Intermediate,missing-rsl
20OSN,parsed,2#0,,OSN,,Intermediate,missing-rsl
20OTA,parsed,2#0,,OTA,,Intermediate,missing-rsl
20OUU,parsed,2#0,,OUU,,Intermediate,missing-rsl
20OVO,parsed,2#0,,OVO,,Intermediate,missing-rsl
20OVW,parsed,2#0,,OVW,,Intermediate,missing-rsl
20OWE,parsed,2#0,,OWE,,Intermediate,missing-rsl
20OWN,parsed,2#0,,OWN,,Intermediate,missing-rsl
20OYY,parsed,2#0,,OYY,,Intermediate,missing-rsl
20PIR,parsed,2#0,,PIR,,Intermediate,missing-rsl
20PJX,parsed,2#0,,PJX,,Intermediate,missing-rsl
20PLU,parsed,2#0,,PLU,,Intermediate,missing-rsl
20PMU,parsed,2#0,,PMU,,Intermediate,missing-rsl
20POE,parsed,2#0,,POE,,Intermediate,missing-rsl
20RGQ,parsed,2#0,,RGQ,,Intermediate,missing-rsl
20RIJ,parsed,2#0,,RIJ,,Intermediate,missing-rsl
20RIV,parsed,2#0,,RIV,,Intermediate,missing-rsl
20RKN,parsed,2#0,,RKN,,Intermediate,missing-rsl
20RLE,parsed,2#0,,RLE,,Intermediate,missing-rsl
20RMF,parsed,2#0,,RMF,,Intermediate,missing-rsl
20ROJ,parsed,2#0,,ROJ,,Intermediate,missing-rsl
20RQC,parsed,2#0,,RQC,,Intermediate,missing-rsl
20RSR,parsed,2#0,,RSR,,Intermediate,missing-rsl
20RSY,parsed,2#0,,RSY,,Intermediate,missing-rsl
20RTH,parsed,2#0,,RTH,,Intermediate,missing-rsl
20RUX,parsed,2#0,,RUX,,Intermediate,missing-rsl
20RVA,parsed,2#0,,RVA,,Intermediate,missing-rsl
20RXI,parsed,2#0,,RXI,,Intermediate,missing-rsl
20RYD,parsed,2#0,,RYD,,Intermediate,missing-rsl
20SKR,parsed,2#0,,SKR,,Intermediate,missing-rsl
20SNT,parsed,2#0,,SNT,,Intermediate,missing-rsl
20SSE,parsed,2#0,,SSE,,Intermediate,missing-rsl
20STH,parsed,2#0,,STH,,Intermediate,missing-rsl
20SUC,parsed,2#0,,SUC,,Intermediate,missing-rsl
20SUI,parsed,2#0,,SUI,,Intermediate,missing-rsl
20SUK,parsed,2#0,,SUK,,Intermediate,missing-rsl
20SYA,parsed,2#0,,SYA,,Intermediate,missing-rsl
20SYT,parsed,2#0,,SYT,,Intermediate,missing-rsl
20SZL,parsed,2#0,,SZL,,Intermediate,missing-rsl
20TGR,parsed,2#0,,TGR,,Intermediate,missing-rsl
20TGZ,parsed,2#0,,TGZ,,Intermediate,missing-rsl
20TLJ,parsed,2#0,,TLJ,,Intermediate,missing-rsl
20TNO,parsed,2#0,,TNO,,Intermediate,missing-rsl
20TPL,parsed,2#0,,TPL,,Intermediate,missing-rsl
20UCD,parsed,2#0,,UCD,,Intermediate,missing-rsl
20UDB,parsed,2#0,,UDB,,Intermediate,missing-rsl
20UFC,parsed,2#0,,UFC,,Intermediate,missing-rsl
20UHD,parsed,2#0,,UHD,,Intermediate,missing-rsl
20UHZ,parsed,2#0,,UHZ,,Intermediate,missing-rsl
20UKE,parsed,2#0,,UKE,,Intermediate,missing-rsl
20URK,parsed,2#0,,URK,,Intermediate,missing-rsl
20UXL,parsed,2#0,,UXL,,Intermediate,missing-rsl
20UXV,parsed,2#0,,UXV,,Intermediate,missing-rsl
20VMK,parsed,2#0,,VMK,,Intermediate,missing-rsl
20VPA,parsed,2#0,,VPA,,Intermediate,missing-rsl
20VPJ,parsed,2#0,,VPJ,,Intermediate,missing-rsl
20VPV,parsed,2#0,,VPV,,Intermediate,missing-rsl
20VTP,parsed,2#0,,VTP,,Intermediate,missing-rsl
20VVX,parsed,2#0,,VVX,,Intermediate,missing-rsl
20WCP,parsed,2#0,,WCP,,Intermediate,missing-rsl
20WER,parsed,2#0,,WER,,Intermediate,missing-rsl
20WFZ,parsed,2#0,,WFZ,,Intermediate,missing-rsl
20WGW,parsed,2#0,,WGW,,Intermediate,missing-rsl
20WII,parsed,2#0,,WII,,Intermediate,missing-rsl
20WND,parsed,2#0,,WND,,Intermediate,missing-rsl
20WOH,parsed,2#0,,WOH,,Intermediate,missing-rsl
20WPR,parsed,2#0,,WPR,,Intermediate,missing-rsl
20WQE,parsed,2#0,,WQE,,Intermediate,missing-rsl
20WRO,parsed,2#0,,WRO,,Intermediate,missing-rsl
20WUE,parsed,2#0,,WUE,,Intermediate,missing-rsl
20WXU,parsed,2#0,,WXU,,Intermediate,missing-rsl
20WXW,parsed,2#0,,WXW,,Intermediate,missing-rsl
20XCS,parsed,2#0,,XCS,,Intermediate,missing-rsl
20XES,parsed,2#0,,XES,,Intermediate,missing-rsl
20XFC,parsed,2#0,,XFC,,Intermediate,missing-rsl
20XFK,parsed,2#0,,XFK,,Intermediate,missing-rsl
20XGR,parsed,2#0,,XGR,,Intermediate,missing-rsl
20XHA,parsed,2#0,,XHA,,Intermediate,missing-rsl
20XIT,parsed,2#0,,XIT,,Intermediate,missing-rsl
20XKM,parsed,2#0,,XKM,,Intermediate,missing-rsl
20XLA,parsed,2#0,,XLA,,Intermediate,missing-rsl
20XLI,parsed,2#0,,XLI,,Intermediate,missing-rsl
20XLT,parsed,2#0,,XLT,,Intermediate,missing-rsl
20XMW,parsed,2#0,,XMW,,Intermediate,missing-rsl
20XNP,parsed,2#0,,XNP,,Intermediate,missing-rsl
20XTH,parsed,2#0,,XTH,,Intermediate,missing-rsl
20XTN,parsed,2#0,,XTN,,Intermediate,missing-rsl
20XWI,parsed,2#0,,XWI,,Intermediate,missing-rsl
20XWM,parsed,2#0,,XWM,,Intermediate,missing-rsl
20XXD,parsed,2#0,,XXD,,Intermediate,missing-rsl
20YBB,parsed,2#0,,YBB,,Intermediate,missing-rsl
20YBC,parsed,2#0,,YBC,,Intermediate,missing-rsl
20YGC,parsed,2#0,,YGC,,Intermediate,missing-rsl
20YGT,parsed,2#0,,YGT,,Intermediate,missing-rsl
20YHF,parsed,2#0,,YHF,,Intermediate,missing-rsl
20YOX,parsed,2#0,,YOX,,Intermediate,missing-rsl
20YRF,parsed,2#0,,YRF,,Intermediate,missing-rsl
20YRT,parsed,2#0,,YRT,,Intermediate,missing-rsl
20YTB,parsed,2#0,,YTB,,Intermediate,missing-rsl
20YTD,parsed,2#0,,YTD,,Intermediate,missing-rsl
20YVE,parsed,2#0,,YVE,,Intermediate,missing-rsl
20YVY,parsed,2#0,,YVY,,Intermediate,missing-rsl
20YWF,parsed,2#0,,YWF,,Intermediate,missing-rsl
20YWH,parsed,2#0,,YWH,,Intermediate,missing-rsl
2E1BOZ,parsed,2#1,E,BOZ,,Intermediate,
G1NMI,parsed,G1,,NMI,,Full,
G1ZAA,parsed,G1,,ZAA,,Full,forbidden-suffix
G4FJV,parsed,G4,,FJV,,Full,
G6BAD,parsed,G6,,BAD,,Full,
G7FRR,parsed,G7,,FRR,,Full,
G8DRB,parsed,G8,,DRB,,Full,
G8EIS,parsed,G8,,EIS,,Full,
M/EA2AIV,visitor,,,,EA2AIV,,
M/JE1QCL,visitor,,,,JE1QCL,,
M/KNIZ,visitor,,,,KNIZ,,
M/OK1IKI,visitor,,,,OK1IKI,,
M0IVB,parsed,M0,,IVB,,Full,
M0IVC,parsed,M0,,IVC,,Full,
M0IVD,parsed,M0,,IVD,,Full,
M0IVG,parsed,M0,,IVG,,Full,
M0IVH,parsed,M0,,IVH,,Full,
M0IVI,parsed,M0,,IVI,,Full,
M0IVJ,parsed,M0,,IVJ,,Full,
M0IVK,parsed,M0,,IVK,,Full,
M0IVL,parsed,M0,,IVL,,Full,
M0IVM,parsed,M0,,IVM,,Full,
M0IWQ,parsed,M0,,IWQ,,Full,
M0IWR,parsed,M0,,IWR,,Full,
M0IWT,parsed,M0,,IWT,,Full,
M0IWU,parsed,M0,,IWU,,Full,
M0IWV,parsed,M0,,IWV,,Full,
M0IWW,parsed,M0,,IWW,,Full,
M0IWX,parsed,M0,,IWX,,Full,
M0IWY,parsed,M0,,IWY,,Full,
M0JBL,parsed,M0,,JBL,,Full,
M0JCG,parsed,M0,,JCG,,Full,
M0JKW,parsed,M0,,JKW,,Full,
M0JOJ,parsed,M0,,JOJ,,Full,
M0JUC,parsed,M0,,JUC,,Full,
M0JUF,parsed,M0,,JUF,,Full,
M0JUH,parsed,M0,,JUH,,Full,
M0JUI,parsed,M0,,JUI,,Full,
M0JUJ,parsed,M0,,JUJ,,Full,
M0JUM,parsed,M0,,JUM,,Full,
M0JUO,parsed,M0,,JUO,,Full,
M0JUP,parsed,M0,,JUP,,Full,
M0JUQ,parsed,M0,,JUQ,,Full,
M0JUR,parsed,M0,,JUR,,Full,
M0JUS,parsed,M0,,JUS,,Full,
M0JYT,parsed,M0,,JYT,,Full,
M0KBR,parsed,M0,,KBR,,Full,
M0KDJ,parsed,M0,,KDJ,,Full,
M0KGR,parsed,M0,,KGR,,Full,
M0KKV,parsed,M0,,KKV,,Full,
M0KPS,parsed,M0,,KPS,,Full,
M0KYQ,parsed,M0,,KYQ,,Full,
M0LEJ,parsed,M0,,LEJ,,Full,
M0LIF,parsed,M0,,LIF,,Full,
M0LIH,parsed,M0,,LIH,,Full,
M0LJE,parsed,M0,,LJE,,Full,
M0LPZ,parsed,M0,,LPZ,,Full,
M0MOX,parsed,M0,,MOX,,Full,
M0MZR,parsed,M0,,MZR,,Full,
M0NBT,parsed,M0,,NBT,,Full,
M0NHR,parsed,M0,,NHR,,Full,
M0NPH,parsed,M0,,NPH,,Full,
M0NSS,parsed,M0,,NSS,,Full,
M0NTR,parsed,M0,,NTR,,Full,
M0NVT,parsed,M0,,NVT,,Full,
M0NWF,parsed,M0,,NWF,,Full,
M0NWG,parsed,M0,,NWG,,Full,
M0NXF,parsed,M0,,NXF,,Full,
M0NZG,parsed,M0,,NZG,,Full,
M0NZZ,parsed,M0,,NZZ,,Full,
M0OAF,parsed,M0,,OAF,,Full,
M0OAU,parsed,M0,,OAU,,Full,
M0OCV,parsed,M0,,OCV,,Full,
M0OHC,parsed,M0,,OHC,,Full,
M0OLM,parsed,M0,,OLM,,Full,
M0OLW,parsed,M0,,OLW,,Full,
M0OMY,parsed,M0,,OMY,,Full,
M0OOR,parsed,M0,,OOR,,Full,
M0PEQ,parsed,M0,,PEQ,,Full,
M0PJE,parsed,M0,,PJE,,Full,
M0PVB,parsed,M0,,PVB,,Full,
M0PVU,parsed,M0,,PVU,,Full,
M0RVK,parsed,M0,,RVK,,Full,
M0RVX,parsed,M0,,RVX,,Full,
M0SEG,parsed,M0,,SEG,,Full,
M0SLL,parsed,M0,,SLL,,Full,
M0SVH,parsed,M0,,SVH,,Full,
M0UBE,parsed,M0,,UBE,,Full,
M0UIT,parsed,M0,,UIT,,Full,
M0UNX,parsed,M0,,UNX,,Full,
M0UZZ,parsed,M0,,UZZ,,Full,
M0VAZ,parsed,M0,,VAZ,,Full,
M0VLX,parsed,M0,,VLX,,Full,
M0VRY,parsed,M0,,VRY,,Full,
M0VVX,parsed,M0,,VVX,,Full,
M0WBW,parsed,M0,,WBW,,Full,
M0WCN,parsed,M0,,WCN,,Full,
M0WDV,parsed,M0,,WDV,,Full,
M0WGR,parsed,M0,,WGR,,Full,
M0WJA,parsed,M0,,WJA,,Full,
M0WNA,parsed,M0,,WNA,,Full,
M0WRK,parsed,M0,,WRK,,Full,
