callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
",,",unparseable,,,,,,,
20AAA,parsed,2#0,,AAA,2#0AAA,,Intermediate,missing-rsl
20AAB,parsed,2#0,,AAB,2#0AAB,,Intermediate,missing-rsl
20AAC,parsed,2#0,,AAC,2#0AAC,,Intermediate,missing-rsl
20AAD,parsed,2#0,,AAD,2#0AAD,,Intermediate,missing-rsl
20AAE,parsed,2#0,,AAE,2#0AAE,,Intermediate,missing-rsl
20AAF,parsed,2#0,,AAF,2#0AAF,,Intermediate,missing-rsl
20AAG,parsed,2#0,,AAG,2#0AAG,,Intermediate,missing-rsl
20AAH,parsed,2#0,,AAH,2#0AAH,,Intermediate,missing-rsl
20AAI,parsed,2#0,,AAI,2#0AAI,,Intermediate,missing-rsl
20AAJ,parsed,2#0,,AAJ,2#0AAJ,,Intermediate,missing-rsl
20AAK,parsed,2#0,,AAK,2#0AAK,,Intermediate,missing-rsl
20AAL,parsed,2#0,,AAL,2#0AAL,,Intermediate,missing-rsl
20AAM,parsed,2#0,,AAM,2#0AAM,,Intermediate,missing-rsl
20AAN,parsed,2#0,,AAN,2#0AAN,,Intermediate,missing-rsl
20AAO,parsed,2#0,,AAO,2#0AAO,,Intermediate,missing-rsl
20AAP,parsed,2#0,,AAP,2#0AAP,,Intermediate,missing-rsl
20AAQ,parsed,2#0,,AAQ,2#0AAQ,,Intermediate,missing-rsl
20AAR,parsed,2#0,,AAR,2#0AAR,,Intermediate,missing-rsl
20AAS,parsed,2#0,,AAS,2#0AAS,,Intermediate,missing-rsl
20AAX,parsed,2#0,,AAX,2#0AAX,,Intermediate,missing-rsl
20AAZ,parsed,2#0,,AAZ,2#0AAZ,,Intermediate,missing-rsl
20ABD,parsed,2#0,,ABD,2#0ABD,,Intermediate,missing-rsl
20ABL,parsed,2#0,,ABL,2#0ABL,,Intermediate,missing-rsl
20ABT,parsed,2#0,,ABT,2#0ABT,,Intermediate,missing-rsl
20ABW,parsed,2#0,,ABW,2#0ABW,,Intermediate,missing-rsl
20ACA,parsed,2#0,,ACA,2#0ACA,,Intermediate,missing-rsl
20ACD,parsed,2#0,,ACD,2#0ACD,,Intermediate,missing-rsl
20ACE,parsed,2#0,,ACE,2#0ACE,,Intermediate,missing-rsl
20ACO,parsed,2#0,,ACO,2#0ACO,,Intermediate,missing-rsl
20ACQ,parsed,2#0,,ACQ,2#0ACQ,,Intermediate,missing-rsl
20ACR,parsed,2#0,,ACR,2#0ACR,,Intermediate,missing-rsl
20ACS,parsed,2#0,,ACS,2#0ACS,,Intermediate,missing-rsl
