callsign,cleaned,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20AAA,20AAA,parsed,20,,AAA,2#0AAA,,Intermediate,
20AAB,20AAB,parsed,20,,AAB,2#0AAB,,Intermediate,
20AAC,20AAC,parsed,20,,AAC,2#0AAC,,Intermediate,
20AAD,20AAD,parsed,20,,AAD,2#0AAD,,Intermediate,
20AAE,20AAE,parsed,20,,AAE,2#0AAE,,Intermediate,
20AAF,20AAF,parsed,20,,AAF,2#0AAF,,Intermediate,
20AAG,20AAG,parsed,20,,AAG,2#0AAG,,Intermediate,
20AAH,20AAH,parsed,20,,AAH,2#0AAH,,Intermediate,
20AAI,20AAI,parsed,20,,AAI,2#0AAI,,Intermediate,
20AAJ,20AAJ,parsed,20,,AAJ,2#0AAJ,,Intermediate,
20AAK,20AAK,parsed,20,,AAK,2#0AAK,,Intermediate,
20AAL,20AAL,parsed,20,,AAL,2#0AAL,,Intermediate,
20AAM,20AAM,parsed,20,,AAM,2#0AAM,,Intermediate,
20AAN,20AAN,parsed,20,,AAN,2#0AAN,,Intermediate,
20AAO,20AAO,parsed,20,,AAO,2#0AAO,,Intermediate,
20AAP,20AAP,parsed,20,,AAP,2#0AAP,,Intermediate,
20AAQ,20AAQ,parsed,20,,AAQ,2#0AAQ,,Intermediate,
20AAR,20AAR,parsed,20,,AAR,2#0AAR,,Intermediate,
20AAS,20AAS,parsed,20,,AAS,2#0AAS,,Intermediate,
20AAT,20AAT,parsed,20,,AAT,2#0AAT,,Intermediate,
20AAU,20AAU,parsed,20,,AAU,2#0AAU,,Intermediate,
20AAV,20AAV,parsed,20,,AAV,2#0AAV,,Intermediate,
20AAW,20AAW,parsed,20,,AAW,2#0AAW,,Intermediate,
20AAX,20AAX,parsed,20,,AAX,2#0AAX,,Intermediate,
20AAY,20AAY,parsed,20,,AAY,2#0AAY,,Intermediate,
20AAZ,20AAZ,parsed,20,,AAZ,2#0AAZ,,Intermediate,
20ABA,20ABA,parsed,20,,ABA,2#0ABA,,Intermediate,
20ABB,20ABB,parsed,20,,ABB,2#0ABB,,Intermediate,
20ABC,20ABC,parsed,20,,ABC,2#0ABC,,Intermediate,
20ABD,20ABD,parsed,20,,ABD,2#0ABD,,Intermediate,
20ABE,20ABE,parsed,20,,ABE,2#0ABE,,Intermediate,
20ABF,20ABF,parsed,20,,ABF,2#0ABF,,Intermediate,
20ABG,20ABG,parsed,20,,ABG,2#0ABG,,Intermediate,
20ABH,20ABH,parsed,20,,ABH,2#0ABH,,Intermediate,
20ABI,20ABI,parsed,20,,ABI,2#0ABI,,Intermediate,
20ABJ,20ABJ,parsed,20,,ABJ,2#0ABJ,,Intermediate,
20ABK,20ABK,parsed,20,,ABK,2#0ABK,,Intermediate,
20ABL,20ABL,parsed,20,,ABL,2#0ABL,,Intermediate,
20ABM,20ABM,parsed,20,,ABM,2#0ABM,,Intermediate,
20ABN,20ABN,parsed,20,,ABN,2#0ABN,,Intermediate,
20ABO,20ABO,parsed,20,,ABO,2#0ABO,,Intermediate,
20ABP,20ABP,parsed,20,,ABP,2#0ABP,,Intermediate,
20ABQ,20ABQ,parsed,20,,ABQ,2#0ABQ,,Intermediate,
20ABR,20ABR,parsed,20,,ABR,2#0ABR,,Intermediate,
20ABS,20ABS,parsed,20,,ABS,2#0ABS,,Intermediate,
20ABT,20ABT,parsed,20,,ABT,2#0ABT,,Intermediate,
20ABU,20ABU,parsed,20,,ABU,2#0ABU,,Intermediate,
20ABV,20ABV,parsed,20,,ABV,2#0ABV,,Intermediate,
20ABW,20ABW,parsed,20,,ABW,2#0ABW,,Intermediate,
20ABX,20ABX,parsed,20,,ABX,2#0ABX,,Intermediate,
20ABY,20ABY,parsed,20,,ABY,2#0ABY,,Intermediate,
20ACA,20ACA,parsed,20,,ACA,2#0ACA,,Intermediate,
20ACB,20ACB,parsed,20,,ACB,2#0ACB,,Intermediate,
20ACC,20ACC,parsed,20,,ACC,2#0ACC,,Intermediate,
20ACD,20ACD,parsed,20,,ACD,2#0ACD,,Intermediate,
20ACE,20ACE,parsed,20,,ACE,2#0ACE,,Intermediate,
20ACF,20ACF,parsed,20,,ACF,2#0ACF,,Intermediate,
20ACG,20ACG,parsed,20,,ACG,2#0ACG,,Intermediate,
20ACH,20ACH,parsed,20,,ACH,2#0ACH,,Intermediate,
20ACI,20ACI,parsed,20,,ACI,2#0ACI,,Intermediate,
20ACJ,20ACJ,parsed,20,,ACJ,2#0ACJ,,Intermediate,
20ACK,20ACK,parsed,20,,ACK,2#0ACK,,Intermediate,
20ACL,20ACL,parsed,20,,ACL,2#0ACL,,Intermediate,
20ACM,20ACM,parsed,20,,ACM,2#0ACM,,Intermediate,
20ACN,20ACN,parsed,20,,ACN,2#0ACN,,Intermediate,
20ACO,20ACO,parsed,20,,ACO,2#0ACO,,Intermediate,
20ACP,20ACP,parsed,20,,ACP,2#0ACP,,Intermediate,
20ACQ,20ACQ,parsed,20,,ACQ,2#0ACQ,,Intermediate,
20ACR,20ACR,parsed,20,,ACR,2#0ACR,,Intermediate,
20ACS,20ACS,parsed,20,,ACS,2#0ACS,,Intermediate,
20ACT,20ACT,parsed,20,,ACT,2#0ACT,,Intermediate,
20ACU,20ACU,parsed,20,,ACU,2#0ACU,,Intermediate,
20ACV,20ACV,parsed,20,,ACV,2#0ACV,,Intermediate,
20ACW,20ACW,parsed,20,,ACW,2#0ACW,,Intermediate,
20ACX,20ACX,parsed,20,,ACX,2#0ACX,,Intermediate,
20ACY,20ACY,parsed,20,,ACY,2#0ACY,,Intermediate,
20ADA,20ADA,parsed,20,,ADA,2#0ADA,,Intermediate,
20ADB,20ADB,parsed,20,,ADB,2#0ADB,,Intermediate,
20ADC,20ADC,parsed,20,,ADC,2#0ADC,,Intermediate,
20ADD,20ADD,parsed,20,,ADD,2#0ADD,,Intermediate,
20ADE,20ADE,parsed,20,,ADE,2#0ADE,,Intermediate,
20ADF,20ADF,parsed,20,,ADF,2#0ADF,,Intermediate,
20ADG,20ADG,parsed,20,,ADG,2#0ADG,,Intermediate,
20ADH,20ADH,parsed,20,,ADH,2#0ADH,,Intermediate,
20ADI,20ADI,parsed,20,,ADI,2#0ADI,,Intermediate,
20ADJ,20ADJ,parsed,20,,ADJ,2#0ADJ,,Intermediate,
20ADK,20ADK,parsed,20,,ADK,2#0ADK,,Intermediate,
20ADL,20ADL,parsed,20,,ADL,2#0ADL,,Intermediate,
20ADM,20ADM,parsed,20,,ADM,2#0ADM,,Intermediate,
20ADN,20ADN,parsed,20,,ADN,2#0ADN,,Intermediate,
20ADO,20ADO,parsed,20,,ADO,2#0ADO,,Intermediate,
20ADP,20ADP,parsed,20,,ADP,2#0ADP,,Intermediate,
20ADQ,20ADQ,parsed,20,,ADQ,2#0ADQ,,Intermediate,
20ADR,20ADR,parsed,20,,ADR,2#0ADR,,Intermediate,
20ADT,20ADT,parsed,20,,ADT,2#0ADT,,Intermediate,
20ADU,20ADU,parsed,20,,ADU,2#0ADU,,Intermediate,
20ADV,20ADV,parsed,20,,ADV,2#0ADV,,Intermediate,
20ADW,20ADW,parsed,20,,ADW,2#0ADW,,Intermediate,
20ADX,20ADX,parsed,20,,ADX,2#0ADX,,Intermediate,
20ADY,20ADY,parsed,20,,ADY,2#0ADY,,Intermediate,
20AEA,20AEA,parsed,20,,AEA,2#0AEA,,Intermediate,
20AEB,20AEB,parsed,20,,AEB,2#0AEB,,Intermediate,
20AEC,20AEC,parsed,20,,AEC,2#0AEC,,Intermediate,
20AED,20AED,parsed,20,,AED,2#0AED,,Intermediate,
20AEE,20AEE,parsed,20,,AEE,2#0AEE,,Intermediate,
20AEF,20AEF,parsed,20,,AEF,2#0AEF,,Intermediate,
20AEG,20AEG,parsed,20,,AEG,2#0AEG,,Intermediate,
20AEH,20AEH,parsed,20,,AEH,2#0AEH,,Intermediate,
20AEI,20AEI,parsed,20,,AEI,2#0AEI,,Intermediate,
20AEJ,20AEJ,parsed,20,,AEJ,2#0AEJ,,Intermediate,
20AEK,20AEK,parsed,20,,AEK,2#0AEK,,Intermediate,
20AEL,20AEL,parsed,20,,AEL,2#0AEL,,Intermediate,
20AEM,20AEM,parsed,20,,AEM,2#0AEM,,Intermediate,
20AEN,20AEN,parsed,20,,AEN,2#0AEN,,Intermediate,
20AEO,20AEO,parsed,20,,AEO,2#0AEO,,Intermediate,
20AEP,20AEP,parsed,20,,AEP,2#0AEP,,Intermediate,
20AEQ,20AEQ,parsed,20,,AEQ,2#0AEQ,,Intermediate,
20AER,20AER,parsed,20,,AER,2#0AER,,Intermediate,
20AES,20AES,parsed,20,,AES,2#0AES,,Intermediate,
20AET,20AET,parsed,20,,AET,2#0AET,,Intermediate,
20AEU,20AEU,parsed,20,,AEU,2#0AEU,,Intermediate,
20AEV,20AEV,parsed,20,,AEV,2#0AEV,,Intermediate,
20AEW,20AEW,parsed,20,,AEW,2#0AEW,,Intermediate,
20AEX,20AEX,parsed,20,,AEX,2#0AEX,,Intermediate,
20AEY,20AEY,parsed,20,,AEY,2#0AEY,,Intermediate,
20AFA,20AFA,parsed,20,,AFA,2#0AFA,,Intermediate,
20AFB,20AFB,parsed,20,,AFB,2#0AFB,,Intermediate,
20AFC,20AFC,parsed,20,,AFC,2#0AFC,,Intermediate,
20AFD,20AFD,parsed,20,,AFD,2#0AFD,,Intermediate,
20AFE,20AFE,parsed,20,,AFE,2#0AFE,,Intermediate,
20AFF,20AFF,parsed,20,,AFF,2#0AFF,,Intermediate,
20AFG,20AFG,parsed,20,,AFG,2#0AFG,,Intermediate,
20AFH,20AFH,parsed,20,,AFH,2#0AFH,,Intermediate,
20AFI,20AFI,parsed,20,,AFI,2#0AFI,,Intermediate,
