Callsign,Product__c,Status,Type__c,Licence_Version.LastModifiedDate,Licence_Version.Original_start_date__c
M0IVB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,20/01/2019
20DLQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,29/05/2015
M5TX,,Available,Call Sign - Amateur,,
21GOP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,01/02/2026,21/04/1998
M7ACX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,21/01/2019
20BCM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,03/12/2025,23/07/2005
G5YTT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,16/10/2025,12/11/2019
M7MPK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,01/08/2019
M0JBL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M6FLN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,01/05/2014
M7ACY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M0NUX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,17/12/2014
M7TUX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,13/10/2025,23/01/2019
20FLN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,22/06/2014
20YOX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M7LRF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/02/2024
M0IVC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M0KEL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,14/04/2026,17/11/2005
M0IVD,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,,
20FHS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,27/02/2005
M7BTW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M0XDC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,26/10/2025,11/08/2008
M1BAN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,10/09/1996
20STH,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,
21CIC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,04/05/2026,04/08/1995
20FEV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M0ZXJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,03/03/2009
M7PEZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
20ZXJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,26/11/2008
M7AWE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M3XSJ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,07/02/2008
M7FAB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M3LJB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,13/04/2026,24/05/2002
M7CFC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/10/2025,23/01/2019
20UAI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,09/04/2021
M7MIK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/10/2025,23/01/2019
M6RPY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,30/03/2016
20MOX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,03/04/2026,23/01/2019
20RSY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M3GPX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,10/05/2004
M7MJC,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur,,
20IVV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/02/2024
M0IVG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
G8UNP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,10/08/1989
M7GAK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M7FCH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/04/2019
M7PMO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M7AKC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,15/10/2019
20UKE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M7NSK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,28/03/2026,24/02/2024
M7JDL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,27/03/2026,23/01/2019
G0IHK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,11/09/1987
M7MCD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019
M7FNK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/02/2024
M0XBC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,14/10/2025,24/01/2019
M0KPV,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,20/03/2026,25/02/2024
G6EFW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/12/2025,24/01/2019
M7CCA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/04/2019
M7DJN,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur,,
G0AKC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/01/1985
20VVX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,16/04/2026,24/01/2019
20FEZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019
20HAT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,11/12/2008
M7ACZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019
M6HAT,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,16/09/2008
M7RSB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,15/01/2026,24/01/2019
G6ALU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,16/02/1981
20YWH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019
G8XUJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,07/01/2026,17/09/1980
M7JPM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019
M7MRH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/07/2020
M7RJE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,15/01/2026,24/01/2019
M7FNL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/02/2024
20LXY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,24/11/2025,24/01/2019
M7FNN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/02/2024
M7PCO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/01/2019
G6GMH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,30/11/1981
M7RMD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/01/2019
M7NEU,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/02/2024
M7AYA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,26/01/2019
G8CZG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,22/09/1994
M0WGR,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,23/02/2026,27/01/2019
G4OTC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,23/12/2025,03/08/1982
M7KTI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/01/2023
G4ASY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,14/08/1994
M7IGG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,09/12/2025,29/01/2019
G6LJU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,02/09/1982
M7ADA,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur,,
M3XIA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,30/03/2007
M7ADB,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur,,
G8BAD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,13/07/1977
20RIV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,29/01/2019
M6BZG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/09/2012
M0WCN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,29/01/2019
