callsign,status,licence_class
",,",Reserved,
20AAA,Reserved,
20AAB,Reserved,
20AAC,Allocated,
20AAD,Allocated,
20AAE,Allocated,
20AAF,Allocated,
20AAG,Allocated,
20AAH,Allocated,
20AAI,Allocated,
20AAJ,Allocated,
20AAK,Allocated,
20AAL,Allocated,
20AAM,Allocated,
20AAN,Allocated,
20AAO,Allocated,
20AAP,Allocated,
20AAQ,Allocated,
20AAR,Allocated,
20AAS,Allocated,
20AAT,Reserved,
20AAU,Reserved,
20AAV,Reserved,
20AAW,Reserved,
20AAX,Allocated,
20AAY,Reserved,
20AAZ,Allocated,
20ABA,Reserved,
20ABB,Reserved,
20ABC,Reserved,
20ABD,Allocated,
20ABE,Reserved,
20ABF,Reserved,
20ABG,Reserved,
20ABH,Reserved,
20ABI,Reserved,
20ABJ,Reserved,
20ABK,Reserved,
20ABL,Allocated,
20ABM,Reserved,
20ABN,Reserved,
20ABO,Reserved,
20ABP,Reserved,
20ABQ,Reserved,
20ABR,Reserved,
20ABS,Reserved,
20ABT,Allocated,
20ABU,Reserved,
20ABV,Reserved,
20ABW,Allocated,
20ABX,Reserved,
20ABY,Reserved,
20ABZ,Reserved,
20ACA,Allocated,
20ACB,Reserved,
20ACC,Reserved,
20ACD,Reserved,
20ACE,Allocated,
20ACF,Reserved,
20ACG,Reserved,
20ACH,Reserved,
20ACI,Reserved,
20ACJ,Reserved,
20ACK,Reserved,
20ACL,Reserved,
20ACM,Reserved,
20ACN,Reserved,
20ACO,Allocated,
20ACP,Reserved,
20ACQ,Allocated,
20ACR,Allocated,
20ACS,Allocated,
20ACT,Reserved,
20ACU,Reserved,
20ACV,Allocated,
20ACW,Reserved,
20ACX,Reserved,
20ACY,Reserved,
20ACZ,Reserved,
20ADA,Allocated,
20ADB,Reserved,
20ADC,Reserved,
20ADD,Allocated,
20ADE,Allocated,
20ADF,Reserved,
20ADG,Reserved,
20ADH,Reserved,
20ADI,Reserved,
20ADJ,Reserved,
20ADK,Allocated,
20ADL,Allocated,
20ADM,Allocated,
20ADN,Allocated,
20ADO,Allocated,
20ADP,Reserved,
20ADQ,Reserved,
20ADR,Reserved,
20ADT,Reserved,
20ADU,Reserved,
20ADV,Reserved,
20ADW,Reserved,
20ADX,Reserved,
20ADY,Allocated,
20ADZ,Reserved,
20AEA,Reserved,
20AEB,Reserved,
20AEC,Reserved,
20AED,Allocated,
20AEE,Reserved,
20AEF,Reserved,
20AEG,Reserved,
20AEH,Reserved,
20AEI,Reserved,
20AEJ,Reserved,
20AEK,Reserved,
20AEL,Reserved,
20AEM,Reserved,
20AEN,Reserved,
20AEO,Reserved,
20AEP,Reserved,
20AEQ,Reserved,
20AER,Allocated,
20AES,Allocated,
20AET,Reserved,
20AEU,Reserved,
20AEV,Reserved,
20AEW,Reserved,
20AEX,Reserved,
20AEY,Reserved,
20AEZ,Reserved,
20AFA,Allocated,
20AFB,Reserved,
20AFC,Reserved,
20AFD,Reserved,
20AFE,Reserved,
20AFF,Reserved,
20AFG,Reserved,
20AFH,Reserved,
20AFI,Reserved,
20AFJ,Reserved,
20AFK,Reserved,
20AFL,Allocated,
20AFM,Reserved,
20AFN,Reserved,
20AFO,Allocated,
20AFP,Allocated,
20AFQ,Reserved,
20AFR,Reserved,
20AFS,Reserved,
20AFT,Allocated,
20AFU,Reserved,
20AFV,Reserved,
20AFW,Reserved,
20AFX,Reserved,
20AFY,Reserved,
20AFZ,Reserved,
20AGA,Reserved,
20AGB,Allocated,
20AGC,Reserved,
20AGD,Reserved,
20AGE,Reserved,
20AGF,Reserved,
20AGG,Reserved,
20AGH,Reserved,
20AGI,Allocated,
20AGJ,Reserved,
20AGK,Reserved,
20AGL,Reserved,
20AGM,Reserved,
20AGN,Reserved,
20AGO,Reserved,
20AGP,Reserved,
20AGQ,Allocated,
20AGR,Reserved,
20AGS,Allocated,
20AGT,Allocated,
20AGU,Reserved,
20AGV,Reserved,
20AGW,Reserved,
20AGX,Reserved,
20AGY,Reserved,
20AGZ,Reserved,
20AHA,Reserved,
20AHB,Allocated,
20AHC,Reserved,
20AHD,Reserved,
20AHE,Reserved,
20AHF,Reserved,
20AHG,Reserved,
20AHH,Reserved,
20AHI,Reserved,
20AHJ,Reserved,
20AHK,Reserved,
20AHL,Reserved,
20AHM,Reserved,
20AHN,Reserved,
20AHO,Allocated,
20AHP,Reserved,
20AHQ,Reserved,
20AHR,Reserved,
20AHS,Reserved,
20AHT,Reserved,
20AHU,Reserved,
20AHV,Reserved,
20AHW,Reserved,
20AHX,Allocated,
20AHY,Reserved,
20AHZ,Reserved,
20AIA,Reserved,
20AIB,Allocated,
20AIC,Reserved,
20AIE,Allocated,
20AIF,Reserved,
20AIG,Reserved,
20AIH,Allocated,
20AII,Reserved,
20AIJ,Reserved,
20AIK,Allocated,
20AIL,Allocated,
20AIM,Allocated,
20AIN,Reserved,
20AIO,Reserved,
20AIP,Reserved,
20AIQ,Reserved,
20AIR,Reserved,
20AIS,Reserved,
20AIT,Allocated,
20AIU,Reserved,
20AIV,Allocated,
20AIW,Reserved,
20AIX,Reserved,
20AIY,Reserved,
20AIZ,Reserved,
20AJA,Reserved,
20AJB,Reserved,
20AJC,Reserved,
20AJD,Reserved,
20AJE,Reserved,
20AJF,Reserved,
20AJG,Allocated,
20AJH,Reserved,
20AJI,Reserved,
20AJJ,Reserved,
20AJK,Allocated,
20AJL,Reserved,
20AJM,Reserved,
20AJN,Reserved,
20AJO,Reserved,
20AJP,Allocated,
20AJQ,Allocated,
20AJR,Reserved,
20AJS,Allocated,
20AJT,Allocated,
20AJU,Reserved,
20AJV,Reserved,
20AJW,Reserved,
20AJX,Allocated,
20AJY,Reserved,
20AJZ,Reserved,
20AKA,Allocated,
20AKB,Reserved,
20AKC,Reserved,
20AKD,Reserved,
20AKE,Reserved,
20AKF,Reserved,
20AKG,Allocated,
20AKH,Reserved,
20AKI,Allocated,
20AKJ,Allocated,
20AKK,Allocated,
20AKL,Allocated,
20AKM,Reserved,
20AKN,Allocated,
20AKO,Allocated,
20AKP,Reserved,
20AKQ,Allocated,
20AKR,Reserved,
20AKS,Allocated,
20AKT,Allocated,
20AKU,Allocated,
20AKV,Reserved,
20AKW,Reserved,
20AKX,Reserved,
20AKY,Allocated,
20AKZ,Reserved,
20ALA,Allocated,
20ALB,Allocated,
20ALC,Allocated,
20ALD,Allocated,
20ALE,Allocated,
20ALF,Allocated,
20ALG,Reserved,
20ALH,Allocated,
20ALI,Allocated,
20ALJ,Allocated,
20ALK,Allocated,
20ALL,Allocated,
20ALM,Reserved,
20ALN,Reserved,
20ALO,Reserved,
20ALP,Reserved,
20ALQ,Reserved,
20ALR,Reserved,
20ALS,Allocated,
20ALT,Reserved,
20ALU,Reserved,
20ALV,Reserved,
20ALW,Allocated,
20ALX,Reserved,
20ALY,Reserved,
20ALZ,Allocated,
20AMA,Reserved,
20AMB,Allocated,
20AMC,Reserved,
20AMD,Allocated,
20AME,Reserved,
20AMF,Reserved,
20AMG,Reserved,
20AMH,Reserved,
20AMI,Reserved,
20AMJ,Reserved,
20AMK,Reserved,
20AML,Reserved,
20AMM,Reserved,
20AMN,Allocated,
20AMO,Reserved,
20AMP,Reserved,
20AMQ,Reserved,
20AMR,Reserved,
20AMS,Allocated,
20AMT,Reserved,
20AMU,Reserved,
20AMV,Reserved,
20AMW,Allocated,
20AMX,Reserved,
20AMY,Reserved,
20AMZ,Reserved,
20ANA,Reserved,
20ANB,Reserved,
20ANC,Reserved,
20AND,Allocated,
20ANE,Allocated,
20ANF,Reserved,
20ANG,Reserved,
20ANH,Reserved,
20ANI,Reserved,
20ANJ,Reserved,
20ANK,Reserved,
20ANL,Reserved,
20ANM,Reserved,
20ANN,Reserved,
20ANO,Reserved,
20ANP,Reserved,
20ANQ,Reserved,
20ANR,Reserved,
20ANS,Reserved,
20ANT,Reserved,
20ANU,Reserved,
20ANV,Reserved,
20ANW,Reserved,
20ANX,Reserved,
20ANY,Reserved,
20ANZ,Reserved,
20AOA,Reserved,
20AOB,Reserved,
20AOC,Reserved,
20AOD,Reserved,
20AOE,Reserved,
20AOF,Reserved,
20AOG,Reserved,
20AOH,Reserved,
20AOI,Reserved,
20AOJ,Reserved,
20AOK,Allocated,
20AOL,Allocated,
20AOM,Reserved,
20AON,Reserved,
20AOO,Allocated,
20AOP,Reserved,
20AOQ,Reserved,
20AOR,Reserved,
20AOS,Allocated,
20AOT,Reserved,
20AOU,Allocated,
20AOV,Reserved,
20AOW,Reserved,
20AOX,Reserved,
20AOY,Reserved,
20AOZ,Allocated,
20APA,Reserved,
20APB,Allocated,
20APC,Reserved,
20APD,Reserved,
20APE,Reserved,
20APF,Reserved,
20APG,Allocated,
20APH,Reserved,
20API,Reserved,
20APJ,Allocated,
20APK,Reserved,
20APL,Reserved,
20APM,Reserved,
20APN,Allocated,
20APO,Reserved,
20APP,Reserved,
20APQ,Reserved,
20APR,Allocated,
20APS,Reserved,
20APT,Reserved,
20APU,Reserved,
20APV,Reserved,
20APW,Reserved,
20APX,Allocated,
20APY,Allocated,
