Value,Prefix,Suffix,Type,Status
20JAN,20,JAN,Call Sign - Amateur,Allocated
21JAN,21,JAN,Call Sign - Amateur,Allocated
20FEB,20,FEB,Call Sign - Amateur,Allocated
21FEB,21,FEB,Call Sign - Amateur,Reserved
20MAR,20,MAR,Call Sign - Amateur,Allocated
21MAR,21,MAR,Call Sign - Amateur,Allocated
20APR,20,APR,Call Sign - Amateur,Allocated
20MAY,20,MAY,Call Sign - Amateur,Allocated
20JUL,20,JUL,Call Sign - Amateur,Allocated
20AUG,20,AUG,Call Sign - Amateur,Allocated
20SEP,20,SEP,Call Sign - Amateur,Allocated
20NOV,20,NOV,Call Sign - Amateur,Allocated
20DEC,20,DEC,Call Sign - Amateur,Allocated
20AAA,20,AAA,Call Sign - Amateur,Reserved
20AAB,20,AAB,Call Sign - Amateur,Reserved
20AAC,20,AAC,Call Sign - Amateur,Allocated
20AAD,20,AAD,Call Sign - Amateur,Allocated
20AAE,20,AAE,Call Sign - Amateur,Allocated
20AAF,20,AAF,Call Sign - Amateur,Allocated
20AAG,20,AAG,Call Sign - Amateur,Allocated
20AAH,20,AAH,Call Sign - Amateur,Allocated
20AAI,20,AAI,Call Sign - Amateur,Allocated
20AAJ,20,AAJ,Call Sign - Amateur,Allocated
20AAK,20,AAK,Call Sign - Amateur,Allocated
20AAL,20,AAL,Call Sign - Amateur,Allocated
20AAM,20,AAM,Call Sign - Amateur,Allocated
20AAN,20,AAN,Call Sign - Amateur,Allocated
20AAO,20,AAO,Call Sign - Amateur,Allocated
20AAP,20,AAP,Call Sign - Amateur,Allocated
20AAQ,20,AAQ,Call Sign - Amateur,Allocated
20AAR,20,AAR,Call Sign - Amateur,Allocated
20AAS,20,AAS,Call Sign - Amateur,Allocated
20AAT,20,AAT,Call Sign - Amateur,Reserved
20AAU,20,AAU,Call Sign - Amateur,Reserved
20AAV,20,AAV,Call Sign - Amateur,Reserved
20AAW,20,AAW,Call Sign - Amateur,Reserved
20AAX,20,AAX,Call Sign - Amateur,Allocated
20AAY,20,AAY,Call Sign - Amateur,Reserved
20AAZ,20,AAZ,Call Sign - Amateur,Allocated
20ABA,20,ABA,Call Sign - Amateur,Reserved
20ABB,20,ABB,Call Sign - Amateur,Reserved
20ABC,20,ABC,Call Sign - Amateur,Reserved
20ABD,20,ABD,Call Sign - Amateur,Allocated
20ABE,20,ABE,Call Sign - Amateur,Reserved
20ABF,20,ABF,Call Sign - Amateur,Reserved
20ABG,20,ABG,Call Sign - Amateur,Reserved
20ABH,20,ABH,Call Sign - Amateur,Reserved
20ABI,20,ABI,Call Sign - Amateur,Reserved
20ABJ,20,ABJ,Call Sign - Amateur,Reserved
20ABK,20,ABK,Call Sign - Amateur,Reserved
20ABL,20,ABL,Call Sign - Amateur,Allocated
20ABM,20,ABM,Call Sign - Amateur,Reserved
20ABN,20,ABN,Call Sign - Amateur,Reserved
20ABO,20,ABO,Call Sign - Amateur,Reserved
20ABP,20,ABP,Call Sign - Amateur,Reserved
20ABQ,20,ABQ,Call Sign - Amateur,Reserved
20ABR,20,ABR,Call Sign - Amateur,Reserved
