callsign,status,licence_class
20AAC,Allocated,
20AAD,Allocated,
20AAE,Allocated,
20AAF,Allocated,
20AAG,Allocated,
20AAH,Allocated,
20AAI,Allocated,
20AAJ,Allocated,
20AAK,Allocated,
20AAL,Allocated,
20AAM,Allocated,
20AAN,Allocated,
20AAO,Allocated,
20AAP,Allocated,
20AAQ,Allocated,
20AAR,Allocated,
20AAS,Allocated,
20AAX,Allocated,
20AAZ,Allocated,
20ABD,Allocated,
20ABL,Allocated,
20ABT,Allocated,
20ABW,Allocated,
20ACA,Allocated,
20ACD,Allocated,
20ACE,Allocated,
20ACO,Allocated,
20ACQ,Allocated,
20ACR,Allocated,
20ACS,Allocated,
20ACV,Allocated,
20ADA,Allocated,
20ADD,Allocated,
20ADE,Allocated,
20ADK,Allocated,
20ADL,Allocated,
20ADM,Allocated,
20ADN,Allocated,
20ADO,Allocated,
20AED,Allocated,
20AER,Allocated,
20AES,Allocated,
20AFA,Allocated,
20AFL,Allocated,
20AFO,Allocated,
20AFP,Allocated,
20AFT,Allocated,
20AGB,Allocated,
20AGI,Allocated,
20AGQ,Allocated,
20AGS,Allocated,
20AGT,Allocated,
20AHO,Allocated,
20AHX,Allocated,
20AIE,Allocated,
20AIH,Allocated,
20AIK,Allocated,
20AIL,Allocated,
20AIM,Allocated,
20AIT,Allocated,
20AIV,Allocated,
20AJK,Allocated,
20AJP,Allocated,
20AJQ,Allocated,
20AJS,Allocated,
20AJT,Allocated,
20AJX,Allocated,
20AKG,Allocated,
20AKI,Allocated,
20AKJ,Allocated,
20AKK,Allocated,
20AKL,Allocated,
20AKN,Allocated,
20AKO,Allocated,
20AKQ,Allocated,
20AKS,Allocated,
20AKT,Allocated,
20AKU,Allocated,
20AKY,Allocated,
20ALA,Allocated,
20ALB,Allocated,
20ALC,Allocated,
20ALD,Allocated,
20ALE,Allocated,
20ALF,Allocated,
20ALH,Allocated,
20ALI,Allocated,
20ALJ,Allocated,
20ALK,Allocated,
20ALL,Allocated,
20ALS,Allocated,
20ALW,Allocated,
20ALZ,Allocated,
20AMB,Allocated,
20AMW,Allocated,
20ANE,Allocated,
20AOK,Allocated,
20AOL,Allocated,
20AOS,Allocated,
20AOU,Allocated,
20AOZ,Allocated,
20APB,Allocated,
20APG,Allocated,
20APJ,Allocated,
20APN,Allocated,
20APR,Allocated,
20APT,Allocated,
20APX,Allocated,
20APY,Allocated,
20APZ,Allocated,
20AQE,Allocated,
20AQI,Allocated,
20AQR,Allocated,
20AQU,Allocated,
20ARA,Allocated,
20ARE,Allocated,
20ARI,Allocated,
20ARJ,Allocated,
20ARO,Allocated,
20ARV,Allocated,
20ARW,Allocated,
20ASJ,Allocated,
20ASU,Allocated,
20ASW,Allocated,
20ASX,Allocated,
20ATB,Allocated,
20ATF,Allocated,
20ATT,Allocated,
20ATY,Allocated,
20ATZ,Allocated,
20AUC,Allocated,
20AUH,Allocated,
20AUI,Allocated,
20AUM,Allocated,
20AUU,Allocated,
20AUV,Allocated,
20AVA,Allocated,
20AVB,Allocated,
20AVD,Allocated,
20AVK,Allocated,
20AVL,Allocated,
20AVP,Allocated,
20AVQ,Allocated,
20AVS,Allocated,
20AVW,Allocated,
20AVZ,Allocated,
20AWA,Allocated,
20AWC,Allocated,
20AWE,Allocated,
20AWF,Allocated,
20AWG,Allocated,
20AWI,Allocated,
20AWK,Allocated,
20AWL,Allocated,
20AWM,Allocated,
20AWN,Allocated,
20AWO,Allocated,
20AWP,Allocated,
20AWR,Allocated,
20AWS,Allocated,
20AWT,Allocated,
20AWW,Allocated,
20AWY,Allocated,
20AWZ,Allocated,
20AXA,Allocated,
20AXB,Allocated,
20AXN,Allocated,
20AXT,Allocated,
20AXX,Allocated,
20AXZ,Allocated,
20AYA,Allocated,
20AYD,Allocated,
20AYI,Allocated,
20AYK,Allocated,
20AYQ,Allocated,
20AYR,Allocated,
20AYT,Allocated,
20AYU,Allocated,
20AYW,Allocated,
20AYX,Allocated,
20AYY,Allocated,
20AYZ,Allocated,
20AZA,Allocated,
20AZB,Allocated,
20AZC,Allocated,
20AZD,Allocated,
20AZF,Allocated,
20AZJ,Allocated,
20AZK,Allocated,
20AZL,Allocated,
20AZM,Allocated,
20AZN,Allocated,
20AZP,Allocated,
20AZQ,Allocated,
20AZS,Allocated,
20AZT,Allocated,
20AZU,Allocated,
20AZV,Allocated,
20AZW,Allocated,
20AZZ,Allocated,
20BAB,Allocated,
