callsign,status,page,row_on_page
M0NUK,Live,1,1
G3SKY,Live,1,2
M0SCL,Live,1,3
G4RSB,Live,1,4
M0GVP,Live,1,5
G3UCL,Live,1,6
M0HTJ,Live,1,7
G7BPO,Live,1,8
M0LWC,Live,1,9
M5DB,Live,1,10
G6TW,Live,1,11
G4SRS,Live,1,12
G4RCC,Live,1,13
G1MKR,Live,1,14
G0LSA,Live,1,15
G0SOA,Live,1,16
M0PSL,Live,1,17
G5LOW,Live,1,18
M0POC,Live,1,19
M0RXY,Live,1,20
M5MC,Live,1,21
G0FRT,Live,1,22
G3CNX,Live,1,23
G4GZ,Live,1,24
M0PFJ,Live,1,25
G4BTS,Live,1,26
G0HRS,Live,1,27
G5UM,Live,1,28
G0XYZ,Live,1,29
M0HSL,Live,1,30
G3GRS,Live,1,31
M0VFT,Live,1,32
G3BXF,Live,1,33
G6WAR,Live,1,34
G3UDN,Live,1,35
G3TKV,Live,1,36
M0WRF,Live,1,37
G5OD,Live,1,38
G2OP,Live,1,39
G4EKT,Live,1,40
M0TIL,Live,1,41
G3CXX,Live,1,42
G4YNL,Live,1,43
G8KMK,Live,1,44
M0IDZ,Live,1,45
G6UT,Live,1,46
M0HKJ,Live,1,47
G8JTD,Live,1,48
G4ODR,Live,1,49
M0IZO,Live,2,1
G4RIV,Live,2,2
M0NSG,Live,2,3
G2ZE,Live,2,4
M0WTV,Live,2,5
G1SSR,Live,2,6
M0KWA,Live,2,7
G4GA,Live,2,8
G4AYM,Live,2,9
M0KUH,Live,2,10
M0WMM,Live,2,11
G0UKR,Live,2,12
G3YMD,Live,2,13
G0NWR,Live,2,14
M5CDS,Live,2,15
G6GRG,Live,2,16
M0TSL,Live,2,17
M0NIR,Live,2,18
G8CLZ,Live,2,19
G8LVQ,Live,2,20
G3XEP,Live,2,21
G5LB,Live,2,22
M0LBC,Live,2,23
G0CCL,Live,2,24
G5TO,Live,2,25
M0ONL,Live,2,26
M0HIN,Live,2,27
G0PNS,Live,2,28
G3VLG,Live,2,29
G0ROO,Live,2,30
M0KRG,Live,2,31
M5SB,Live,2,32
M0LSW,Live,2,33
G3AH,Live,2,34
