callsign,status
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
,Terminated
G0AAA,Live
G0ADD,Live
G0ADX,Live
G0AGR,Live
G0ALE,Live
G0ANT,Live
G0ARA,Live
G0ARG,Surrendered
G0ASC,Live
G0ATC,Live
G0AUK,Live
G0AYR,Live
G0AYR,Surrendered
G0BAA,Live
G0BAR,Live
G0BBC,Live
G0BNK,Live
G0BRA,Live
G0BRC,Live
G0BRC,Surrendered
G0BRS,Live
G0BRS,Surrendered
G0BWC,Live
G0CCC,Live
G0CCL,Live
G0CCR,Live
G0CDF,Live
G0COD,Live
G0CPO,Live
G0CRG,Live
G0CVP,Live
G0CWC,Terminated
G0DPH,Live
G0DRC,Live
G0DRC,Surrendered
G0DWI,Terminated
G0DX,Live
G0DXG,Live
G0DYB,Live
G0EDS,Live
G0EGO,Terminated
G0EJE,Live
G0EKR,Live
G0EKR,Surrendered
G0EKR,Surrendered
G0ELR,Live
G0EMG,Live
G0EMU,Live
G0ERK,Terminated
G0EZQ,Live
G0EZQ,Surrendered
G0FAY,Live
G0FBB,Live
G0FDX,Live
G0FRC,Live
G0FRE,Live
G0FRR,Live
G0FRS,Live
G0FRT,Live
G0FUN,Live
G0FWL,Live
G0GHK,Live
G0GNK,Live
G0GRC,Live
G0GRG,Terminated
G0GRX,Live
G0GZR,Live
G0HCA,Terminated
G0HCC,Live
G0HRG,Live
G0HRG,Surrendered
G0HRS,Live
G0HRS,Surrendered
G0HRW,Live
G0HSR,Live
G0HSR,Surrendered
G0HSR,Terminated
G0IBC,Live
G0ICK,Live
G0ING,Live
G0IOQ,Live
G0IPX,Live
G0IVR,Live
G0IWM,Live
G0IWR,Terminated
G0IYP,Live
G0JQA,Live
G0JST,Live
G0KCL,Live
G0KDV,Live
G0KDV,Surrendered
G0KJY,Live
G0KPW,Surrendered
G0KRC,Surrendered
G0KRG,Live
G0KRS,Live
G0KVJ,Live
G0LCR,Live
G0LEC,Live
G0LEN,Live
G0LEQ,Surrendered
G0LIX,Live
G0LOW,Live
G0LRA,Live
G0LRA,Surrendered
G0LRG,Live
G0LRR,Live
G0LSA,Live
G0LTR,Live
G0MAD,Live
G0MAN,Live
G0MBR,Live
G0MHR,Live
G0MHR,Surrendered
G0MIN,Live
G0MRI,Surrendered
G0MTR,Live
G0MUD,Live
G0MWT,Live
G0MWT,Terminated
G0NDS,Live
G0NEH,Live
G0NEQ,Live
G0NET,Live
G0NHR,Live
G0NHR,Terminated
G0NLR,Live
G0NNS,Live
G0NRG,Surrendered
G0NWH,Live
G0NWM,Live
G0NWR,Live
G0NWT,Live
G0OBS,Live
G0OLE,Live
G0ONB,Live
G0OOO,Live
G0OPZ,Terminated
G0OSH,Surrendered
G0OUR,Live
G0OWM,Live
G0OWM,Surrendered
G0OXE,Live
G0PBB,Live
G0PEP,Live
G0PKT,Live
G0PNS,Live
G0PNS,Terminated
G0PPS,Live
G0PPS,Surrendered
G0PPS,Surrendered
G0PRG,Live
G0PRS,Live
G0PRU,Live
G0PTZ,Terminated
