callsign,status,licence_class,created_date,last_modified_date,reserved_to_date,licence_cancel_date
,Reserved,,2016-07-23,2016-07-23,,
2020-02-20,Reserved,,2016-08-02,2016-08-12,,
2020-08-20,Reserved,,2016-08-17,2017-08-06,,2016-08-17
2020-11-20,Reserved,,2017-05-10,2019-02-27,,2017-05-10
20AAA,Reserved,,2016-07-24,2017-07-07,,2016-07-24
20AAB,Reserved,,2016-07-24,2017-07-07,,2016-07-24
20AAT,Reserved,,2016-08-12,2016-08-12,,
20AAU,Reserved,,2016-08-12,2016-08-12,,
20AAV,Reserved,,2016-08-12,2016-08-12,,
20AAW,Reserved,,2016-08-12,2016-08-12,,
20AAY,Reserved,,2016-08-12,2016-08-12,,
20ABA,Reserved,,2016-08-12,2016-08-12,,
20ABB,Reserved,,2016-08-12,2016-08-12,,
20ABC,Reserved,,2016-08-12,2016-08-12,,
20ABE,Reserved,,2016-08-12,2016-08-12,,
20ABF,Reserved,,2016-08-12,2016-08-12,,
20ABG,Reserved,,2016-08-12,2016-08-12,,
20ABH,Reserved,,2016-08-12,2016-08-12,,
20ABI,Reserved,,2016-08-12,2016-08-12,,
20ABJ,Reserved,,2016-08-12,2016-08-12,,
20ABK,Reserved,,2016-08-12,2016-08-12,,
20ABM,Reserved,,2016-08-12,2016-08-12,,
20ABN,Reserved,,2016-08-02,2016-08-12,,
20ABO,Reserved,,2016-08-12,2016-08-12,,
20ABP,Reserved,,2016-08-12,2016-08-12,,
20ABQ,Reserved,,2016-08-12,2016-08-12,,
20ABR,Reserved,,2016-08-12,2016-08-12,,
20ABS,Reserved,,2016-08-12,2016-08-12,,
20ABU,Reserved,,2016-08-12,2016-08-12,,
20ABV,Reserved,,2016-08-12,2016-08-12,,
20ABX,Reserved,,2016-08-12,2016-08-12,,
20ABY,Reserved,,2016-08-12,2016-08-12,,
20ABZ,Reserved,,2016-08-12,2016-08-12,,
20ACB,Reserved,,2016-08-12,2016-08-12,,
20ACC,Reserved,,2016-08-12,2016-08-12,,
20ACF,Reserved,,2016-08-12,2016-08-12,,
20ACG,Reserved,,2016-08-12,2016-08-12,,
20ACH,Reserved,,2016-08-12,2016-08-12,,
