Value,Status,Type,Call Sign MMSI: Created Date,Call Sign MMSI: Last Modified Date,Reserved to Date,Licence Cancel Date
20AMN,Available,Call Sign - Amateur,2016-08-12,2020-09-19,,
20ECC,Available,Call Sign - Amateur,2016-08-02,2019-03-28,,
20EYJ,Available,Call Sign - Amateur,2018-10-04,2018-10-09,,
20GKX,Available,Call Sign - Amateur,2019-06-18,2019-07-19,,
20GZC,Available,Call Sign - Amateur,2018-05-31,2018-07-01,,
20HBM,Available,Call Sign - Amateur,2016-11-17,2016-12-18,,
20ITH,Available,Call Sign - Amateur,2019-01-01,2019-02-01,,
20IXB,Available,Call Sign - Amateur,2017-07-21,2017-08-21,,
20JQD,Available,Call Sign - Amateur,2018-04-11,2018-05-12,,
20JSX,Available,Call Sign - Amateur,2018-11-22,2019-03-21,,
20KKR,Available,Call Sign - Amateur,2017-12-12,2018-01-12,,
20KKY,Available,Call Sign - Amateur,2017-09-27,2018-01-30,,
20KOJ,Available,Call Sign - Amateur,2019-08-14,2019-09-14,,
20MVZ,Available,Call Sign - Amateur,2019-09-08,2019-10-09,,
20NMJ,Available,Call Sign - Amateur,2019-08-01,2020-08-20,,
20NTX,Available,Call Sign - Amateur,2020-08-20,2020-08-20,,
20PEU,Available,Call Sign - Amateur,2017-11-08,2017-12-09,,
20SXI,Available,Call Sign - Amateur,2020-08-22,2020-08-22,,
20VEE,Available,Call Sign - Amateur,2020-08-22,2020-08-22,,
20VGO,Available,Call Sign - Amateur,2018-12-19,2018-12-19,,
20VIX,Available,Call Sign - Amateur,2018-05-29,2018-05-30,,
20VXP,Available,Call Sign - Amateur,2020-08-22,2020-09-22,,
20YPL,Available,Call Sign - Amateur,2018-12-05,2019-01-05,,
21BHY,Available,Call Sign - Amateur,2016-08-12,2019-11-12,,
21JMZ,Available,Call Sign - Amateur,2019-11-28,2019-11-29,,
21WHL,Available,Call Sign - Amateur,2020-08-25,2020-08-28,,
G0ARG,Available,Call Sign - Amateur,2016-07-23,2020-05-31,,
G0HHI,Available,Call Sign - Amateur,2016-07-23,2019-12-03,,
G0HRV,Available,Call Sign - Amateur,2016-08-12,2019-12-16,,
G0JRO,Available,Call Sign - Amateur,2016-08-12,2019-11-28,,
G0KPW,Available,Call Sign - Amateur,2016-07-23,2018-08-16,,
G0KRC,Available,Call Sign - Amateur,2016-07-23,2020-03-25,,
G0MRI,Available,Call Sign - Amateur,2016-07-23,2018-08-19,,
G0ODG,Available,Call Sign - Amateur,2016-08-12,2020-04-24,,
G0OSH,Available,Call Sign - Amateur,2016-07-23,2019-12-12,,
G0PPS,Available,Call Sign - Amateur,2016-07-23,2020-06-01,,
G0RBG,Available,Call Sign - Amateur,2016-07-23,2019-11-24,,
G0RFC,Available,Call Sign - Amateur,2016-07-23,2018-10-25,,
G0RWG,Available,Call Sign - Amateur,2016-07-23,2019-03-03,,
G0SDR,Available,Call Sign - Amateur,2016-07-23,2019-04-22,,
G0TSN,Available,Call Sign - Amateur,2016-07-23,2019-02-25,,
G0UAF,Available,Call Sign - Amateur,2016-07-23,2020-05-04,,
G0UXT,Available,Call Sign - Amateur,2016-08-12,2020-09-07,,
G0WTP,Available,Call Sign - Amateur,2016-08-12,2020-10-23,,
G1BOY,Available,Call Sign - Amateur,2016-08-12,2019-09-12,,
G1FSD,Available,Call Sign - Amateur,2020-05-06,2020-05-06,,
G1LZQ,Available,Call Sign - Amateur,2016-08-12,2019-11-28,,
G1OTC,Available,Call Sign - Amateur,2020-09-07,2020-09-07,,
G1TRM,Available,Call Sign - Amateur,2020-03-31,2020-04-01,,
G2RCR,Available,Call Sign - Amateur,2019-09-05,2019-09-05,,
G2SAW,Available,Call Sign - Amateur,2019-12-19,2019-12-19,,
G2SP,Available,Call Sign - Amateur,2020-01-23,2020-01-23,,
G3AFT,Available,Call Sign - Amateur,2016-07-23,2019-05-18,,
G3AJG,Available,Call Sign - Amateur,2019-12-13,2019-12-16,,
G3BMR,Available,Call Sign - Amateur,2016-07-23,2018-10-25,,
G3CU,Available,Call Sign - Amateur,2020-01-09,2020-01-09,,
G3DVC,Available,Call Sign - Amateur,2016-07-23,2019-01-27,,
G3EUG,Available,Call Sign - Amateur,2016-07-23,2019-02-21,,
G3HVE,Available,Call Sign - Amateur,2016-08-12,2019-10-10,,
G3HXZ,Available,Call Sign - Amateur,2016-07-23,2018-10-25,,
G3OFZ,Available,Call Sign - Amateur,2016-08-02,2019-12-30,,
G3OTO,Available,Call Sign - Amateur,2016-08-12,2019-09-16,,
G3RCR,Available,Call Sign - Amateur,2019-09-05,2019-09-05,,
G3TTN,Available,Call Sign - Amateur,2016-08-12,2020-04-29,,
G3TVS,Available,Call Sign - Amateur,2016-07-23,2018-12-02,,
G3VEF,Available,Call Sign - Amateur,2016-07-23,2020-10-02,,
G3WGC,Available,Call Sign - Amateur,2016-07-23,2019-11-18,,
G3XEJ,Available,Call Sign - Amateur,2016-07-23,2018-12-06,,
G3YNN,Available,Call Sign - Amateur,2016-07-23,2020-04-30,,
G4DM,Available,Call Sign - Amateur,2019-06-25,2019-06-25,,
G4GXP,Available,Call Sign - Amateur,2016-07-23,2020-03-27,,
G4HBA,Available,Call Sign - Amateur,2016-07-23,2020-09-20,,
G4HVN,Available,Call Sign - Amateur,2016-07-23,2019-06-02,,
G4KGP,Available,Call Sign - Amateur,2016-07-23,2019-10-03,,
G4LYW,Available,Call Sign - Amateur,2016-07-23,2019-02-28,,
G4POP,Available,Call Sign - Amateur,2016-07-23,2020-01-28,,
G4RAQ,Available,Call Sign - Amateur,2017-03-17,2017-03-17,,
G4RHM,Available,Call Sign - Amateur,2016-08-12,2020-03-10,,
G4YCA,Available,Call Sign - Amateur,2016-08-12,2018-10-25,,
G4YL,Available,Call Sign - Amateur,2019-07-31,2019-07-31,,
G5APR,Available,Call Sign - Amateur,2019-09-05,2019-09-05,,
G5HF,Available,Call Sign - Amateur,2016-07-23,2019-11-12,,
G5PEQ,Available,Call Sign - Amateur,2019-05-09,2019-05-09,,
G6AWV,Available,Call Sign - Amateur,2016-08-12,2020-07-12,,
G6EFI,Available,Call Sign - Amateur,2016-08-12,2019-12-30,,
G6EIF,Available,Call Sign - Amateur,2020-06-15,2020-06-15,,
G6FZJ,Available,Call Sign - Amateur,2018-11-09,2018-11-09,,
G6KRC,Available,Call Sign - Amateur,2016-07-23,2020-03-26,,
G6PYO,Available,Call Sign - Amateur,2019-12-31,2019-12-31,,
G6RBK,Available,Call Sign - Amateur,2016-07-23,2020-05-21,,
G6RMD,Available,Call Sign - Amateur,2019-12-10,2019-12-11,,
G6VLL,Available,Call Sign - Amateur,2020-07-20,2020-09-18,,
G6VWY,Available,Call Sign - Amateur,2020-06-18,2020-06-18,,
G6WRG,Available,Call Sign - Amateur,2016-07-23,2019-03-03,,
G6XXZ,Available,Call Sign - Amateur,2017-06-02,2017-06-03,,
G6YZT,Available,Call Sign - Amateur,2020-05-15,2020-05-15,,
G7DX,Available,Call Sign - Amateur,2019-12-13,2019-12-13,,
G7EUG,Available,Call Sign - Amateur,2016-07-23,2019-02-21,,
G7HRV,Available,Call Sign - Amateur,2016-08-12,2019-12-17,,
G7PRE,Available,Call Sign - Amateur,2016-08-12,2020-01-23,,
G7RYS,Available,Call Sign - Amateur,2016-08-12,2019-10-15,,
G8BWE,Available,Call Sign - Amateur,2020-09-14,2020-09-14,,
G8DJP,Available,Call Sign - Amateur,2020-02-14,2020-02-14,,
G8DMR,Available,Call Sign - Amateur,2016-08-12,2020-06-04,,
G8DWL,Available,Call Sign - Amateur,2016-07-23,2019-05-18,,
G8DYJ,Available,Call Sign - Amateur,2019-09-13,2019-09-13,,
G8GVH,Available,Call Sign - Amateur,2020-05-05,2020-05-05,,
G8KBK,Available,Call Sign - Amateur,2020-07-27,2020-07-27,,
G8MUN,Available,Call Sign - Amateur,2020-05-15,2020-05-15,,
G8OSS,Available,Call Sign - Amateur,2020-07-16,2020-07-16,,
G8OTS,Available,Call Sign - Amateur,2016-07-23,2020-05-31,,
G8OUK,Available,Call Sign - Amateur,2016-08-12,2019-10-10,,
G8PRU,Available,Call Sign - Amateur,2016-07-23,2020-06-01,,
G8RCJ,Available,Call Sign - Amateur,2020-03-05,2020-03-05,,
M/1235,Available,Call Sign - Amateur,2017-11-29,2017-12-30,,
M/E21EIC,Available,Call Sign - Amateur,2019-11-18,2019-12-19,,
M/G1XXU,Available,Call Sign - Amateur,2017-10-06,2017-11-06,,
M/G4UCL,Available,Call Sign - Amateur,2017-10-06,2017-11-06,,
M/G6ZMU,Available,Call Sign - Amateur,2019-03-12,2019-04-12,,
M/G7RCI,Available,Call Sign - Amateur,2017-10-06,2017-11-06,,
M/K5AN,Available,Call Sign - Amateur,2019-03-14,2019-04-14,,
M/OK1IKI,Available,Call Sign - Amateur,2019-02-26,2019-05-09,,
M/OK3MM,Available,Call Sign - Amateur,2017-09-22,2017-10-23,,
M/VK3JUG,Available,Call Sign - Amateur,2017-05-24,2017-06-24,,
M0CCG,Available,Call Sign - Amateur,2016-07-23,2019-05-14,,
M0DHC,Available,Call Sign - Amateur,2016-07-23,2020-03-18,,
M0DHT,Available,Call Sign - Amateur,2016-08-02,2020-03-18,,
M0DYY,Available,Call Sign - Amateur,2016-07-23,2019-09-07,,
M0EIC,Available,Call Sign - Amateur,2016-08-12,2019-11-18,,
M0EZR,Available,Call Sign - Amateur,2016-08-12,2016-11-30,,
M0GBQ,Available,Call Sign - Amateur,2016-07-23,2020-05-18,,
M0GWG,Available,Call Sign - Amateur,2016-07-23,2020-07-29,,
M0GZN,Available,Call Sign - Amateur,2016-07-23,2018-12-07,,
M0IBV,Available,Call Sign - Amateur,2016-10-11,2018-10-12,,
M0IDE,Available,Call Sign - Amateur,2016-11-04,2018-11-06,,
M0IFU,Available,Call Sign - Amateur,2017-02-13,2019-03-04,,
M0IGH,Available,Call Sign - Amateur,2017-02-22,2019-04-03,,
M0ILP,Available,Call Sign - Amateur,2018-01-20,2020-01-24,,
M0IPX,Available,Call Sign - Amateur,2016-07-23,2020-07-06,,
M0IRY,Available,Call Sign - Amateur,2018-10-14,2020-10-16,,
M0ISH,Available,Call Sign - Amateur,2018-10-20,2020-10-22,,
M0IWM,Available,Call Sign - Amateur,2017-05-09,2019-04-03,,
M0IYO,Available,Call Sign - Amateur,2017-08-10,2019-09-04,,
M0JBU,Available,Call Sign - Amateur,2019-12-04,2019-12-07,,
M0JFL,Available,Call Sign - Amateur,2017-12-06,2018-01-06,,
M0JLB,Available,Call Sign - Amateur,2016-07-23,2018-11-16,,
M0KCR,Available,Call Sign - Amateur,2016-07-23,2020-04-28,,
M0KJS,Available,Call Sign - Amateur,2018-04-23,2018-05-24,,
M0KMG,Available,Call Sign - Amateur,2019-06-01,2019-06-01,,
M0KSX,Available,Call Sign - Amateur,2018-07-26,2018-07-26,,
M0LBI,Available,Call Sign - Amateur,2018-11-03,2018-11-03,,
M0LBZ,Available,Call Sign - Amateur,2016-07-23,2019-10-24,,
M0LOA,Available,Call Sign - Amateur,2018-10-09,2018-10-16,,
M0MGE,Available,Call Sign - Amateur,2016-08-02,2019-06-03,,
M0NAC,Available,Call Sign - Amateur,2016-07-23,2020-07-25,,
M0NBI,Available,Call Sign - Amateur,2019-07-31,2019-08-31,,
M0NLI,Available,Call Sign - Amateur,2018-10-16,2018-11-16,,
M0NSB,Available,Call Sign - Amateur,2018-11-03,2018-12-04,,
M0NVK,Available,Call Sign - Amateur,2020-03-03,2020-03-03,,
M0NYL,Available,Call Sign - Amateur,2020-08-24,2020-08-28,,
M0OBA,Available,Call Sign - Amateur,2017-07-13,2017-08-13,,
M0ONB,Available,Call Sign - Amateur,2020-04-23,2020-05-24,,
M0OTF,Available,Call Sign - Amateur,2016-07-23,2020-01-31,,
M0PCQ,Available,Call Sign - Amateur,2019-10-21,2019-10-22,,
M0PTX,Available,Call Sign - Amateur,2019-07-05,2019-08-05,,
M0PVY,Available,Call Sign - Amateur,2017-02-11,2017-03-14,,
M0RCU,Available,Call Sign - Amateur,2016-07-23,2020-01-11,,
M0RCW,Available,Call Sign - Amateur,2016-07-23,2020-10-02,,
M0RHC,Available,Call Sign - Amateur,2018-03-09,2020-04-20,,
M0SDC,Available,Call Sign - Amateur,2016-07-23,2020-04-20,,
M0SEQ,Available,Call Sign - Amateur,2016-10-06,2016-11-06,,
M0SSC,Available,Call Sign - Amateur,2016-07-23,2020-07-18,,
M0TGI,Available,Call Sign - Amateur,2018-12-06,2018-12-06,,
M0THQ,Available,Call Sign - Amateur,2019-03-11,2019-04-11,,
M0TMR,Available,Call Sign - Amateur,2016-07-23,2018-09-08,,
M0TXW,Available,Call Sign - Amateur,2017-02-13,2019-02-22,,
M0TZE,Available,Call Sign - Amateur,2018-04-21,2018-05-22,,
M0VDU,Available,Call Sign - Amateur,2017-07-13,2017-07-13,,
M0VEM,Available,Call Sign - Amateur,2019-07-24,2019-07-24,,
M0WDT,Available,Call Sign - Amateur,2019-08-07,2019-08-08,,
M0WFF,Available,Call Sign - Amateur,2016-07-23,2019-02-21,,
M0WHE,Available,Call Sign - Amateur,2016-08-04,2016-08-04,,
M0WMG,Available,Call Sign - Amateur,2017-02-10,2019-02-14,,
M0WRZ,Available,Call Sign - Amateur,2019-01-07,2019-02-07,,
M0XEX,Available,Call Sign - Amateur,2019-08-20,2019-09-20,,
M0XFA,Available,Call Sign - Amateur,2018-06-04,2018-07-05,,
M0XHR,Available,Call Sign - Amateur,2017-07-20,2017-07-21,,
M0YDR,Available,Call Sign - Amateur,2017-06-11,2017-07-12,,
M0YVS,Available,Call Sign - Amateur,2018-12-14,2018-12-14,,
M1AGX,Available,Call Sign - Amateur,2016-08-12,2020-04-24,,
M1BBK,Available,Call Sign - Amateur,2016-08-12,2019-09-12,,
M1BIO,Available,Call Sign - Amateur,2016-07-23,2018-08-17,,
M1FZM,Available,Call Sign - Amateur,2016-09-06,2016-09-06,,
M1JAM,Available,Call Sign - Amateur,2018-03-22,2019-03-23,,
M1POC,Available,Call Sign - Amateur,2018-03-22,2019-03-23,,
M1RUS,Available,Call Sign - Amateur,2018-03-22,2019-03-23,,
M1RYC,Available,Call Sign - Amateur,2018-01-22,2018-01-22,,
M1TSC,Available,Call Sign - Amateur,2016-07-23,2019-10-27,,
M3DAC,Available,Call Sign - Amateur,2016-08-12,2019-09-15,,
M3DLH,Available,Call Sign - Amateur,2016-08-02,2019-12-30,,
M3JPA,Available,Call Sign - Amateur,2016-08-02,2018-09-23,,
M3NGS,Available,Call Sign - Amateur,2016-08-02,2019-09-20,,
M3PSY,Available,Call Sign - Amateur,2016-08-12,2019-12-12,,
M3ZEO,Available,Call Sign - Amateur,2016-07-23,2017-03-17,,
M5SD,Available,Call Sign - Amateur,2019-07-29,2019-07-29,,
M5SP,Available,Call Sign - Amateur,2019-07-29,2019-07-29,,
M5SPD,Available,Call Sign - Amateur,2019-07-29,2019-07-29,,
M5TX,Available,Call Sign - Amateur,2019-01-21,2019-01-21,,
M5XM,Available,Call Sign - Amateur,2018-12-03,2018-12-03,,
M6JZI,Available,Call Sign - Amateur,2017-08-21,2017-08-22,,
M6OQB,Available,Call Sign - Amateur,2018-06-29,2018-06-30,,
M6RYJ,Available,Call Sign - Amateur,2017-08-05,2017-08-05,,
M6UVA,Available,Call Sign - Amateur,2018-03-01,2018-03-01,,
M6WFT,Available,Call Sign - Amateur,2018-09-21,2018-10-22,,
M6WWU,Available,Call Sign - Amateur,2018-07-08,2018-07-08,,
M6XVI,Available,Call Sign - Amateur,2017-10-28,2017-11-28,,
M6XYB,Available,Call Sign - Amateur,2017-09-29,2017-10-29,,
M6YBL,Available,Call Sign - Amateur,2016-11-22,2017-11-16,,
M6YCF,Available,Call Sign - Amateur,2018-03-12,2018-04-12,,
M6YHI,Available,Call Sign - Amateur,2018-09-15,2018-10-16,,
M6YPO,Available,Call Sign - Amateur,2018-07-28,2018-08-28,,
M6YSE,Available,Call Sign - Amateur,2019-11-27,2019-12-28,,
M6YTA,Available,Call Sign - Amateur,2017-08-30,2018-10-11,,
M6YZS,Available,Call Sign - Amateur,2018-10-03,2018-11-03,,
M7AKW,Available,Call Sign - Amateur,2019-11-29,2019-12-02,,
M7AWS,Available,Call Sign - Amateur,2018-11-01,2020-07-20,,
M7AXE,Available,Call Sign - Amateur,2020-06-01,2020-07-22,,
M7BGW,Available,Call Sign - Amateur,2020-07-10,2020-07-10,,
M7CBC,Available,Call Sign - Amateur,2020-06-24,2020-07-25,,
M7CBD,Available,Call Sign - Amateur,2020-06-26,2020-07-27,,
M7DCG,Available,Call Sign - Amateur,2020-08-22,2020-08-22,,
M7DRU,Available,Call Sign - Amateur,2018-11-14,2020-08-04,,
M7DWN,Available,Call Sign - Amateur,2020-08-08,2020-09-08,,
M7FYI,Available,Call Sign - Amateur,2020-06-05,2020-07-06,,
M7GLF,Available,Call Sign - Amateur,2019-09-20,2020-06-03,,
M7GLR,Available,Call Sign - Amateur,2019-06-10,2019-06-10,,
M7GMW,Available,Call Sign - Amateur,2019-07-19,2020-09-12,,
M7GRC,Available,Call Sign - Amateur,2020-10-06,2020-10-06,,
M7HVL,Available,Call Sign - Amateur,2020-06-24,2020-06-24,,
