Value,Status,Type,Reserved to Date,Original Start Date,Licence Type
M7FAF,Allocated,Call Sign - Amateur,,2018-11-19,Amateur Foundation Radio Licence
M6BCJ,Allocated,Call Sign - Amateur,,2011-07-05,Amateur Foundation Radio Licence
M7MOZ,Allocated,Call Sign - Amateur,,2020-07-17,Amateur Foundation Radio Licence
M6WMD,Allocated,Call Sign - Amateur,,2011-07-05,Amateur Foundation Radio Licence
20FCB,Allocated,Call Sign - Amateur,,2018-11-19,Amateur Intermediate Radio Licence
M6WAY,Allocated,Call Sign - Amateur,,2011-07-05,Amateur Foundation Radio Licence
M7BBA,Allocated,Call Sign - Amateur,,2020-07-17,Amateur Foundation Radio Licence
M6VLC,Allocated,Call Sign - Amateur,,2011-07-05,Amateur Foundation Radio Licence
M7GAH,Allocated,Call Sign - Amateur,,2020-07-17,Amateur Foundation Radio Licence
M6ELK,Allocated,Call Sign - Amateur,,2011-07-05,Amateur Foundation Radio Licence
M7CLY,Allocated,Call Sign - Amateur,,2020-08-07,Amateur Foundation Radio Licence
M6AYJ,Allocated,Call Sign - Amateur,,2011-07-06,Amateur Foundation Radio Licence
M5DB,Allocated,Call Sign - Amateur,,2018-11-20,Amateur Club Radio Licence
M6MNB,Allocated,Call Sign - Amateur,,2011-07-06,Amateur Foundation Radio Licence
20FKX,Allocated,Call Sign - Amateur,,2019-06-17,Amateur Intermediate Radio Licence
M6ZEZ,Allocated,Call Sign - Amateur,,2011-07-07,Amateur Foundation Radio Licence
20TZH,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Intermediate Radio Licence
M3ZNM,Allocated,Call Sign - Amateur,,2007-04-29,Amateur Foundation Radio Licence
20FGJ,Allocated,Call Sign - Amateur,,2019-03-13,Amateur Intermediate Radio Licence
M6HOS,Allocated,Call Sign - Amateur,,2011-07-07,Amateur Foundation Radio Licence
20TLZ,Allocated,Call Sign - Amateur,,2018-11-20,Amateur Intermediate Radio Licence
