callsign,status,licence_class,last_modified_date
20AAA,Reserved,Amateur Intermediate Radio Licence,2017-07-07
20AAB,Reserved,Amateur Intermediate Radio Licence,2017-07-07
20AAC,Allocated,Amateur Intermediate Radio Licence,2021-03-03
20AAD,Allocated,Amateur Intermediate Radio Licence,2021-04-28
20AAE,Allocated,Amateur Intermediate Radio Licence,2018-08-01
20AAF,Allocated,Amateur Intermediate Radio Licence,2016-08-01
20AAG,Allocated,Amateur Intermediate Radio Licence,2022-05-20
20AAH,Allocated,Amateur Intermediate Radio Licence,2018-11-16
20AAI,Allocated,Amateur Intermediate Radio Licence,2016-08-05
20AAJ,Allocated,Amateur Intermediate Radio Licence,2016-08-05
20AAK,Allocated,Amateur Intermediate Radio Licence,2016-08-05
20AAL,Allocated,Amateur Intermediate Radio Licence,2016-08-06
20AAM,Allocated,Amateur Intermediate Radio Licence,2017-03-21
20AAN,Allocated,Amateur Intermediate Radio Licence,2019-07-15
20AAO,Allocated,Amateur Intermediate Radio Licence,2016-08-06
20AAP,Allocated,Amateur Intermediate Radio Licence,2016-08-09
20AAQ,Allocated,Amateur Intermediate Radio Licence,2017-06-30
20AAR,Allocated,Amateur Intermediate Radio Licence,2016-08-11
20AAS,Allocated,Amateur Intermediate Radio Licence,2017-08-11
20AAT,Reserved,,2016-08-12
20AAU,Reserved,,2016-08-12
20AAV,Reserved,,2016-08-12
20AAW,Reserved,,2016-08-12
20AAX,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AAY,Reserved,,2016-08-12
20AAZ,Allocated,Amateur Intermediate Radio Licence,2018-02-27
20ABA,Reserved,,2016-08-12
20ABB,Reserved,,2016-08-12
20ABC,Reserved,,2016-08-12
20ABD,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ABE,Reserved,,2016-08-12
20ABF,Reserved,,2016-08-12
20ABG,Reserved,,2016-08-12
20ABH,Reserved,,2016-08-12
20ABI,Reserved,,2016-08-12
20ABJ,Reserved,,2016-08-12
20ABK,Reserved,,2016-08-12
20ABL,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ABM,Reserved,,2016-08-12
20ABN,Reserved,,2016-08-12
20ABO,Reserved,,2016-08-12
20ABP,Reserved,,2016-08-12
20ABQ,Reserved,,2016-08-12
20ABR,Reserved,,2016-08-12
20ABS,Reserved,,2016-08-12
20ABT,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ABU,Allocated,Amateur Intermediate Radio Licence,2022-10-24
20ABV,Reserved,,2016-08-12
20ABW,Allocated,Amateur Intermediate Radio Licence,2019-02-25
20ABX,Reserved,,2016-08-12
20ABY,Reserved,,2016-08-12
20ABZ,Reserved,,2016-08-12
20ACA,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACB,Reserved,,2016-08-12
20ACC,Reserved,,2016-08-12
20ACD,Reserved,Amateur Intermediate Radio Licence,2021-03-25
20ACE,Allocated,Amateur Intermediate Radio Licence,2019-06-06
20ACF,Reserved,,2016-08-12
20ACG,Reserved,,2016-08-12
20ACH,Reserved,,2016-08-12
20ACI,Reserved,,2016-08-12
20ACJ,Reserved,,2016-08-12
20ACK,Reserved,,2016-08-12
20ACL,Reserved,,2016-08-12
20ACM,Reserved,,2016-08-12
20ACN,Reserved,,2016-08-12
20ACO,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACP,Reserved,,2016-08-12
20ACQ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACR,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20ACS,Allocated,Amateur Intermediate Radio Licence,2021-03-03
20ACT,Reserved,,2016-08-12
20ACU,Reserved,,2016-08-12
20ACV,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACW,Reserved,,2016-08-12
20ACX,Reserved,,2016-08-12
20ACY,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20ACZ,Reserved,,2016-08-12
20ADA,Allocated,Amateur Intermediate Radio Licence,2017-01-18
20ADB,Reserved,,2016-08-12
20ADC,Reserved,,2016-08-12
20ADD,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ADE,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ADF,Reserved,,2016-08-12
20ADG,Reserved,,2016-08-12
20ADH,Reserved,,2016-08-12
20ADI,Reserved,,2016-08-12
