Value,Product,Status,Type,Call Sign MMSI: Last Modified Date
M0OOZ,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2022-11-29
M0RHC,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2021-03-06
M0VIS,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2022-06-10
M0YDR,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2022-04-06
G0CDF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-04-23
G0FQN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-07-23
G0PIX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-05-19
G2HS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-09-13
G3CF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-01-06
G3EVA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-03-13
G3IBU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-05-16
G3JIJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-06-05
G3MAN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-02-25
G3NDX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-01-20
G3YRL,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2022-03-09
G4ABC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-08-24
G4HRV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-09-11
G4RGM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G4USB,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2023-06-25
G4VAC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-08-03
G5OD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-06-28
G6GMR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G7CLR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-03-09
G8KVU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-07-25
M0CLC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-12-21
M0XTF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-06-07
M0YAX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-10-17
M0YWW,Amateur Full Radio Licence,Available,Call Sign - Amateur,2022-06-25
M1GSX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-04-21
20ABU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-10-24
20ADR,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
