Value__c,Product__c,Status__c,Type__c
M7REI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20RLT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7DMQ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20EZS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7BMW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20NTV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7PFD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7DML,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7CYN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20TXQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20HSF,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20HYB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20ORA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7CAB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M5SB,,Allocated,Call Sign - Amateur
G2KS,,Allocated,Call Sign - Amateur
M7SPM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20WVL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20WDR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20HIK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M0TKG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
G1FRG,,Allocated,Call Sign - Amateur
20YUE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7RIZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7KHX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0MGV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7OOB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6IXV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20RKE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M6IXU,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GXL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7AOE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6IXW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6PRL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6IYA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6KXW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6IXZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G8YAJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7AWU,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6SSV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0WWJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M6PZX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7NRM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20YML,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20EFD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20YWA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7BHA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6SQY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20OYR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20FJL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
