callsign,status,licence_class,last_modified_date,original_start_date
.,Allocated,Amateur Foundation Radio Licence,2024-08-16,2024-08-15
20AAA,Reserved,Amateur Intermediate Radio Licence,,
20AAB,Reserved,Amateur Intermediate Radio Licence,,
20AAC,Allocated,Amateur Intermediate Radio Licence,2025-01-07,2016-07-29
20AAD,Allocated,Amateur Intermediate Radio Licence,2024-03-19,2016-07-29
20AAE,Allocated,Amateur Intermediate Radio Licence,2024-04-12,2016-07-30
20AAF,Allocated,Amateur Intermediate Radio Licence,2024-03-11,2016-07-31
20AAG,Allocated,Amateur Intermediate Radio Licence,2024-06-15,2016-08-01
20AAH,Allocated,Amateur Intermediate Radio Licence,2024-04-17,2016-08-02
20AAI,Allocated,Amateur Intermediate Radio Licence,2024-03-12,2016-08-05
20AAJ,Allocated,Amateur Intermediate Radio Licence,2024-03-12,2016-08-05
20AAK,Allocated,Amateur Intermediate Radio Licence,2024-09-01,1991-09-05
20AAL,Allocated,Amateur Intermediate Radio Licence,2024-03-12,2016-08-05
20AAM,Allocated,Amateur Intermediate Radio Licence,2024-03-21,2016-08-06
20AAN,Allocated,Amateur Intermediate Radio Licence,2024-05-03,2016-08-06
20AAO,Allocated,Amateur Intermediate Radio Licence,2024-03-12,2016-08-06
20AAP,Allocated,Amateur Intermediate Radio Licence,2024-09-01,1991-10-24
20AAQ,Allocated,Amateur Intermediate Radio Licence,2024-03-25,2016-08-09
20AAR,Allocated,Amateur Intermediate Radio Licence,2024-03-12,2016-08-09
20AAS,Allocated,Amateur Intermediate Radio Licence,2024-03-26,2016-08-11
20AAT,Reserved,,,
20AAU,Reserved,,,
20AAV,Reserved,,,
20AAW,Reserved,,,
20AAX,Allocated,Amateur Intermediate Radio Licence,2024-09-01,1991-12-12
20AAY,Reserved,,,
20AAZ,Allocated,Amateur Intermediate Radio Licence,2024-04-05,1991-12-13
20ABA,Reserved,,,
20ABB,Reserved,,,
20ABC,Reserved,,,
20ABD,Allocated,Amateur Intermediate Radio Licence,2024-09-01,1992-01-03
20ABE,Reserved,,,
20ABF,Reserved,,,
20ABG,Reserved,,,
20ABH,Reserved,,,
20ABI,Reserved,,,
20ABJ,Reserved,,,
20ABK,Reserved,,,
20ABL,Allocated,Amateur Intermediate Radio Licence,2024-09-03,1992-02-20
20ABM,Reserved,,,
20ABN,Reserved,,,
20ABO,Reserved,,,
20ABP,Reserved,,,
20ABQ,Reserved,,,
20ABR,Reserved,,,
20ABS,Reserved,,,
20ABT,Allocated,Amateur Intermediate Radio Licence,2024-09-02,1992-03-31
20ABU,Allocated,Amateur Intermediate Radio Licence,2024-06-18,2022-10-24
20ABV,Reserved,,,
20ABW,Allocated,Amateur Intermediate Radio Licence,2024-04-23,1992-06-14
20ABX,Reserved,,,
20ABY,Reserved,,,
20ABZ,Reserved,,,
20ACA,Allocated,Amateur Intermediate Radio Licence,2024-07-21,1992-06-14
20ACB,Reserved,,,
20ACC,Reserved,,,
20ACD,Reserved,Amateur Intermediate Radio Licence,,
20ACE,Allocated,Amateur Intermediate Radio Licence,2024-04-30,1992-05-17
20ACF,Reserved,,,
20ACG,Reserved,,,
20ACH,Reserved,,,
20ACI,Reserved,,,
20ACJ,Reserved,,,
20ACK,Reserved,,,
20ACL,Reserved,,,
20ACM,Reserved,,,
20ACN,Reserved,,,
20ACO,Allocated,Amateur Intermediate Radio Licence,2024-09-02,1992-06-19
20ACP,Reserved,,,
20ACQ,Allocated,Amateur Intermediate Radio Licence,2024-09-03,2000-06-26
20ACR,Allocated,Amateur Intermediate Radio Licence,2024-09-02,1992-06-28
20ACS,Allocated,Amateur Intermediate Radio Licence,2024-06-07,2005-07-05
20ACT,Reserved,,,
20ACU,Reserved,,,
20ACV,Allocated,Amateur Intermediate Radio Licence,2024-09-02,1992-07-10
20ACW,Reserved,,,
20ACX,Reserved,,,
20ACY,Reserved,Amateur Intermediate Radio Licence,,
20ACZ,Reserved,,,
20ADA,Allocated,Amateur Intermediate Radio Licence,2024-03-18,1992-07-05
20ADB,Reserved,,,
20ADC,Reserved,,,
20ADD,Allocated,Amateur Intermediate Radio Licence,2024-09-01,2006-12-04
20ADE,Allocated,Amateur Intermediate Radio Licence,2024-09-02,1992-08-07
20ADF,Reserved,,,
20ADG,Reserved,,,
20ADH,Allocated,,2025-05-08,2025-05-08
20ADI,Reserved,,,
20ADJ,Reserved,,,
20ADK,Allocated,Amateur Intermediate Radio Licence,2024-03-12,2016-08-09
20ADL,Allocated,Amateur Intermediate Radio Licence,2024-05-22,1992-09-16
20ADM,Allocated,Amateur Intermediate Radio Licence,2024-05-13,2016-07-29
20ADN,Allocated,Amateur Intermediate Radio Licence,2024-09-03,1992-09-16
20ADO,Allocated,Amateur Intermediate Radio Licence,2024-06-22,2014-04-01
20ADP,Reserved,,,
20ADQ,Reserved,,,
20ADR,Allocated,Amateur Intermediate Radio Licence,2024-03-28,2017-09-22
20ADT,Reserved,,,
20ADU,Reserved,,,
20ADV,Reserved,,,
20ADW,Reserved,,,
20ADX,Reserved,,,
20ADY,Allocated,Amateur Intermediate Radio Licence,2024-06-07,2020-11-02
20ADZ,Reserved,,,
20AEA,Reserved,,,
20AEB,Reserved,,,
20AEC,Reserved,,,
20AED,Allocated,Amateur Intermediate Radio Licence,2024-09-02,1992-11-12
20AEE,Reserved,,,
20AEF,Reserved,,,
20AEG,Reserved,,,
20AEH,Reserved,,,
20AEI,Reserved,,,
20AEJ,Reserved,,,
20AEK,Reserved,,,
20AEL,Reserved,,,
20AEM,Reserved,,,
20AEN,Reserved,,,
20AEO,Reserved,,,
20AEP,Reserved,,,
20AEQ,Reserved,,,
20AER,Allocated,Amateur Intermediate Radio Licence,2024-04-06,1993-01-24
20AES,Allocated,Amateur Intermediate Radio Licence,2024-09-01,1993-02-11
20AET,Reserved,,,
20AEU,Reserved,,,
20AEV,Reserved,,,
20AEW,Reserved,,,
20AEX,Reserved,,,
20AEY,Reserved,,,
20AEZ,Reserved,,,
20AFA,Allocated,Amateur Intermediate Radio Licence,2025-01-03,2012-02-20
20AFB,Reserved,,,
20AFC,Reserved,,,
20AFD,Reserved,,,
20AFE,Reserved,,,
20AFF,Reserved,,,
20AFG,Reserved,,,
20AFH,Reserved,,,
20AFI,Reserved,Amateur Intermediate Radio Licence,,
20AFJ,Reserved,,,
20AFK,Reserved,,,
20AFL,Allocated,Amateur Intermediate Radio Licence,2024-06-11,1993-05-12
20AFM,Reserved,,,
20AFN,Reserved,,,
20AFO,Allocated,Amateur Intermediate Radio Licence,2024-06-02,2014-01-30
