Callsign,Product__c,Status,Type__c,Licence_Version.LastModifiedDate,Licence_Version.Original_start_date__c,unknown-1,unknown-2,unknown-3,unknown-4,unknown-5
M0IVB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,20/01/2019,,,,,
20DLQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,29/05/2015,,,,,
M7ACX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,21/01/2019,,,,,
M7MPK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,01/08/2019,,,,,
G5YTT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,16/10/2025,12/11/2019,,,,,
M6FLN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,01/05/2014,,,,,
M0JBL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M0NUX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,17/12/2014,,,,,
M7ACY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
20FLN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,22/06/2014,,,,,
M7TUX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,13/10/2025,23/01/2019,,,,,
M7LRF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/02/2024,,,,,
20YOX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M0KEL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,17/11/2005,,,,,
M0IVC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
20FHS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,27/02/2005,,,,,
M0IVD,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,,,,,,,
M0XDC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,26/10/2025,11/08/2008,,,,,
M7BTW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M1BAN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,10/09/1996,,,,,
21CIC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/08/1995,,,,,
20STH,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,,,,,,,
M0ZXJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,03/03/2009,,,,,
20FEV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
20ZXJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,26/11/2008,,,,,
M7PEZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M3XSJ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,07/02/2008,,,,,
M7AWE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M3LJB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,26/10/2025,24/05/2002,,,,,
M7FAB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
20UAI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,09/04/2021,,,,,
M7CFC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/10/2025,23/01/2019,,,,,
M6RPY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,30/03/2016,,,,,
M7MIK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,30/10/2025,23/01/2019,,,,,
20MOX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M3GPX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,10/05/2004,,,,,
20RSY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
20IVV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/02/2024,,,,,
M7MJC,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur,,,,,,,
G8UNP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,10/08/1989,,,,,
M0IVG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M7FCH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/04/2019,,,,,
M7GAK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M7AKC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,15/10/2019,,,,,
M7PMO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M7NSK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/02/2024,,,,,
20UKE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
G0IHK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,11/09/1987,,,,,
M7JDL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M7TRL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,17/10/2025,12/03/2021,,,,,
M7MCD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,23/01/2019,,,,,
M7FNK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/02/2024,,,,,
M0XBC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,14/10/2025,24/01/2019,,,,,
M0KPV,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/02/2024,,,,,
G6EFW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
M7CCA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/04/2019,,,,,
M7DJN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,04/11/2025,24/01/2019,,,,,
G0AKC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/01/1985,,,,,
20VVX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,25/10/2025,24/01/2019,,,,,
20FEZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
20HAT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,11/12/2008,,,,,
M7ACZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
M6HAT,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,16/09/2008,,,,,
M7RSB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
G6ALU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,16/02/1981,,,,,
20YWH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
G8XUJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,17/09/1980,,,,,
M7JPM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
M7MRH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/07/2020,,,,,
M7RJE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
M7FNL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/02/2024,,,,,
20LXY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,24/01/2019,,,,,
M7FNN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/02/2024,,,,,
M7PCO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/01/2019,,,,,
G6GMH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,30/11/1981,,,,,
M7RMD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/01/2019,,,,,
20HCU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,15/04/2021,,,,,
M7AYA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,26/01/2019,,,,,
M0PFM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,27/04/2021,,,,,
M0WGR,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,27/01/2019,,,,,
M7NEU,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,25/02/2024,,,,,
M7KTI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,04/01/2023,,,,,
G8CZG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,22/09/1994,,,,,
M7IGG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,11/10/2025,29/01/2019,,,,,
