Original Start Date,Call Sign T-Number
2010-01-22,G7DMN
2010-02-16,G8KW
2010-03-03,G0WAB
2010-03-04,G3NDO
2010-03-23,G7FUV
2010-05-19 23:00:00,G3ZPS
2010-06-06 23:00:00,G0TII
2010-08-24 23:00:00,G4YIF
2010-09-28 23:00:00,G6MNM
2010-11-09,G8RW
2010-12-09,G7KGR
2010-12-13,G3WA
2011-01-05,M0GSK
2011-01-06,G2DXU
2011-02-14,G7BZY
2011-02-23,G0ALI
2011-02-24,G8YOJ
2011-03-02,G0OZO
2011-03-04,G4AQV
2011-03-28 23:00:00,G1UGJ
2011-05-16 23:00:00,M0GXQ
2011-05-30 23:00:00,G3UK
2011-05-30 23:00:00,G4CTS
2011-05-31 23:00:00,M1EKT
2011-06-20 23:00:00,G4SXA
2011-06-23 23:00:00,G8HNB
2011-06-27 23:00:00,M0JRE
2011-08-03 23:00:00,G0IZR
2011-08-23 23:00:00,G0LSE
2011-08-23 23:00:00,G3EBP
2011-10-02 23:00:00,G0HXY
2011-10-03 23:00:00,G7FIK
2011-10-31,G7MYR
2011-11-30,G0BBH
2012-01-10,M1MVX
2012-02-06,M0DUS
2012-02-08,G3XFA
2012-02-15,G3PIL
2012-02-27,G0HOR
2012-03-02,M0CUB
2012-03-08,M0ANP
2012-03-29 23:00:00,G1EYS
2012-04-02 23:00:00,G0SZS
2012-05-08 23:00:00,G8RZ
2012-05-08 23:00:00,M0BCN
2012-07-03 23:00:00,G3LYU
2012-08-29 23:00:00,G6HEF
2012-08-29 23:00:00,G6HFB
2012-09-18 23:00:00,G4EHZ
2012-11-28,G3KXF
2012-12-27,G8TLQ
2012-12-28,G3AWK
2013-01-07,M1ARZ
2013-01-17,G0IOK
2013-01-18,G6BD
2013-01-25,G0FAW
2013-01-30,G7TEF
2013-03-08,G0MIX
2013-03-08,G3REA
2013-04-08 23:00:00,G6LKW
2013-04-25 23:00:00,M0WEV
2013-05-19 23:00:00,G8GGY
2013-05-21 23:00:00,G0BKU
2013-05-29 23:00:00,G7DUY
2013-05-30 23:00:00,M0VZT
2013-06-19 23:00:00,G7BJJ
2013-06-27 23:00:00,G8ZEX
2013-07-09 23:00:00,G3TEP
2013-07-16 23:00:00,G7CBG
2013-08-13 23:00:00,G4PAA
2013-11-07,M0SKS
2013-11-25,G3HEH
2014-01-03,G4VXI
2014-01-31,G1LOP
2014-03-05,G0HFL
2014-03-05,G3JPJ
2014-04-27 23:00:00,G3ZUC
2014-05-06 23:00:00,G3PRN
2014-05-13 23:00:00,M0IDB
2014-06-19 23:00:00,G4YBI
2014-07-13 23:00:00,G0NDA
2014-07-31 23:00:00,G6TRD
2014-08-10 23:00:00,M1CWG
2014-08-20 23:00:00,G6NCN
2014-10-28,G3AGA
2014-10-28,G3TZH
2014-12-17,G7OSG
2014-12-29,G3YLJ
2015-01-26,G6LQG
2015-02-26,G2HFR
2015-03-16,G0WFG
2015-03-23,M0LUD
2015-03-27,G7EQU
2015-04-28 23:00:00,G3GGL
2015-06-25 23:00:00,G7CEB
2015-06-25 23:00:00,G7HTN
2015-07-28 23:00:00,G0CCA
2015-10-26,G4IBW
2015-10-27,G6DJI
2015-11-04,G3LHU
2015-11-13,M1BEY
2015-12-09,G7MYO
2016-01-08,G1VJY
2016-02-03,G1ESV
2016-02-09,G4LVV
2016-02-16,G6YGB
2016-03-09,G1LRN
2016-03-22,G7NHD
2016-04-04 23:00:00,G7SKJ
2016-04-12 23:00:00,G7IHA
2016-04-13 23:00:00,M5IAN
2016-05-05 23:00:00,M1BLX
2016-06-01 23:00:00,G0AVH
