callsign,event,event_date
M0GRT,reciprocal-licence-issued,2010-01-07
M0GRU,reciprocal-licence-issued,2010-01-22
M0GRZ,reciprocal-licence-issued,2010-01-22
M0TDQ,reciprocal-licence-issued,2010-01-25
M0GSE,reciprocal-licence-issued,2010-02-04
M0GSH,reciprocal-licence-issued,2010-02-16
M0NMS,reciprocal-licence-issued,2010-02-17
M0TNB,reciprocal-licence-issued,2010-02-19
G6HSV,reciprocal-licence-issued,2010-03-08
M0HCM,reciprocal-licence-issued,2010-03-16
M0JCZ,reciprocal-licence-issued,2010-03-19
M0IPD,reciprocal-licence-issued,2010-04-11 23:00:00
M0TUR,reciprocal-licence-issued,2010-04-11 23:00:00
M0NZL,reciprocal-licence-issued,2010-04-11 23:00:00
M0LKS,reciprocal-licence-issued,2010-04-12 23:00:00
M0KCE,reciprocal-licence-issued,2010-04-26 23:00:00
M0KYR,reciprocal-licence-issued,2010-04-28 23:00:00
M0UNN,reciprocal-licence-issued,2010-05-10 23:00:00
M0WAE,reciprocal-licence-issued,2010-05-13 23:00:00
M0MPM,reciprocal-licence-issued,2010-05-13 23:00:00
M0GTV,reciprocal-licence-issued,2010-05-20 23:00:00
M0WNP,reciprocal-licence-issued,2010-05-23 23:00:00
M0GTW,reciprocal-licence-issued,2010-05-26 23:00:00
M0ASY,reciprocal-licence-issued,2010-05-27 23:00:00
M0PCK,reciprocal-licence-issued,2010-06-10 23:00:00
M0KMV,reciprocal-licence-issued,2010-06-16 23:00:00
M0ZPM,reciprocal-licence-issued,2010-07-01 23:00:00
M0VDA,reciprocal-licence-issued,2010-07-01 23:00:00
M0HDD,reciprocal-licence-issued,2010-07-21 23:00:00
M0NDK,reciprocal-licence-issued,2010-07-26 23:00:00
M0PZG,reciprocal-licence-issued,2010-07-27 23:00:00
M0YCS,reciprocal-licence-issued,2010-07-27 23:00:00
M0ICJ,reciprocal-licence-issued,2010-08-10 23:00:00
M0WRL,reciprocal-licence-issued,2010-08-26 23:00:00
M0HAN,reciprocal-licence-issued,2010-09-06 23:00:00
M0GVD,reciprocal-licence-issued,2010-09-28 23:00:00
M0VDA,reciprocal-licence-issued,2010-09-30 23:00:00
M0ZPM,reciprocal-licence-issued,2010-09-30 23:00:00
M0GVE,reciprocal-licence-issued,2010-09-30 23:00:00
M0DYM,reciprocal-licence-issued,2010-10-18 23:00:00
M0GVH,reciprocal-licence-issued,2010-10-26 23:00:00
M0GVK,reciprocal-licence-issued,2010-11-04
M0GVM,reciprocal-licence-issued,2010-11-04
M0KBF,reciprocal-licence-issued,2010-11-09
M0GVS,reciprocal-licence-issued,2010-11-22
M0OSH,reciprocal-licence-issued,2010-12-09
M0AYV,reciprocal-licence-issued,2011-01-18
M0GWU,reciprocal-licence-issued,2011-01-20
M0ONA,reciprocal-licence-issued,2011-01-31
M0GXD,reciprocal-licence-issued,2011-02-01
M0MIM,reciprocal-licence-issued,2011-02-18
M0GXF,reciprocal-licence-issued,2011-03-02
M0LAT,reciprocal-licence-issued,2011-03-08
M0GXK,reciprocal-licence-issued,2011-03-31 23:00:00
M0LAY,reciprocal-licence-issued,2011-04-03 23:00:00
M0HAA,reciprocal-licence-issued,2011-04-12 23:00:00
M0KWP,reciprocal-licence-issued,2011-04-12 23:00:00
G5AU,reciprocal-licence-issued,2011-05-23 23:00:00
M0GYH,reciprocal-licence-issued,2011-05-25 23:00:00
M0RPJ,reciprocal-licence-issued,2011-06-20 23:00:00
M0GYU,reciprocal-licence-issued,2011-06-30 23:00:00
M0GYT,reciprocal-licence-issued,2011-06-30 23:00:00
M0IOY,reciprocal-licence-issued,2011-07-03 23:00:00
M0KVC,reciprocal-licence-issued,2011-07-03 23:00:00
M0GYZ,reciprocal-licence-issued,2011-07-13 23:00:00
M0GZE,reciprocal-licence-issued,2011-07-26 23:00:00
M0JRJ,reciprocal-licence-issued,2011-07-26 23:00:00
M0VVR,reciprocal-licence-issued,2011-08-08 23:00:00
M0UNG,reciprocal-licence-issued,2011-08-08 23:00:00
M0GZJ,reciprocal-licence-issued,2011-08-08 23:00:00
M0KEJ,reciprocal-licence-issued,2011-08-14 23:00:00
M0SLC,reciprocal-licence-issued,2011-08-23 23:00:00
M0GZO,reciprocal-licence-issued,2011-08-23 23:00:00
M0IVE,reciprocal-licence-issued,2011-08-25 23:00:00
M0ZLW,reciprocal-licence-issued,2011-08-30 23:00:00
