Original Start Date,Call Sign T-Number
2010-01-07,M0GRT
2010-01-22,M0GRU
2010-01-22,M0GRZ
2010-01-25,M0TDQ
2010-02-04,M0GSE
2010-02-16,M0GSH
2010-02-17,M0NMS
2010-02-19,M0TNB
2010-03-08,G6HSV
2010-03-16,M0HCM
2010-03-19,M0JCZ
2010-04-11 23:00:00,M0IPD
2010-04-11 23:00:00,M0TUR
2010-04-11 23:00:00,M0NZL
2010-04-12 23:00:00,M0LKS
2010-04-26 23:00:00,M0KCE
2010-04-28 23:00:00,M0KYR
2010-05-10 23:00:00,M0UNN
2010-05-13 23:00:00,M0WAE
2010-05-13 23:00:00,M0MPM
2010-05-20 23:00:00,M0GTV
2010-05-23 23:00:00,M0WNP
2010-05-26 23:00:00,M0GTW
2010-05-27 23:00:00,M0ASY
2010-06-10 23:00:00,M0PCK
2010-06-16 23:00:00,M0KMV
2010-07-01 23:00:00,M0ZPM
2010-07-01 23:00:00,M0VDA
2010-07-21 23:00:00,M0HDD
2010-07-26 23:00:00,M0NDK
2010-07-27 23:00:00,M0PZG
2010-07-27 23:00:00,M0YCS
2010-08-10 23:00:00,M0ICJ
2010-08-26 23:00:00,M0WRL
2010-09-06 23:00:00,M0HAN
2010-09-28 23:00:00,M0GVD
2010-09-30 23:00:00,M0VDA
2010-09-30 23:00:00,M0ZPM
2010-09-30 23:00:00,M0GVE
2010-10-18 23:00:00,M0DYM
2010-10-26 23:00:00,M0GVH
2010-11-04,M0GVK
2010-11-04,M0GVM
2010-11-09,M0KBF
2010-11-22,M0GVS
2010-12-09,M0OSH
2011-01-18,M0AYV
2011-01-20,M0GWU
2011-01-31,M0ONA
2011-02-01,M0GXD
2011-02-18,M0MIM
2011-03-02,M0GXF
2011-03-08,M0LAT
2011-03-31 23:00:00,M0GXK
2011-04-03 23:00:00,M0LAY
2011-04-12 23:00:00,M0HAA
2011-04-12 23:00:00,M0KWP
2011-05-23 23:00:00,G5AU
2011-05-25 23:00:00,M0GYH
2011-06-20 23:00:00,M0RPJ
2011-06-30 23:00:00,M0GYU
2011-06-30 23:00:00,M0GYT
2011-07-03 23:00:00,M0IOY
2011-07-03 23:00:00,M0KVC
2011-07-13 23:00:00,M0GYZ
2011-07-26 23:00:00,M0GZE
2011-07-26 23:00:00,M0JRJ
2011-08-08 23:00:00,M0VVR
2011-08-08 23:00:00,M0UNG
2011-08-08 23:00:00,M0GZJ
2011-08-14 23:00:00,M0KEJ
2011-08-23 23:00:00,M0SLC
2011-08-23 23:00:00,M0GZO
2011-08-25 23:00:00,M0IVE
2011-08-30 23:00:00,M0ZLW
2011-09-13 23:00:00,M0RMT
2011-09-21 23:00:00,M0GZR
2011-09-21 23:00:00,M0TRB
2011-09-25 23:00:00,M0MNV
2011-10-02 23:00:00,M0GZX
2011-10-11 23:00:00,M0HAE
2011-10-17 23:00:00,M0HAO
2011-10-17 23:00:00,M0HAQ
2011-10-24 23:00:00,M0HBC
2011-10-24 23:00:00,M0WSC
2011-10-27 23:00:00,M0GZQ
2011-11-02,M0DDR
2011-11-16,M0HBE
2011-11-16,M0LTA
2011-11-25,M0JHP
2011-11-30,M0YCK
2011-12-06,M0HBH
2011-12-07,M0WPA
2011-12-08,M0JBE
2011-12-13,M0RPA
2011-12-21,M0PLX
2012-01-09,M0XII
2012-01-11,M0HCC
2012-01-18,M0HEP
2012-01-20,M0HCE
2012-01-26,M0HCF
2012-01-27,G6UDE
2012-02-06,M0LKD
2012-02-07,M0HCS
2012-03-07,M0KWD
2012-03-19,M0HDF
2012-04-16 23:00:00,M0JVG
2012-04-29 23:00:00,M0HDL
2012-05-01 23:00:00,M0HCH
2012-05-13 23:00:00,M0HDN
2012-05-21 23:00:00,G8NZH
2012-05-23 23:00:00,M0MBY
2012-05-27 23:00:00,M0NIE
2012-06-05 23:00:00,M0HDQ
2012-06-10 23:00:00,M0ISL
2012-06-10 23:00:00,M0TMM
2012-06-11 23:00:00,M0TWI
2012-06-13 23:00:00,M0JCS
2012-06-18 23:00:00,M0KFT
2012-06-19 23:00:00,M0VVF
2012-06-19 23:00:00,M0RZW
2012-06-19 23:00:00,M0POA
2012-06-19 23:00:00,M0HMD
2012-06-27 23:00:00,G0VJH
2012-06-28 23:00:00,M0SYJ
2012-07-15 23:00:00,M0HES
2012-07-19 23:00:00,M0HEV
2012-07-25 23:00:00,M0HEZ
2012-08-01 23:00:00,M0KGN
2012-08-05 23:00:00,M0MKX
2012-08-19 23:00:00,M0HFB
2012-08-19 23:00:00,M0ZZV
2012-08-21 23:00:00,M0HFD
2012-09-03 23:00:00,G5BDW
2012-09-06 23:00:00,M0HFJ
2012-09-06 23:00:00,M0LDW
2012-09-11 23:00:00,M0HFM
2012-09-20 23:00:00,M0VQP
2012-09-25 23:00:00,M0OLF
2012-10-02 23:00:00,M0HFO
2012-10-07 23:00:00,M0JWM
2012-10-21 23:00:00,M0KOX
2012-10-25 23:00:00,M0HGF
2012-11-01,M0NGC
2012-11-02,M0LTP
2012-11-08,M0MIR
2012-11-16,M0VSR
2012-11-16,M0LBD
2012-11-22,M0HGK
2012-11-22,M0HXB
2012-11-28,M0SEB
2012-12-07,M0LWO
2012-12-17,M0HHE
2012-12-20,M0NML
2013-01-02,M0HHI
2013-01-11,M0NSP
2013-01-16,G5BCO
2013-01-22,M0HHP
2013-01-24,M0DSW
2013-02-04,M0HHS
2013-02-06,M0HHZ
2013-02-08,M0KKB
2013-02-13,M0VWW
2013-02-14,M0NZH
2013-02-26,M0HIH
2013-02-28,M0LYC
2013-03-19,M0HJH
2013-03-27,M0HJJ
2013-04-02 23:00:00,M0HIK
2013-04-02 23:00:00,M0TNL
2013-04-08 23:00:00,M0HJN
2013-04-11 23:00:00,M0HJR
2013-04-18 23:00:00,M0HRB
2013-05-14 23:00:00,M0HKD
2013-06-03 23:00:00,M0HKH
2013-06-12 23:00:00,M0HKL
2013-06-18 23:00:00,M0HKO
2013-06-20 23:00:00,M0HKQ
2013-07-23 23:00:00,M0XTX
2013-07-30 23:00:00,M0KNX
2013-08-11 23:00:00,M0HLU
2013-08-20 23:00:00,M0WHP
2013-08-20 23:00:00,M0WRO
2013-09-01 23:00:00,M0HMB
2013-09-08 23:00:00,M0HME
2013-09-09 23:00:00,M0HMF
2013-09-11 23:00:00,M0YUX
2013-09-11 23:00:00,M0KZA
2013-09-26 23:00:00,M0HMI
2013-10-02 23:00:00,M0HMJ
2013-10-08 23:00:00,M0HMK
2013-10-10 23:00:00,M0THO
2013-10-30,M0TGL
2013-10-31,M0TLG
2013-11-07,M0SDI
2013-11-11,M0IAG
2013-11-19,M0PPE
2013-11-20,M0PPA
2013-12-03,M0YGM
2013-12-04,M0HMZ
2013-12-04,M0HSF
2013-12-23,M0HNO
2014-01-03,M0HNP
2014-01-14,M0YUI
2014-01-15,M0HNR
2014-01-20,M0OJX
2014-01-21,M0WTH
2014-01-21,M0KVL
2014-01-30,M0IEI
2014-02-04,M0HNY
2014-02-07,M0HNZ
