Call Sign,Status,Licence Class,Licence Issued Dat
G4IFJ,Allocated,Full,03/05/1903
G8UYK,Allocated,Full,04/02/1904
G6UGE,Allocated,Full,16/02/1904
G4IUZ,Reserved,Full,16/10/1909
G3ZEX,Allocated,Full,03/03/1920
G3HJH,Allocated,Full,22/05/1922
G4HAB,Allocated,Full,05/05/1926
G6NB,Reserved,Full,26/01/1932
G4TRZ,Allocated,Full,26/05/1933
G5MY,Allocated,Full,01/02/1935
G5IX,Reserved,Full,05/06/1935
G2ADN,Reserved,Full,01/05/1936
G8HB,Reserved,Full,16/12/1936
G2MJ,Reserved,Full,02/01/1937
G3UP,Reserved,Full,16/01/1937
G8SX,Reserved,Full,01/02/1937
G8QM,Allocated,Full,26/10/1937
G3VA,Reserved,Full,02/02/1938
G3QD,Reserved,Full,17/02/1938
G3GA,Reserved,Full,23/02/1938
G2AOZ,Reserved,Full,09/06/1938
G2AMG,Allocated,Full,10/10/1938
G2FQP,Reserved,Full,01/11/1938
G4CK,Allocated,Full,30/01/1939
G4LW,Reserved,Full,12/02/1939
G4DR,Allocated,Full,16/02/1939
G2HIY,Reserved,Full,08/05/1939
G2DKN,Reserved,Full,10/05/1939
G2HDU,Reserved,Full,16/06/1939
G2HMB,Reserved,Full,27/07/1939
G4YZO,Reserved,Full,07/08/1939
G2CQJ,Reserved,Full,29/08/1939
G4JZK,Reserved,Full,15/07/1943
G3JZW,Reserved,Full,07/10/1943
G3ENG,Allocated,Full,01/01/1946
G3SB,Reserved,Full,24/01/1946
G8IK,Allocated,Full,01/02/1946
G3WF,Allocated,Full,01/02/1946
G4LU,Reserved,Full,25/02/1946
G2CGL,Reserved,Full,12/03/1946
G4YK,Allocated,Full,16/03/1946
G2FUD,Reserved,Full,21/03/1946
G2FYV,Reserved,Full,22/03/1946
G2CMW,Reserved,Full,25/03/1946
G2FSA,Reserved,Full,01/04/1946
G3CRP,Reserved,Full,18/04/1946
G3AQB,Allocated,Full,30/04/1946
G3BGM,Reserved,Full,01/05/1946
G2ADR,Reserved,Full,28/05/1946
G3DRB,Reserved,Full,06/06/1946
G3AWW,Reserved,Full,01/07/1946
G3ABA,Reserved,Full,02/07/1946
G2FTK,Reserved,Full,03/07/1946
G3AAJ,Reserved,Full,13/07/1946
G3AAO,Reserved,Full,14/07/1946
G3ADS,Reserved,Full,29/07/1946
G3ADQ,Reserved,Full,29/07/1946
G3AER,Allocated,Full,06/08/1946
G2HKG,Reserved,Full,15/08/1946
G3AIK,Reserved,Full,20/08/1946
G3AJS,Reserved,Full,23/08/1946
G3AKI,Allocated,Full,23/08/1946
G3AKX,Reserved,Full,06/09/1946
G3AMG,Reserved,Full,06/09/1946
G3ANH,Reserved,Full,08/09/1946
G3AAZ,Reserved,Full,14/09/1946
G3AQM,Reserved,Full,27/09/1946
G3ASG,Allocated,Full,02/10/1946
G3ARS,Allocated,Full,03/10/1946
G2HFD,Reserved,Full,14/10/1946
G3AUS,Reserved,Full,16/10/1946
G2DYM,Reserved,Full,18/10/1946
G3AXX,Allocated,Full,06/11/1946
G3APL,Allocated,Full,06/11/1946
G3BHF,Allocated,Full,19/11/1946
G3BAP,Reserved,Full,20/12/1946
G3ESY,Allocated,Full,24/12/1946
G3CSY,Allocated,Full,01/01/1947
G3BHK,Reserved,Full,22/01/1947
G3BHW,Reserved,Full,22/01/1947
G3BKN,Reserved,Full,07/02/1947
G2HMK,Allocated,Full,19/02/1947
G3BMI,Allocated,Full,27/02/1947
G3BMX,Reserved,Full,01/03/1947
G3BPG,Allocated,Full,25/03/1947
G3BPQ,Allocated,Full,25/03/1947
G3BQE,Allocated,Full,02/04/1947
G3CTP,Allocated,Full,02/04/1947
G3BRA,Reserved,Full,03/04/1947
G3DNH,Reserved,Full,07/04/1947
G3CVK,Allocated,Full,13/04/1947
G3AME,Allocated,Full,15/04/1947
G3BSU,Reserved,Full,24/04/1947
G3BVA,Allocated,Full,03/05/1947
G3DSK,Reserved,Full,11/05/1947
G4CA,Reserved,Full,31/05/1947
G3CCM,Reserved,Full,07/06/1947
G3CCF,Reserved,Full,09/06/1947
G3CCX,Reserved,Full,20/06/1947
G3CFK,Reserved,Full,12/07/1947
G3CFV,Reserved,Full,12/07/1947
G3CIM,Allocated,Full,01/08/1947
G3AFB,Allocated,Full,08/08/1947
G3AHB,Reserved,Full,15/08/1947
G3CBA,Allocated,Full,21/08/1947
G3CLK,Reserved,Full,29/08/1947
G3CJD,Reserved,Full,09/09/1947
G2DZF,Reserved,Full,10/09/1947
G3CPT,Allocated,Full,04/10/1947
G3AST,Allocated,Full,07/10/1947
G3ASR,Allocated,Full,13/10/1947
G3AUE,Allocated,Full,16/10/1947
G3CSC,Reserved,Full,18/10/1947
G3COY,Reserved,Full,29/10/1947
G3CVW,Reserved,Full,15/11/1947
G3ALG,Allocated,Full,17/11/1947
G3DAV,Allocated,Full,19/12/1947
G3DCS,Reserved,Full,12/01/1948
G3DEB,Reserved,Full,30/01/1948
G3DFD,Reserved,Full,03/02/1948
G2FFN,Reserved,Full,15/02/1948
G3DIC,Reserved,Full,25/02/1948
G2HBA,Reserved,Full,27/02/1948
G3DJJ,Reserved,Full,12/03/1948
G3DNJ,Reserved,Full,01/04/1948
G3DCZ,Reserved,Full,02/04/1948
G3ENX,Reserved,Full,10/04/1948
G3DOJ,Reserved,Full,12/04/1948
G3DOV,Allocated,Full,16/04/1948
G3EJR,Allocated,Full,21/04/1948
G3DPX,Reserved,Full,23/04/1948
G3DMQ,Reserved,Full,27/04/1948
G3DQQ,Allocated,Full,30/04/1948
G3BRQ,Allocated,Full,03/05/1948
G3DQT,Allocated,Full,06/05/1948
G3DRV,Allocated,Full,08/05/1948
G3DSV,Reserved,Full,14/05/1948
G3BZB,Allocated,Full,28/05/1948
G3EDM,Reserved,Full,03/06/1948
G3DVL,Reserved,Full,14/06/1948
G3BQA,Reserved,Full,17/06/1948
G3DWQ,Reserved,Full,29/06/1948
G3CGE,Allocated,Full,12/07/1948
G3DXZ,Allocated,Full,22/07/1948
G3DZS,Reserved,Full,29/07/1948
G3EAO,Reserved,Full,03/08/1948
G3EBE,Reserved,Full,06/08/1948
G3FRE,Allocated,Full,11/08/1948
G3EDZ,Reserved,Full,03/09/1948
G3EFI,Reserved,Full,09/09/1948
G3EDS,Reserved,Full,15/09/1948
G3EFP,Reserved,Full,17/09/1948
G3EGF,Allocated,Full,23/09/1948
G3EHZ,Reserved,Full,24/09/1948
G3EIX,Reserved,Full,29/09/1948
G3ATX,Allocated,Full,01/10/1948
G3EJH,Allocated,Full,05/10/1948
G3CRH,Allocated,Full,16/10/1948
G3ENJ,Reserved,Full,05/11/1948
G3ERD,Allocated,Full,20/11/1948
G3EPG,Reserved,Full,27/11/1948
G5QK,Allocated,Full,08/12/1948
G3EUS,Reserved,Full,19/01/1949
G3EZX,Reserved,Full,01/02/1949
G3COI,Reserved,Full,07/02/1949
G2FCP,Allocated,Full,14/02/1949
G3FDG,Reserved,Full,17/02/1949
G3FDN,Reserved,Full,19/02/1949
G3DLH,Reserved,Full,18/03/1949
G3KYE,Allocated,Full,18/04/1949
G3GEA,Reserved,Full,23/04/1949
G3FIR,Allocated,Full,04/05/1949
G3FJN,Reserved,Full,09/05/1949
G3GIG,Reserved,Full,10/05/1949
G3DSZ,Allocated,Full,19/05/1949
G3FLV,Allocated,Full,31/05/1949
G3FVD,Reserved,Full,10/06/1949
G3FNO,Allocated,Full,14/06/1949
G3FPH,Allocated,Full,09/07/1949
G2CQX,Allocated,Full,11/07/1949
G3FPF,Reserved,Full,12/07/1949
G3AOK,Reserved,Full,17/09/1949
G3FWD,Allocated,Full,19/09/1949
G3FWI,Allocated,Full,27/09/1949
G3ELS,Allocated,Full,18/10/1949
G3FXN,Allocated,Full,29/10/1949
G3EOO,Allocated,Full,15/11/1949
G3GDU,Reserved,Full,26/11/1949
G3GBS,Allocated,Full,29/11/1949
G3GEF,Allocated,Full,30/11/1949
G3EQM,Allocated,Full,02/12/1949
G3GFT,Reserved,Full,09/12/1949
G3GGG,Allocated,Full,16/12/1949
G3GGO,Reserved,Full,16/12/1949
G3GGL,Reserved,Full,16/12/1949
G3GGK,Allocated,Full,16/12/1949
G3GGY,Reserved,Full,19/12/1949
G3GII,Reserved,Full,10/01/1950
G3EFK,Reserved,Full,20/02/1950
G3GLW,Allocated,Full,04/03/1950
G3GMN,Reserved,Full,10/03/1950
G3GMY,Allocated,Full,20/03/1950
G3GNK,Reserved,Full,01/04/1950
G3GNR,Reserved,Full,01/04/1950
G3GOT,Allocated,Full,18/04/1950
G3GQN,Reserved,Full,12/05/1950
G3HAT,Reserved,Full,13/05/1950
G3GRO,Reserved,Full,26/05/1950
G3GTW,Reserved,Full,27/07/1950
G3GUD,Reserved,Full,10/08/1950
G3HRH,Allocated,Full,20/08/1950
G3HBZ,Reserved,Full,23/09/1950
G3GXQ,Allocated,Full,04/10/1950
G3HBN,Reserved,Full,13/10/1950
G3GZH,Reserved,Full,14/10/1950
G3HAG,Reserved,Full,21/10/1950
G3HAV,Reserved,Full,01/11/1950
G3HCO,Allocated,Full,04/11/1950
G3HCT,Allocated,Full,16/11/1950
G3IMW,Allocated,Full,02/12/1950
G3BST,Allocated,Full,01/01/1951
G3HGL,Allocated,Full,09/01/1951
G3HGM,Reserved,Full,09/01/1951
G3IOW,Reserved,Full,30/01/1951
G3HKN,Allocated,Full,04/04/1951
G3HMO,Allocated,Full,04/04/1951
G3HKQ,Reserved,Full,04/04/1951
G3HMB,Allocated,Full,23/04/1951
G3HMF,Reserved,Full,02/05/1951
G3IIA,Allocated,Full,05/05/1951
G3JBH,Reserved,Full,20/05/1951
G3HOH,Reserved,Full,21/06/1951
G3HQG,Allocated,Full,16/08/1951
G3HWR,Reserved,Full,19/08/1951
G3HRD,Reserved,Full,29/08/1951
G3HRE,Allocated,Full,31/08/1951
G3HRN,Reserved,Full,09/09/1951
G3HTA,Allocated,Full,13/09/1951
G3HTP,Reserved,Full,24/09/1951
G3HUN,Reserved,Full,02/10/1951
G3HUJ,Reserved,Full,03/10/1951
G3HUL,Reserved,Full,10/10/1951
G3HUX,Allocated,Full,13/10/1951
G3JGY,Reserved,Full,19/10/1951
G3HVK,Allocated,Full,20/10/1951
G3HVX,Reserved,Full,01/11/1951
G3HWE,Reserved,Full,07/11/1951
G3HWQ,Reserved,Full,10/11/1951
G3HGD,Allocated,Full,02/12/1951
G3HYJ,Reserved,Full,12/12/1951
G3HYX,Allocated,Full,13/12/1951
G3HZR,Reserved,Full,19/12/1951
