callsign,status,licence_class,licence_issued_date
G4IFJ,Allocated,Full,1903-05-03
G8UYK,Allocated,Full,1904-02-04
G6UGE,Allocated,Full,1904-02-16
G4IUZ,Reserved,Full,1909-10-16
G3ZEX,Allocated,Full,1920-03-03
G3HJH,Allocated,Full,1922-05-22
G4HAB,Allocated,Full,1926-05-05
G6NB,Reserved,Full,1932-01-26
G4TRZ,Allocated,Full,1933-05-26
G5MY,Allocated,Full,1935-02-01
G5IX,Reserved,Full,1935-06-05
G2ADN,Reserved,Full,1936-05-01
G8HB,Reserved,Full,1936-12-16
G2MJ,Reserved,Full,1937-01-02
G3UP,Reserved,Full,1937-01-16
G8SX,Reserved,Full,1937-02-01
G8QM,Allocated,Full,1937-10-26
G3VA,Reserved,Full,1938-02-02
G3QD,Reserved,Full,1938-02-17
G3GA,Reserved,Full,1938-02-23
G2AOZ,Reserved,Full,1938-06-09
G2AMG,Allocated,Full,1938-10-10
G2FQP,Reserved,Full,1938-11-01
G4CK,Allocated,Full,1939-01-30
G4LW,Reserved,Full,1939-02-12
G4DR,Allocated,Full,1939-02-16
G2HIY,Reserved,Full,1939-05-08
G2DKN,Reserved,Full,1939-05-10
G2HDU,Reserved,Full,1939-06-16
G2HMB,Reserved,Full,1939-07-27
G4YZO,Reserved,Full,1939-08-07
G2CQJ,Reserved,Full,1939-08-29
G4JZK,Reserved,Full,1943-07-15
G3JZW,Reserved,Full,1943-10-07
G3ENG,Allocated,Full,1946-01-01
G3SB,Reserved,Full,1946-01-24
G8IK,Allocated,Full,1946-02-01
G3WF,Allocated,Full,1946-02-01
G4LU,Reserved,Full,1946-02-25
G2CGL,Reserved,Full,1946-03-12
G4YK,Allocated,Full,1946-03-16
G2FUD,Reserved,Full,1946-03-21
G2FYV,Reserved,Full,1946-03-22
G2CMW,Reserved,Full,1946-03-25
G2FSA,Reserved,Full,1946-04-01
G3CRP,Reserved,Full,1946-04-18
G3AQB,Allocated,Full,1946-04-30
G3BGM,Reserved,Full,1946-05-01
G2ADR,Reserved,Full,1946-05-28
G3DRB,Reserved,Full,1946-06-06
G3AWW,Reserved,Full,1946-07-01
G3ABA,Reserved,Full,1946-07-02
G2FTK,Reserved,Full,1946-07-03
G3AAJ,Reserved,Full,1946-07-13
G3AAO,Reserved,Full,1946-07-14
G3ADS,Reserved,Full,1946-07-29
G3ADQ,Reserved,Full,1946-07-29
G3AER,Allocated,Full,1946-08-06
G2HKG,Reserved,Full,1946-08-15
G3AIK,Reserved,Full,1946-08-20
G3AJS,Reserved,Full,1946-08-23
G3AKI,Allocated,Full,1946-08-23
G3AKX,Reserved,Full,1946-09-06
G3AMG,Reserved,Full,1946-09-06
G3ANH,Reserved,Full,1946-09-08
G3AAZ,Reserved,Full,1946-09-14
G3AQM,Reserved,Full,1946-09-27
G3ASG,Allocated,Full,1946-10-02
G3ARS,Allocated,Full,1946-10-03
G2HFD,Reserved,Full,1946-10-14
G3AUS,Reserved,Full,1946-10-16
G2DYM,Reserved,Full,1946-10-18
G3AXX,Allocated,Full,1946-11-06
G3APL,Allocated,Full,1946-11-06
G3BHF,Allocated,Full,1946-11-19
