callsign,status,licence_class,created_date,original_start_date
",,",Live,Amateur Intermediate Radio Licence,2024-06-17 03:10,2018-04-19
.,Live,Amateur Full Radio Licence,2024-08-16 08:03,2024-08-15
20AAC,Live,Amateur Intermediate Radio Licence,2024-07-11 14:19,2016-07-29
20AAD,Live,Amateur Intermediate Radio Licence,2024-03-19 11:14,2016-07-29
20AAE,Live,Amateur Intermediate Radio Licence,2024-04-12 18:22,2016-07-30
20AAF,Live,Amateur Intermediate Radio Licence,2024-03-11 19:42,2016-07-31
20AAG,Live,Amateur Intermediate Radio Licence,2024-06-15 03:51,2016-08-01
20AAH,Live,Amateur Intermediate Radio Licence,2024-04-17 18:44,2016-08-02
20AAI,Live,Amateur Intermediate Radio Licence,2024-03-12 19:07,2016-08-05
20AAJ,Live,Amateur Intermediate Radio Licence,2024-03-12 19:10,2016-08-05
20AAK,Live,Amateur Intermediate Radio Licence,2024-09-01 06:45,1991-09-05
20AAL,Live,Amateur Intermediate Radio Licence,2024-03-12 19:09,2016-08-05
20AAM,Live,Amateur Intermediate Radio Licence,2024-03-21 19:29,2016-08-06
20AAN,Live,Amateur Intermediate Radio Licence,2024-05-03 12:30,2016-08-06
20AAO,Live,Amateur Intermediate Radio Licence,2024-03-12 19:12,2016-08-06
20AAP,Live,Amateur Intermediate Radio Licence,2024-09-01 02:43,1991-10-24
20AAQ,Live,Amateur Intermediate Radio Licence,2024-03-25 19:26,2016-08-09
20AAR,Live,Amateur Intermediate Radio Licence,2024-03-12 19:19,2016-08-09
20AAS,Live,Amateur Intermediate Radio Licence,2024-03-26 19:44,2016-08-11
20AAX,Live,Amateur Intermediate Radio Licence,2024-09-01 02:33,1991-12-12
20AAZ,Live,Amateur Intermediate Radio Licence,2024-04-05 18:17,1991-12-13
20ABD,Live,Amateur Intermediate Radio Licence,2024-09-01 02:35,1992-01-03
20ABL,Live,Amateur Intermediate Radio Licence,2024-09-03 04:12,1992-02-20
20ABT,Live,Amateur Intermediate Radio Licence,2024-09-02 03:05,1992-03-31
20ABU,Live,Amateur Intermediate Radio Licence,2024-06-18 02:58,2022-10-24
20ABW,Live,Amateur Intermediate Radio Licence,2024-04-23 18:35,1992-06-14
20ACA,Live,Amateur Intermediate Radio Licence,2024-07-21 02:46,1992-06-14
20ACE,Live,Amateur Intermediate Radio Licence,2024-04-30 18:04,1992-05-17
20ACO,Live,Amateur Intermediate Radio Licence,2024-09-02 04:18,1992-06-19
20ACQ,Live,Amateur Intermediate Radio Licence,2024-09-03 03:59,2000-06-26
20ACR,Live,Amateur Intermediate Radio Licence,2024-09-02 03:05,1992-06-28
20ACS,Live,Amateur Intermediate Radio Licence,2024-06-07 03:30,2005-07-05
20ACV,Live,Amateur Intermediate Radio Licence,2024-09-02 03:22,1992-07-10
20ADA,Live,Amateur Intermediate Radio Licence,2024-03-18 19:10,1992-07-05
20ADD,Live,Amateur Intermediate Radio Licence,2024-09-01 02:53,2006-12-04
20ADE,Live,Amateur Intermediate Radio Licence,2024-09-02 04:36,1992-08-07
20ADK,Live,Amateur Intermediate Radio Licence,2024-03-12 19:21,2016-08-09
20ADL,Live,Amateur Intermediate Radio Licence,2024-05-22 18:06,1992-09-16
20ADM,Live,Amateur Intermediate Radio Licence,2024-05-13 18:07,2016-07-29
20ADN,Live,Amateur Intermediate Radio Licence,2024-09-03 03:19,1992-09-16
20ADO,Live,Amateur Intermediate Radio Licence,2024-06-22 04:09,2014-04-01
20ADR,Live,Amateur Intermediate Radio Licence,2024-03-28 19:20,2017-09-22
20ADY,Live,Amateur Intermediate Radio Licence,2024-06-07 20:42,2020-11-02
20AED,Live,Amateur Intermediate Radio Licence,2024-09-02 04:30,1992-11-12
20AER,Live,Amateur Intermediate Radio Licence,2024-04-06 18:06,1993-01-24
20AES,Live,Amateur Intermediate Radio Licence,2024-09-01 02:38,1993-02-11
20AFA,Live,Amateur Intermediate Radio Licence,2024-08-31 02:44,2012-02-20
20AFL,Live,Amateur Intermediate Radio Licence,2024-06-11 04:16,1993-05-12
20AFO,Live,Amateur Intermediate Radio Licence,2024-05-15 18:30,2014-01-30
20AFP,Live,Amateur Intermediate Radio Licence,2024-09-01 02:34,1993-05-18
20AFT,Live,Amateur Intermediate Radio Licence,2024-06-26 02:56,2010-02-16
20AGB,Live,Amateur Intermediate Radio Licence,2024-05-12 18:11,2019-12-23
20AGI,Live,Amateur Intermediate Radio Licence,2024-09-02 03:22,1993-08-28
20AGQ,Live,Amateur Intermediate Radio Licence,2024-09-03 02:55,1996-07-11
20AGS,Live,Amateur Intermediate Radio Licence,2024-09-01 04:27,2006-12-04
20AGT,Live,Amateur Intermediate Radio Licence,2024-09-01 03:54,2006-12-13
20AHB,Live,Amateur Intermediate Radio Licence,2024-06-08 04:12,2021-04-15
20AHO,Live,Amateur Intermediate Radio Licence,2024-09-02 03:01,1994-03-11
20AHX,Live,Amateur Intermediate Radio Licence,2024-09-07 02:57,2016-03-10
20AIB,Live,Amateur Intermediate Radio Licence,2024-06-04 04:27,2020-12-04
20AIE,Live,Amateur Intermediate Radio Licence,2024-03-14 19:31,2016-10-11
20AIH,Live,Amateur Intermediate Radio Licence,2024-09-03 03:01,2001-07-21
20AIK,Live,Amateur Intermediate Radio Licence,2024-09-02 02:58,1994-07-30
20AIL,Live,Amateur Intermediate Radio Licence,2024-09-01 02:32,1994-08-02
20AIM,Live,Amateur Intermediate Radio Licence,2024-09-02 04:15,1994-08-02
20AIT,Live,Amateur Intermediate Radio Licence,2024-09-02 02:49,1994-08-26
20AIV,Live,Amateur Intermediate Radio Licence,2024-06-07 03:13,1994-09-17
20AJG,Live,Amateur Intermediate Radio Licence,2024-06-10 04:07,2021-07-13
20AJK,Live,Amateur Intermediate Radio Licence,2024-09-02 03:47,1994-11-26
20AJM,Live,Amateur Intermediate Radio Licence,2024-03-14 11:31,2024-03-14
20AJP,Live,Amateur Intermediate Radio Licence,2024-09-05 04:57,1995-01-04
20AJQ,Live,Amateur Intermediate Radio Licence,2024-09-02 03:04,1995-01-10
20AJS,Live,Amateur Intermediate Radio Licence,2024-04-18 18:18,1995-01-27
20AJT,Live,Amateur Intermediate Radio Licence,2024-09-02 04:40,1995-02-07
20AJX,Live,Amateur Intermediate Radio Licence,2024-06-17 02:35,2016-07-29
20AJZ,Live,Amateur Intermediate Radio Licence,2024-09-20 06:58,2023-04-04
20AKA,Live,Amateur Intermediate Radio Licence,2024-06-16 03:57,2020-08-20
20AKG,Live,Amateur Intermediate Radio Licence,2024-09-08 02:41,2006-12-14
20AKI,Live,Amateur Intermediate Radio Licence,2024-03-08 19:36,2006-12-15
20AKJ,Live,Amateur Intermediate Radio Licence,2024-06-19 02:41,2006-12-16
20AKK,Live,Amateur Intermediate Radio Licence,2024-03-25 19:15,2006-12-01
20AKL,Live,Amateur Intermediate Radio Licence,2024-03-19 19:44,2006-12-18
20AKN,Live,Amateur Intermediate Radio Licence,2024-09-01 03:25,2006-12-19
20AKO,Live,Amateur Intermediate Radio Licence,2024-09-01 03:54,2006-12-21
20AKQ,Live,Amateur Intermediate Radio Licence,2024-06-15 03:29,2007-01-08
20AKS,Live,Amateur Intermediate Radio Licence,2024-09-01 02:56,2007-01-26
20AKT,Live,Amateur Intermediate Radio Licence,2024-04-03 18:36,1995-04-19
20AKU,Live,Amateur Intermediate Radio Licence,2024-04-20 18:05,2007-01-30
20ALA,Live,Amateur Intermediate Radio Licence,2024-05-01 10:18,2007-02-02
20ALB,Live,Amateur Intermediate Radio Licence,2024-04-21 19:16,2007-02-02
20ALC,Live,Amateur Intermediate Radio Licence,2024-03-29 19:45,2007-02-03
20ALD,Live,Amateur Intermediate Radio Licence,2024-09-03 03:38,2007-02-01
20ALE,Live,Amateur Intermediate Radio Licence,2024-09-03 03:01,2007-02-07
20ALF,Live,Amateur Intermediate Radio Licence,2024-09-03 02:40,2003-11-13
20ALH,Live,Amateur Intermediate Radio Licence,2024-09-03 02:45,2007-02-07
20ALI,Live,Amateur Intermediate Radio Licence,2024-09-01 03:28,2007-01-02
20ALJ,Live,Amateur Intermediate Radio Licence,2024-06-14 04:29,2007-02-07
20ALK,Live,Amateur Intermediate Radio Licence,2024-09-03 03:55,2007-02-08
20ALL,Live,Amateur Intermediate Radio Licence,2024-09-03 02:37,2007-02-01
20ALS,Live,Amateur Intermediate Radio Licence,2024-09-02 03:31,1995-05-16
20ALW,Live,Amateur Intermediate Radio Licence,2024-09-02 04:32,1995-06-20
20ALZ,Live,Amateur Intermediate Radio Licence,2024-09-01 02:39,1995-06-28
20AMB,Live,Amateur Intermediate Radio Licence,2024-09-01 02:35,1995-06-29
20AMD,Live,Amateur Intermediate Radio Licence,2024-06-07 02:48,2021-02-25
20AMN,Live,Amateur Intermediate Radio Licence,2024-06-04 03:00,2020-11-03
20AMO,Live,Amateur Intermediate Radio Licence,2024-06-26 02:45,2023-11-13
20AMS,Live,Amateur Intermediate Radio Licence,2024-06-04 03:02,2020-11-03
20AMW,Live,Amateur Intermediate Radio Licence,2024-09-02 03:50,1995-09-28
20AND,Live,Amateur Intermediate Radio Licence,2024-06-09 03:06,2021-05-11
20ANM,Live,Amateur Intermediate Radio Licence,2024-06-23 03:17,2023-07-27
20AOK,Live,Amateur Intermediate Radio Licence,2024-06-23 03:03,1996-04-26
20AOL,Live,Amateur Intermediate Radio Licence,2024-09-02 03:07,2003-01-23
20AOO,Live,Amateur Intermediate Radio Licence,2024-05-27 18:39,2020-06-09
20AOS,Live,Amateur Intermediate Radio Licence,2024-09-02 04:18,1996-07-05
20AOU,Live,Amateur Intermediate Radio Licence,2024-09-05 11:39,1996-07-24
20AOZ,Live,Amateur Intermediate Radio Licence,2024-03-08 19:33,1996-08-07
20APB,Live,Amateur Intermediate Radio Licence,2024-06-25 02:57,1996-08-28
20APD,Live,Amateur Intermediate Radio Licence,2024-07-10 09:02,2024-07-10
