callsign,original_start_date
G2AA,1992-10-30
G2AS,2008-08-12
G2AS,1989-10-11 01:00:00
G2BX,2006-02-02
G2CD,2001-03-20
G2CH,1981-12-08
G2CO,1996-06-04 01:00:00
G2CP,2014-12-15
G2CP,1997-11-13
G2DD,2000-07-25 01:00:00
G2DJ,1996-04-09 01:00:00
G2DX,2009-10-07
G2FA,1989-06-21 01:00:00
G2FM,2007-03-15
G2FZ,1987-11-18
G2HR,2012-02-29
G2HR,1981-12-15
G2HS,1977-01-25
G2HW,2012-10-15
G2HW,1977-02-28
G2IF,2000-09-20 01:00:00
G2IV,2003-10-03 01:00:00
G2JL,2002-08-13 01:00:00
G2KF,2000-02-22
G2KG,1982-12-31
G2KQ,2008-04-02
G2KU,1977-01-23
G2LL,1992-12-16
G2LO,1983-07-22 01:00:00
G2LW,2000-02-29
G2MP,1997-02-17
G2MT,1983-01-14
G2NF,2014-07-04
G2NM,1993-02-13
G2OA,2009-09-24
G2OA,2003-06-10 01:00:00
G2OG,1977-01-21
G2OP,2011-02-24
G2OT,1981-03-11
G2OU,2004-06-21 01:00:00
G2PA,2006-08-03 01:00:00
G2PB,1953-02-07
G2PB,2009-01-20
G2PK,1983-04-11 01:00:00
G2PS,1977-04-05 01:00:00
G2PT,1977-12-21
G2QT,1977-01-17
G2RS,2002-02-01
G2SH,1977-09-19 01:00:00
G2SP,1982-08-12 01:00:00
G2SR,2009-06-30
G2SR,2013-12-12
G2SU,1965-04-01 01:00:00
G2SZ,2003-10-14 01:00:00
G2TO,1981-03-09
G2TS,1977-09-28 01:00:00
G2TV,1987-07-14 01:00:00
G2UG,2012-10-24
G2UG,1996-04-19 01:00:00
G2UH,1963-07-24 01:00:00
G2UT,1994-03-18
G2VH,1985-07-11 01:00:00
G2VP,2000-11-24
G2VS,2004-06-09 01:00:00
G2VS,2005-06-09 01:00:00
G2XD,1977-05-25 01:00:00
G2XG,1994-03-04
G2XP,1992-03-24
G2XQ,1965-03-28
G2XV,2009-11-12
G2XV,1977-01-15
G2YC,2007-08-06
G2YL,2009-09-18
G2YL,2008-07-29
G2YT,2000-01-28
G3AB,2002-08-13 01:00:00
G3AH,2012-06-21
G3BJ,2001-01-08
G3BK,1996-07-29 01:00:00
G3BV,2002-12-18
G3CF,1977-02-02
G3CO,2010-05-25
G3CO,2011-03-29
G3CO,1996-02-08
G3CR,2004-01-26
G3DT,2003-10-03 01:00:00
G3FD,1963-02-12
G3FD,2005-10-07 01:00:00
G3FM,1977-01-18
G3FP,1977-03-13
G3GC,1977-10-24 01:00:00
G3GG,2002-02-19
G3HN,1958-05-21 01:00:00
G3HU,1977-02-01
G3II,2007-06-13
G3IT,2008-08-20
G3IT,1980-03-12
G3IW,1996-01-19
G3JQ,1998-05-14 01:00:00
G3KC,2003-10-29
G3LD,1977-04-10 01:00:00
G3LX,2014-10-06
G3LX,1977-03-28 01:00:00
G3MA,1984-02-08
G3MD,2011-05-31
G3NN,2001-05-10 01:00:00
G3NR,2013-03-15
G3OJ,1978-06-22 01:00:00
G3OS,2003-03-17
G3OZ,1984-01-22
G3PD,1992-10-01 01:00:00
G3PH,1977-07-04 01:00:00
G3PS,1989-02-16
G3PV,1977-02-21
G3QI,2006-12-14
G3RD,1977-06-15 01:00:00
G3RE,1997-03-27
G3RR,2006-06-05 01:00:00
G3RR,2004-07-05 01:00:00
G3RZ,1977-02-08
G3SB,1946-01-24
G3SG,2004-01-20
G3SR,2009-09-14
G3SZ,1983-08-24 01:00:00
G3TA,1981-05-07 01:00:00
G3TN,1984-05-18 01:00:00
G3UA,1983-04-14 01:00:00
G3UD,1983-11-01
G3UI,1963-05-13 01:00:00
G3UK,2011-05-31
G3UK,1977-02-13
G3UM,1977-03-14
G3UU,1977-01-29
G3VC,1982-11-16
G3VD,1991-02-22
G3VG,1987-02-25
G3VN,1991-04-05 01:00:00
G3VQ,1977-08-30 01:00:00
G3VW,2001-10-17 01:00:00
G3WA,2010-12-13
G3WF,1946-02-01
G3WI,1999-10-01 01:00:00
G3WM,2012-12-28
G3WM,2007-08-21
G3WM,2006-04-04 01:00:00
G3WP,1977-02-12
G3WQ,1953-02-08
G3WW,2006-08-30 01:00:00
G3XG,2000-09-20 01:00:00
G3YA,1988-12-05
G3YL,2001-11-14
G3YQ,1988-08-15 01:00:00
G3YS,2009-01-07
G3YS,1984-01-18
G3YS,2006-10-05 01:00:00
G4AL,2007-05-10
G4AL,1977-02-12
G4AP,2003-10-06 01:00:00
G4AQ,1964-07-19 01:00:00
G4AV,1977-02-26
G4BG,1972-01-13
G4BM,2003-02-03
G4BP,1952-09-12 01:00:00
G4CA,1947-05-31 01:00:00
G4CC,1982-06-11 01:00:00
G4CI,1987-03-12
G4CW,1977-03-08
G4DF,1977-10-26 01:00:00
G4FB,1984-01-25
G4FH,2007-07-25
G4FI,2001-11-06
G4FM,1977-07-02 01:00:00
G4FP,2002-09-09 01:00:00
G4GG,1977-02-25
G4GM,1984-02-14
G4GW,1987-03-12
G4GZ,1953-02-07
G4GZ,2006-08-30 01:00:00
G4HL,1981-11-03
G4HS,2000-08-21 01:00:00
G4JA,1992-06-17 01:00:00
G4JR,2003-08-08 01:00:00
G4JS,2010-07-30
G4JY,1977-02-26
G4KQ,1985-01-18
G4LJ,1977-02-11
G4LU,1946-02-25
G4LX,1977-07-05 01:00:00
G4MB,1972-09-18 01:00:00
G4MD,1984-06-20 01:00:00
G4MF,1970-02-14
G4MH,1965-12-16
G4MM,1999-02-19
G4MQ,2008-06-19
G4MR,2004-08-17
G4MX,1953-05-31 01:00:00
G4NS,1983-07-25 01:00:00
G4OH,2008-08-11
G4OO,2001-01-30
G4OQ,1977-05-17 01:00:00
G4PC,1977-01-24
G4PF,2010-05-18
G4PM,1982-04-29 01:00:00
G4QA,2004-03-04
G4RJ,1977-05-01 01:00:00
G4RL,1955-05-06 01:00:00
G4RS,2013-01-25
G4RS,1967-03-31 01:00:00
G4YK,1946-03-16
G4ZA,2006-11-01
G4ZU,2012-09-25
G5AF,1977-12-30
G5AU,2011-05-24
G5BH,1957-05-20 01:00:00
G5BK,1985-05-16 01:00:00
