callsign,status,licence_class,suffix
M6FEQ,Available,Amateur Foundation Radio Licence,FEQ
M6FEU,Available,Amateur Foundation Radio Licence,FEU
M6FEV,Available,Amateur Foundation Radio Licence,FEV
M6FEX,Available,Amateur Foundation Radio Licence,FEX
M6FFA,Available,Amateur Foundation Radio Licence,FFA
M6FFB,Available,Amateur Foundation Radio Licence,FFB
M6FFE,Available,Amateur Foundation Radio Licence,FFE
M6FFG,Available,Amateur Foundation Radio Licence,FFG
M6FFI,Available,Amateur Foundation Radio Licence,FFI
M6FFJ,Available,Amateur Foundation Radio Licence,FFJ
M6FFK,Available,Amateur Foundation Radio Licence,FFK
M6FFL,Available,Amateur Foundation Radio Licence,FFL
M6FFN,Available,Amateur Foundation Radio Licence,FFN
M6FFO,Available,Amateur Foundation Radio Licence,FFO
M6FFP,Available,Amateur Foundation Radio Licence,FFP
M6FFQ,Available,Amateur Foundation Radio Licence,FFQ
M6FFU,Available,Amateur Foundation Radio Licence,FFU
M6FFV,Available,Amateur Foundation Radio Licence,FFV
M6FFW,Available,Amateur Foundation Radio Licence,FFW
M6FFX,Available,Amateur Foundation Radio Licence,FFX
M6FFY,Available,Amateur Foundation Radio Licence,FFY
M6FFZ,Available,Amateur Foundation Radio Licence,FFZ
M6FGA,Available,Amateur Foundation Radio Licence,FGA
M6FGB,Available,Amateur Foundation Radio Licence,FGB
M6FGC,Available,Amateur Foundation Radio Licence,FGC
M6FGD,Available,Amateur Foundation Radio Licence,FGD
M6FGE,Available,Amateur Foundation Radio Licence,FGE
M6FGI,Available,Amateur Foundation Radio Licence,FGI
M6FGJ,Available,Amateur Foundation Radio Licence,FGJ
M6FGK,Available,Amateur Foundation Radio Licence,FGK
M6FGL,Available,Amateur Foundation Radio Licence,FGL
M6FGM,Available,Amateur Foundation Radio Licence,FGM
M6FGN,Available,Amateur Foundation Radio Licence,FGN
M6FGO,Available,Amateur Foundation Radio Licence,FGO
M6FGQ,Available,Amateur Foundation Radio Licence,FGQ
M6FGR,Available,Amateur Foundation Radio Licence,FGR
M6FGS,Available,Amateur Foundation Radio Licence,FGS
M6FGT,Available,Amateur Foundation Radio Licence,FGT
M6FGU,Available,Amateur Foundation Radio Licence,FGU
M6FGV,Available,Amateur Foundation Radio Licence,FGV
M6FGX,Available,Amateur Foundation Radio Licence,FGX
M6FGZ,Available,Amateur Foundation Radio Licence,FGZ
M6FHA,Available,Amateur Foundation Radio Licence,FHA
M6FHB,Available,Amateur Foundation Radio Licence,FHB
M6FHD,Available,Amateur Foundation Radio Licence,FHD
M6FHE,Available,Amateur Foundation Radio Licence,FHE
M6FHF,Available,Amateur Foundation Radio Licence,FHF
M6FHG,Available,Amateur Foundation Radio Licence,FHG
M6FHJ,Available,Amateur Foundation Radio Licence,FHJ
M6FHK,Available,Amateur Foundation Radio Licence,FHK
M6FHL,Available,Amateur Foundation Radio Licence,FHL
M6FHN,Available,Amateur Foundation Radio Licence,FHN
M6FHO,Available,Amateur Foundation Radio Licence,FHO
M6FHP,Available,Amateur Foundation Radio Licence,FHP
M6FHQ,Available,Amateur Foundation Radio Licence,FHQ
M6FHS,Available,Amateur Foundation Radio Licence,FHS
M6FHT,Available,Amateur Foundation Radio Licence,FHT
M6FHU,Available,Amateur Foundation Radio Licence,FHU
M6FHV,Available,Amateur Foundation Radio Licence,FHV
M6FHX,Available,Amateur Foundation Radio Licence,FHX
M6FHY,Available,Amateur Foundation Radio Licence,FHY
M6FIB,Available,Amateur Foundation Radio Licence,FIB
M6FID,Available,Amateur Foundation Radio Licence,FID
M6FIE,Available,Amateur Foundation Radio Licence,FIE
M6FIF,Available,Amateur Foundation Radio Licence,FIF
M6FIH,Available,Amateur Foundation Radio Licence,FIH
M6FII,Available,Amateur Foundation Radio Licence,FII
M6FIJ,Available,Amateur Foundation Radio Licence,FIJ
M6FIK,Available,Amateur Foundation Radio Licence,FIK
M6FIM,Available,Amateur Foundation Radio Licence,FIM
M6FIO,Available,Amateur Foundation Radio Licence,FIO
M6FIP,Available,Amateur Foundation Radio Licence,FIP
M6FIQ,Available,Amateur Foundation Radio Licence,FIQ
M6FIU,Available,Amateur Foundation Radio Licence,FIU
M6FIV,Available,Amateur Foundation Radio Licence,FIV
M6FIW,Available,Amateur Foundation Radio Licence,FIW
M6FIY,Available,Amateur Foundation Radio Licence,FIY
M6FJE,Available,Amateur Foundation Radio Licence,FJE
M6FJF,Available,Amateur Foundation Radio Licence,FJF
M6FJG,Available,Amateur Foundation Radio Licence,FJG
M6FJH,Available,Amateur Foundation Radio Licence,FJH
M6FJI,Available,Amateur Foundation Radio Licence,FJI
M6FJK,Available,Amateur Foundation Radio Licence,FJK
M6FJL,Available,Amateur Foundation Radio Licence,FJL
M6FJM,Available,Amateur Foundation Radio Licence,FJM
M6FJN,Available,Amateur Foundation Radio Licence,FJN
M6FJO,Available,Amateur Foundation Radio Licence,FJO
M6FJP,Available,Amateur Foundation Radio Licence,FJP
M6FJQ,Available,Amateur Foundation Radio Licence,FJQ
M6FJS,Available,Amateur Foundation Radio Licence,FJS
M6FJT,Available,Amateur Foundation Radio Licence,FJT
M6FJU,Available,Amateur Foundation Radio Licence,FJU
M6FJV,Available,Amateur Foundation Radio Licence,FJV
M6FJW,Available,Amateur Foundation Radio Licence,FJW
M6FJX,Available,Amateur Foundation Radio Licence,FJX
M6FJZ,Available,Amateur Foundation Radio Licence,FJZ
M6FKA,Available,Amateur Foundation Radio Licence,FKA
M6FKB,Available,Amateur Foundation Radio Licence,FKB
M6FKC,Available,Amateur Foundation Radio Licence,FKC
M6FKD,Available,Amateur Foundation Radio Licence,FKD
M6FKE,Available,Amateur Foundation Radio Licence,FKE
M6FKF,Available,Amateur Foundation Radio Licence,FKF
M6FKG,Available,Amateur Foundation Radio Licence,FKG
M6FKH,Available,Amateur Foundation Radio Licence,FKH
M6FKI,Available,Amateur Foundation Radio Licence,FKI
M6FKL,Available,Amateur Foundation Radio Licence,FKL
M6FKN,Available,Amateur Foundation Radio Licence,FKN
M6FKO,Available,Amateur Foundation Radio Licence,FKO
M6FKP,Available,Amateur Foundation Radio Licence,FKP
M6FKQ,Available,Amateur Foundation Radio Licence,FKQ
M6FKR,Available,Amateur Foundation Radio Licence,FKR
M6FKS,Available,Amateur Foundation Radio Licence,FKS
M6FKT,Available,Amateur Foundation Radio Licence,FKT
M6FKV,Available,Amateur Foundation Radio Licence,FKV
M6FKW,Available,Amateur Foundation Radio Licence,FKW
M6FKX,Available,Amateur Foundation Radio Licence,FKX
M6FKY,Available,Amateur Foundation Radio Licence,FKY
M6FKZ,Available,Amateur Foundation Radio Licence,FKZ
M6FLF,Available,Amateur Foundation Radio Licence,FLF
M6FLJ,Available,Amateur Foundation Radio Licence,FLJ
M6FLQ,Available,Amateur Foundation Radio Licence,FLQ
M6FLR,Available,Amateur Foundation Radio Licence,FLR
M6FLS,Available,Amateur Foundation Radio Licence,FLS
M6FLU,Available,Amateur Foundation Radio Licence,FLU
M6FLV,Available,Amateur Foundation Radio Licence,FLV
M6FLW,Available,Amateur Foundation Radio Licence,FLW
M6FLZ,Available,Amateur Foundation Radio Licence,FLZ
M6FMB,Available,Amateur Foundation Radio Licence,FMB
M6FMF,Available,Amateur Foundation Radio Licence,FMF
M6FMH,Available,Amateur Foundation Radio Licence,FMH
M6FMI,Available,Amateur Foundation Radio Licence,FMI
M6FMK,Available,Amateur Foundation Radio Licence,FMK
M6FMN,Available,Amateur Foundation Radio Licence,FMN
M6FMP,Available,Amateur Foundation Radio Licence,FMP
M6FMQ,Available,Amateur Foundation Radio Licence,FMQ
M6FMR,Available,Amateur Foundation Radio Licence,FMR
M6FMT,Available,Amateur Foundation Radio Licence,FMT
M6FMV,Available,Amateur Foundation Radio Licence,FMV
M6FMW,Available,Amateur Foundation Radio Licence,FMW
M6FMX,Available,Amateur Foundation Radio Licence,FMX
M6FMY,Available,Amateur Foundation Radio Licence,FMY
M6FMZ,Available,Amateur Foundation Radio Licence,FMZ
M6FNA,Available,Amateur Foundation Radio Licence,FNA
M6FNC,Available,Amateur Foundation Radio Licence,FNC
M6FND,Available,Amateur Foundation Radio Licence,FND
M6FNE,Available,Amateur Foundation Radio Licence,FNE
M6FNF,Available,Amateur Foundation Radio Licence,FNF
M6FNH,Available,Amateur Foundation Radio Licence,FNH
M6FNI,Available,Amateur Foundation Radio Licence,FNI
M6FNJ,Available,Amateur Foundation Radio Licence,FNJ
M6FNL,Available,Amateur Foundation Radio Licence,FNL
M6FNN,Available,Amateur Foundation Radio Licence,FNN
M6FNO,Available,Amateur Foundation Radio Licence,FNO
M6FNP,Available,Amateur Foundation Radio Licence,FNP
M6FNQ,Available,Amateur Foundation Radio Licence,FNQ
M6FNS,Available,Amateur Foundation Radio Licence,FNS
M6FNT,Available,Amateur Foundation Radio Licence,FNT
M6FNU,Available,Amateur Foundation Radio Licence,FNU
M6FNV,Available,Amateur Foundation Radio Licence,FNV
M6FNW,Available,Amateur Foundation Radio Licence,FNW
M6FNX,Available,Amateur Foundation Radio Licence,FNX
M6FNY,Available,Amateur Foundation Radio Licence,FNY
M6FNZ,Available,Amateur Foundation Radio Licence,FNZ
M6FOE,Available,Amateur Foundation Radio Licence,FOE
M6FOH,Available,Amateur Foundation Radio Licence,FOH
M6FOI,Available,Amateur Foundation Radio Licence,FOI
M6FOK,Available,Amateur Foundation Radio Licence,FOK
M6FOL,Available,Amateur Foundation Radio Licence,FOL
M6FON,Available,Amateur Foundation Radio Licence,FON
M6FOQ,Available,Amateur Foundation Radio Licence,FOQ
M6FOT,Available,Amateur Foundation Radio Licence,FOT
M6FOV,Available,Amateur Foundation Radio Licence,FOV
M6FOW,Available,Amateur Foundation Radio Licence,FOW
M6FPA,Available,Amateur Foundation Radio Licence,FPA
M6FPB,Available,Amateur Foundation Radio Licence,FPB
M6FPH,Available,Amateur Foundation Radio Licence,FPH
M6FPI,Available,Amateur Foundation Radio Licence,FPI
M6FPJ,Available,Amateur Foundation Radio Licence,FPJ
M6FPL,Available,Amateur Foundation Radio Licence,FPL
M6FPM,Available,Amateur Foundation Radio Licence,FPM
M6FPN,Available,Amateur Foundation Radio Licence,FPN
M6FPP,Available,Amateur Foundation Radio Licence,FPP
