callsign,status,licence_class,suffix
BZG,Available,Amateur Full Radio Licence,1
BZG,Available,Amateur Full Radio Licence,BZG
C,Available,Amateur Full Radio Licence,NXC
G0NWI,Available,Amateur Full Radio Licence,NWI
G4SOY,Available,Amateur Full Radio Licence,SOY
G4XDT,Available,Amateur Full Radio Licence,XDT
G4ZYT,Available,Amateur Full Radio Licence,ZYT
M0HVN,Available,Amateur Full Radio Licence,HVN
M0HVP,Available,Amateur Full Radio Licence,HVP
M0HVQ,Available,Amateur Full Radio Licence,HVQ
M0HVR,Available,Amateur Full Radio Licence,HVR
M0HVS,Available,Amateur Full Radio Licence,HVS
M0HVT,Available,Amateur Full Radio Licence,HVT
M0HVU,Available,Amateur Full Radio Licence,HVU
M0HVV,Available,Amateur Full Radio Licence,HVV
M0HVW,Available,Amateur Full Radio Licence,HVW
M0HVX,Available,Amateur Full Radio Licence,HVX
M0HVY,Available,Amateur Full Radio Licence,HVY
M0HVZ,Available,Amateur Full Radio Licence,HVZ
M0HWB,Available,Amateur Full Radio Licence,HWB
M0HWD,Available,Amateur Full Radio Licence,HWD
M0HWE,Available,Amateur Full Radio Licence,HWE
M0HWF,Available,Amateur Full Radio Licence,HWF
M0HWG,Available,Amateur Full Radio Licence,HWG
M0HWH,Available,Amateur Full Radio Licence,HWH
M0HWI,Available,Amateur Full Radio Licence,HWI
M0HWJ,Available,Amateur Full Radio Licence,HWJ
M0HWL,Available,Amateur Full Radio Licence,HWL
M0HWO,Available,Amateur Full Radio Licence,HWO
M0HWP,Available,Amateur Full Radio Licence,HWP
M0HWQ,Available,Amateur Full Radio Licence,HWQ
M0HWT,Available,Amateur Full Radio Licence,HWT
M0HWU,Available,Amateur Full Radio Licence,HWU
M0HWV,Available,Amateur Full Radio Licence,HWV
M0HWW,Available,Amateur Full Radio Licence,HWW
M0HWX,Available,Amateur Full Radio Licence,HWX
M0HWZ,Available,Amateur Full Radio Licence,HWZ
M0HXA,Available,Amateur Full Radio Licence,HXA
M0HXC,Available,Amateur Full Radio Licence,HXC
M0HXD,Available,Amateur Full Radio Licence,HXD
M0HXF,Available,Amateur Full Radio Licence,HXF
M0HXG,Available,Amateur Full Radio Licence,HXG
M0HXH,Available,Amateur Full Radio Licence,HXH
M0HXI,Available,Amateur Full Radio Licence,HXI
M0HXJ,Available,Amateur Full Radio Licence,HXJ
M0HXK,Available,Amateur Full Radio Licence,HXK
M0HXL,Available,Amateur Full Radio Licence,HXL
M0HXM,Available,Amateur Full Radio Licence,HXM
M0HXN,Available,Amateur Full Radio Licence,HXN
M0HXO,Available,Amateur Full Radio Licence,HXO
M0HXP,Available,Amateur Full Radio Licence,HXP
M0HXQ,Available,Amateur Full Radio Licence,HXQ
M0HXR,Available,Amateur Full Radio Licence,HXR
M0HXS,Available,Amateur Full Radio Licence,HXS
M0HXU,Available,Amateur Full Radio Licence,HXU
M0HXV,Available,Amateur Full Radio Licence,HXV
M0HXW,Available,Amateur Full Radio Licence,HXW
M0HXX,Available,Amateur Full Radio Licence,HXX
M0HXY,Available,Amateur Full Radio Licence,HXY
M0HXZ,Available,Amateur Full Radio Licence,HXZ
M0HYA,Available,Amateur Full Radio Licence,HYA
M0HYB,Available,Amateur Full Radio Licence,HYB
M0HYF,Available,Amateur Full Radio Licence,HYF
M0HYG,Available,Amateur Full Radio Licence,HYG
M0HYH,Available,Amateur Full Radio Licence,HYH
M0HYI,Available,Amateur Full Radio Licence,HYI
M0HYJ,Available,Amateur Full Radio Licence,HYJ
M0HYK,Available,Amateur Full Radio Licence,HYK
M0HYL,Available,Amateur Full Radio Licence,HYL
M0HYM,Available,Amateur Full Radio Licence,HYM
M0HYN,Available,Amateur Full Radio Licence,HYN
M0HYO,Available,Amateur Full Radio Licence,HYO
M0HYQ,Available,Amateur Full Radio Licence,HYQ
M0HYS,Available,Amateur Full Radio Licence,HYS
M0HYU,Available,Amateur Full Radio Licence,HYU
M0HYV,Available,Amateur Full Radio Licence,HYV
M0HYW,Available,Amateur Full Radio Licence,HYW
M0HYX,Available,Amateur Full Radio Licence,HYX
M0HYY,Available,Amateur Full Radio Licence,HYY
M0HYZ,Available,Amateur Full Radio Licence,HYZ
M0HZA,Available,Amateur Full Radio Licence,HZA
M0HZB,Available,Amateur Full Radio Licence,HZB
M0HZC,Available,Amateur Full Radio Licence,HZC
M0HZD,Available,Amateur Full Radio Licence,HZD
M0HZE,Available,Amateur Full Radio Licence,HZE
M0HZF,Available,Amateur Full Radio Licence,HZF
M0HZG,Available,Amateur Full Radio Licence,HZG
M0HZH,Available,Amateur Full Radio Licence,HZH
M0HZI,Available,Amateur Full Radio Licence,HZI
M0HZJ,Available,Amateur Full Radio Licence,HZJ
M0HZK,Available,Amateur Full Radio Licence,HZK
M0HZM,Available,Amateur Full Radio Licence,HZM
M0HZN,Available,Amateur Full Radio Licence,HZN
M0HZO,Available,Amateur Full Radio Licence,HZO
M0HZP,Available,Amateur Full Radio Licence,HZP
M0HZQ,Available,Amateur Full Radio Licence,HZQ
M0HZR,Available,Amateur Full Radio Licence,HZR
M0HZU,Available,Amateur Full Radio Licence,HZU
M0HZV,Available,Amateur Full Radio Licence,HZV
M0HZW,Available,Amateur Full Radio Licence,HZW
M0HZX,Available,Amateur Full Radio Licence,HZX
M0HZY,Available,Amateur Full Radio Licence,HZY
M0HZZ,Available,Amateur Full Radio Licence,HZZ
M0IAO,Available,Amateur Full Radio Licence,IAO
M0IAQ,Available,Amateur Full Radio Licence,IAQ
M0IAU,Available,Amateur Full Radio Licence,IAU
M0IAV,Available,Amateur Full Radio Licence,IAV
M0IAW,Available,Amateur Full Radio Licence,IAW
M0IAX,Available,Amateur Full Radio Licence,IAX
M0IAY,Available,Amateur Full Radio Licence,IAY
M0IAZ,Available,Amateur Full Radio Licence,IAZ
M0IBB,Available,Amateur Full Radio Licence,IBB
M0IBD,Available,Amateur Full Radio Licence,IBD
M0IBF,Available,Amateur Full Radio Licence,IBF
M0IBG,Available,Amateur Full Radio Licence,IBG
M0IBH,Available,Amateur Full Radio Licence,IBH
M0IBI,Available,Amateur Full Radio Licence,IBI
M0IBJ,Available,Amateur Full Radio Licence,IBJ
M0IBK,Available,Amateur Full Radio Licence,IBK
M0IBN,Available,Amateur Full Radio Licence,IBN
M0IBO,Available,Amateur Full Radio Licence,IBO
M0IBP,Available,Amateur Full Radio Licence,IBP
M0IBQ,Available,Amateur Full Radio Licence,IBQ
M0IBR,Available,Amateur Full Radio Licence,IBR
M0IBS,Available,Amateur Full Radio Licence,IBS
M0IBT,Available,Amateur Full Radio Licence,IBT
M0IBU,Available,Amateur Full Radio Licence,IBU
M0IBV,Available,Amateur Full Radio Licence,IBV
M0IBW,Available,Amateur Full Radio Licence,IBW
M0IBX,Available,Amateur Full Radio Licence,IBX
M0IBY,Available,Amateur Full Radio Licence,IBY
M0ICF,Available,Amateur Full Radio Licence,ICF
M0ICG,Available,Amateur Full Radio Licence,ICG
M0ICH,Available,Amateur Full Radio Licence,ICH
M0ICI,Available,Amateur Full Radio Licence,ICI
M0ICL,Available,Amateur Full Radio Licence,ICL
M0ICN,Available,Amateur Full Radio Licence,ICN
M0ICV,Available,Amateur Full Radio Licence,ICV
M0ICX,Available,Amateur Full Radio Licence,ICX
