Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,0,HVN,M0HVN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVP,M0HVP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVQ,M0HVQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVR,M0HVR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVS,M0HVS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVT,M0HVT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVU,M0HVU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVV,M0HVV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVW,M0HVW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVX,M0HVX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVY,M0HVY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HVZ,M0HVZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWB,M0HWB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWD,M0HWD,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWE,M0HWE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWF,M0HWF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWG,M0HWG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWH,M0HWH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWI,M0HWI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWJ,M0HWJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWL,M0HWL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWO,M0HWO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWP,M0HWP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWQ,M0HWQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWT,M0HWT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWU,M0HWU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWV,M0HWV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWW,M0HWW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWX,M0HWX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HWZ,M0HWZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXA,M0HXA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXC,M0HXC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXD,M0HXD,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXF,M0HXF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXG,M0HXG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXH,M0HXH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXI,M0HXI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXJ,M0HXJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXK,M0HXK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXL,M0HXL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXM,M0HXM,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXN,M0HXN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXO,M0HXO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXP,M0HXP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXQ,M0HXQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXR,M0HXR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXS,M0HXS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXU,M0HXU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXV,M0HXV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXW,M0HXW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXX,M0HXX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXY,M0HXY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HXZ,M0HXZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYA,M0HYA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYB,M0HYB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYF,M0HYF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYG,M0HYG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYH,M0HYH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYI,M0HYI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYJ,M0HYJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYK,M0HYK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYL,M0HYL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYM,M0HYM,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYN,M0HYN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYO,M0HYO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYQ,M0HYQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYS,M0HYS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYU,M0HYU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYV,M0HYV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYW,M0HYW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYX,M0HYX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYY,M0HYY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HYZ,M0HYZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZA,M0HZA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZB,M0HZB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZC,M0HZC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZD,M0HZD,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZE,M0HZE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZF,M0HZF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZG,M0HZG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZH,M0HZH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZI,M0HZI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZJ,M0HZJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZK,M0HZK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZM,M0HZM,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZN,M0HZN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZO,M0HZO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZP,M0HZP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZQ,M0HZQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZR,M0HZR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZU,M0HZU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZV,M0HZV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZW,M0HZW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZX,M0HZX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZY,M0HZY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,HZZ,M0HZZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAO,M0IAO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAQ,M0IAQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAU,M0IAU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAV,M0IAV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAW,M0IAW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAX,M0IAX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAY,M0IAY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IAZ,M0IAZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBB,M0IBB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBD,M0IBD,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBF,M0IBF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBG,M0IBG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBH,M0IBH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBI,M0IBI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBJ,M0IBJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBK,M0IBK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBN,M0IBN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IBO,M0IBO,Call Sign,Amateur Full Radio Licence,Available,N
