Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,6,FNT,M6FNT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FNU,M6FNU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FNV,M6FNV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FNW,M6FNW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FNX,M6FNX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FNY,M6FNY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FNZ,M6FNZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOE,M6FOE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOH,M6FOH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOI,M6FOI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOK,M6FOK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOL,M6FOL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOQ,M6FOQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOT,M6FOT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOV,M6FOV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FOW,M6FOW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPA,M6FPA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPB,M6FPB,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPH,M6FPH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPI,M6FPI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPJ,M6FPJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPL,M6FPL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPM,M6FPM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPN,M6FPN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPP,M6FPP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPQ,M6FPQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPR,M6FPR,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPT,M6FPT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FPU,M6FPU,Call Sign,Amateur Foundation Radio Licence,Available,N
