Country,Current Series,Reference,Value,Type,Product,Status
2,0,DQF,20DQF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQG,20DQG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQH,20DQH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQI,20DQI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQJ,20DQJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQK,20DQK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQL,20DQL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQM,20DQM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQN,20DQN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQO,20DQO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQQ,20DQQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQT,20DQT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQU,20DQU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQV,20DQV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQW,20DQW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQX,20DQX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DQZ,20DQZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DRI,20DRI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DRJ,20DRJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DRL,20DRL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DSD,20DSD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DSQ,20DSQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DSU,20DSU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DSV,20DSV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DSX,20DSX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DSY,20DSY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DSZ,20DSZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DTF,20DTF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DTJ,20DTJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DTP,20DTP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DTQ,20DTQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DTS,20DTS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DTU,20DTU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DTY,20DTY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUA,20DUA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUE,20DUE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUF,20DUF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUH,20DUH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUI,20DUI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUJ,20DUJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUM,20DUM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUP,20DUP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUQ,20DUQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUS,20DUS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUT,20DUT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUU,20DUU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUV,20DUV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUW,20DUW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUX,20DUX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUY,20DUY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DUZ,20DUZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVF,20DVF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVI,20DVI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVJ,20DVJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVM,20DVM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVO,20DVO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVQ,20DVQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVR,20DVR,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVS,20DVS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVT,20DVT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVU,20DVU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVV,20DVV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVW,20DVW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVY,20DVY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DVZ,20DVZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWD,20DWD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWE,20DWE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWF,20DWF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWG,20DWG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWH,20DWH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWK,20DWK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWO,20DWO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWQ,20DWQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWU,20DWU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWV,20DWV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DWW,20DWW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXE,20DXE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXH,20DXH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXJ,20DXJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXK,20DXK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXL,20DXL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXQ,20DXQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXS,20DXS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXW,20DXW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DXZ,20DXZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYA,20DYA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYE,20DYE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYF,20DYF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYG,20DYG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYH,20DYH,Call Sign,Amateur Intermediate Radio Licence,Available
