callsign,status,licence_class,suffix
2015-06-20,Available,Amateur Intermediate Radio Licence,JUN
2015-09-20,Available,Amateur Intermediate Radio Licence,SEP
2015-10-20,Available,Amateur Intermediate Radio Licence,OCT
2015-11-20,Available,Amateur Intermediate Radio Licence,NOV
20DQF,Available,Amateur Intermediate Radio Licence,DQF
20DQG,Available,Amateur Intermediate Radio Licence,DQG
20DQH,Available,Amateur Intermediate Radio Licence,DQH
20DQI,Available,Amateur Intermediate Radio Licence,DQI
20DQJ,Available,Amateur Intermediate Radio Licence,DQJ
20DQK,Available,Amateur Intermediate Radio Licence,DQK
20DQL,Available,Amateur Intermediate Radio Licence,DQL
20DQM,Available,Amateur Intermediate Radio Licence,DQM
20DQN,Available,Amateur Intermediate Radio Licence,DQN
20DQO,Available,Amateur Intermediate Radio Licence,DQO
20DQQ,Available,Amateur Intermediate Radio Licence,DQQ
20DQT,Available,Amateur Intermediate Radio Licence,DQT
20DQU,Available,Amateur Intermediate Radio Licence,DQU
20DQV,Available,Amateur Intermediate Radio Licence,DQV
20DQW,Available,Amateur Intermediate Radio Licence,DQW
20DQX,Available,Amateur Intermediate Radio Licence,DQX
20DQZ,Available,Amateur Intermediate Radio Licence,DQZ
20DRI,Available,Amateur Intermediate Radio Licence,DRI
20DRJ,Available,Amateur Intermediate Radio Licence,DRJ
20DRL,Available,Amateur Intermediate Radio Licence,DRL
20DSD,Available,Amateur Intermediate Radio Licence,DSD
20DSQ,Available,Amateur Intermediate Radio Licence,DSQ
20DSU,Available,Amateur Intermediate Radio Licence,DSU
20DSV,Available,Amateur Intermediate Radio Licence,DSV
20DSX,Available,Amateur Intermediate Radio Licence,DSX
20DSY,Available,Amateur Intermediate Radio Licence,DSY
20DSZ,Available,Amateur Intermediate Radio Licence,DSZ
20DTF,Available,Amateur Intermediate Radio Licence,DTF
20DTJ,Available,Amateur Intermediate Radio Licence,DTJ
20DTP,Available,Amateur Intermediate Radio Licence,DTP
20DTQ,Available,Amateur Intermediate Radio Licence,DTQ
20DTS,Available,Amateur Intermediate Radio Licence,DTS
20DTU,Available,Amateur Intermediate Radio Licence,DTU
20DTY,Available,Amateur Intermediate Radio Licence,DTY
20DUA,Available,Amateur Intermediate Radio Licence,DUA
20DUE,Available,Amateur Intermediate Radio Licence,DUE
20DUF,Available,Amateur Intermediate Radio Licence,DUF
20DUH,Available,Amateur Intermediate Radio Licence,DUH
20DUI,Available,Amateur Intermediate Radio Licence,DUI
20DUJ,Available,Amateur Intermediate Radio Licence,DUJ
