callsign,status,licence_class,suffix
,Available,Amateur Full Radio Licence,
,Available,Amateur Full Radio Licence,
2016-06-20,Available,Amateur Intermediate Radio Licence,JUN
2016-09-20,Available,Amateur Intermediate Radio Licence,SEP
2016-10-20,Available,Amateur Intermediate Radio Licence,OCT
2016-11-20,Available,Amateur Intermediate Radio Licence,NOV
20DTU,Available,Amateur Intermediate Radio Licence,DTU
20DTY,Available,Amateur Intermediate Radio Licence,DTY
20DUA,Available,Amateur Intermediate Radio Licence,DUA
20DUE,Available,Amateur Intermediate Radio Licence,DUE
20DUF,Available,Amateur Intermediate Radio Licence,DUF
20DUH,Available,Amateur Intermediate Radio Licence,DUH
20DUI,Available,Amateur Intermediate Radio Licence,DUI
20DUJ,Available,Amateur Intermediate Radio Licence,DUJ
20DUM,Available,Amateur Intermediate Radio Licence,DUM
20DUP,Available,Amateur Intermediate Radio Licence,DUP
20DUQ,Available,Amateur Intermediate Radio Licence,DUQ
20DUS,Available,Amateur Intermediate Radio Licence,DUS
20DUT,Available,Amateur Intermediate Radio Licence,DUT
20DUU,Available,Amateur Intermediate Radio Licence,DUU
20DUV,Available,Amateur Intermediate Radio Licence,DUV
20DUW,Available,Amateur Intermediate Radio Licence,DUW
20DUX,Available,Amateur Intermediate Radio Licence,DUX
20DUY,Available,Amateur Intermediate Radio Licence,DUY
20DUZ,Available,Amateur Intermediate Radio Licence,DUZ
20DVF,Available,Amateur Intermediate Radio Licence,DVF
20DVI,Available,Amateur Intermediate Radio Licence,DVI
20DVJ,Available,Amateur Intermediate Radio Licence,DVJ
20DVM,Available,Amateur Intermediate Radio Licence,DVM
20DVO,Available,Amateur Intermediate Radio Licence,DVO
20DVQ,Available,Amateur Intermediate Radio Licence,DVQ
20DVR,Available,Amateur Intermediate Radio Licence,DVR
20DVS,Available,Amateur Intermediate Radio Licence,DVS
20DVT,Available,Amateur Intermediate Radio Licence,DVT
20DVU,Available,Amateur Intermediate Radio Licence,DVU
20DVV,Available,Amateur Intermediate Radio Licence,DVV
20DVW,Available,Amateur Intermediate Radio Licence,DVW
20DVY,Available,Amateur Intermediate Radio Licence,DVY
20DVZ,Available,Amateur Intermediate Radio Licence,DVZ
20DWD,Available,Amateur Intermediate Radio Licence,DWD
20DWE,Available,Amateur Intermediate Radio Licence,DWE
20DWG,Available,Amateur Intermediate Radio Licence,DWG
20DWH,Available,Amateur Intermediate Radio Licence,DWH
20DWK,Available,Amateur Intermediate Radio Licence,DWK
20DWO,Available,Amateur Intermediate Radio Licence,DWO
20DWQ,Available,Amateur Intermediate Radio Licence,DWQ
20DWU,Available,Amateur Intermediate Radio Licence,DWU
20DWV,Available,Amateur Intermediate Radio Licence,DWV
20DWW,Available,Amateur Intermediate Radio Licence,DWW
20DXE,Available,Amateur Intermediate Radio Licence,DXE
20DXH,Available,Amateur Intermediate Radio Licence,DXH
20DXJ,Available,Amateur Intermediate Radio Licence,DXJ
20DXL,Available,Amateur Intermediate Radio Licence,DXL
20DXQ,Available,Amateur Intermediate Radio Licence,DXQ
20DXS,Available,Amateur Intermediate Radio Licence,DXS
20DXW,Available,Amateur Intermediate Radio Licence,DXW
20DXZ,Available,Amateur Intermediate Radio Licence,DXZ
20DYA,Available,Amateur Intermediate Radio Licence,DYA
20DYE,Available,Amateur Intermediate Radio Licence,DYE
20DYF,Available,Amateur Intermediate Radio Licence,DYF
20DYG,Available,Amateur Intermediate Radio Licence,DYG
20DYH,Available,Amateur Intermediate Radio Licence,DYH
20DYI,Available,Amateur Intermediate Radio Licence,DYI
20DYJ,Available,Amateur Intermediate Radio Licence,DYJ
20DYK,Available,Amateur Intermediate Radio Licence,DYK
20DYL,Available,Amateur Intermediate Radio Licence,DYL
20DYN,Available,Amateur Intermediate Radio Licence,DYN
20DYO,Available,Amateur Intermediate Radio Licence,DYO
20DYP,Available,Amateur Intermediate Radio Licence,DYP
20DYQ,Available,Amateur Intermediate Radio Licence,DYQ
20DYR,Available,Amateur Intermediate Radio Licence,DYR
20DYS,Available,Amateur Intermediate Radio Licence,DYS
20DYT,Available,Amateur Intermediate Radio Licence,DYT
20DYU,Available,Amateur Intermediate Radio Licence,DYU
20DYV,Available,Amateur Intermediate Radio Licence,DYV
20DYW,Available,Amateur Intermediate Radio Licence,DYW
20DYX,Available,Amateur Intermediate Radio Licence,DYX
20DYY,Available,Amateur Intermediate Radio Licence,DYY
20DZA,Available,Amateur Intermediate Radio Licence,DZA
20DZB,Available,Amateur Intermediate Radio Licence,DZB
20DZC,Available,Amateur Intermediate Radio Licence,DZC
20DZD,Available,Amateur Intermediate Radio Licence,DZD
20DZE,Available,Amateur Intermediate Radio Licence,DZE
20DZF,Available,Amateur Intermediate Radio Licence,DZF
20DZG,Available,Amateur Intermediate Radio Licence,DZG
20DZH,Available,Amateur Intermediate Radio Licence,DZH
20DZI,Available,Amateur Intermediate Radio Licence,DZI
20DZJ,Available,Amateur Intermediate Radio Licence,DZJ
20DZK,Available,Amateur Intermediate Radio Licence,DZK
20DZM,Available,Amateur Intermediate Radio Licence,DZM
20DZN,Available,Amateur Intermediate Radio Licence,DZN
20DZO,Available,Amateur Intermediate Radio Licence,DZO
20DZP,Available,Amateur Intermediate Radio Licence,DZP
20DZQ,Available,Amateur Intermediate Radio Licence,DZQ
20DZR,Available,Amateur Intermediate Radio Licence,DZR
20DZT,Available,Amateur Intermediate Radio Licence,DZT
20DZW,Available,Amateur Intermediate Radio Licence,DZW
20DZX,Available,Amateur Intermediate Radio Licence,DZX
20DZY,Available,Amateur Intermediate Radio Licence,DZY
20EBH,Available,Amateur Intermediate Radio Licence,EBH
20EBI,Available,Amateur Intermediate Radio Licence,EBI
20EBP,Available,Amateur Intermediate Radio Licence,EBP
20EBQ,Available,Amateur Intermediate Radio Licence,EBQ
20EBU,Available,Amateur Intermediate Radio Licence,EBU
20EBW,Available,Amateur Intermediate Radio Licence,EBW
20EBX,Available,Amateur Intermediate Radio Licence,EBX
20EBY,Available,Amateur Intermediate Radio Licence,EBY
20EBZ,Available,Amateur Intermediate Radio Licence,EBZ
20ECB,Available,Amateur Intermediate Radio Licence,ECB
20ECE,Available,Amateur Intermediate Radio Licence,ECE
20ECF,Available,Amateur Intermediate Radio Licence,ECF
20ECH,Available,Amateur Intermediate Radio Licence,ECH
20ECJ,Available,Amateur Intermediate Radio Licence,ECJ
