Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag,Call Sign Application #,MMSI Application #
M,0,HYY,M0HYY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HYZ,M0HYZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZA,M0HZA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZB,M0HZB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZC,M0HZC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZD,M0HZD,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZE,M0HZE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZF,M0HZF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZG,M0HZG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZH,M0HZH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZI,M0HZI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZJ,M0HZJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZK,M0HZK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZM,M0HZM,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZN,M0HZN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZO,M0HZO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZP,M0HZP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZQ,M0HZQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZR,M0HZR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZU,M0HZU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZV,M0HZV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZW,M0HZW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZX,M0HZX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZY,M0HZY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,HZZ,M0HZZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAO,M0IAO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAQ,M0IAQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAU,M0IAU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAV,M0IAV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAW,M0IAW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAX,M0IAX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAY,M0IAY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IAZ,M0IAZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBB,M0IBB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBD,M0IBD,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBF,M0IBF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBG,M0IBG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBH,M0IBH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBI,M0IBI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBJ,M0IBJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBK,M0IBK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBN,M0IBN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBO,M0IBO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBP,M0IBP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBQ,M0IBQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBR,M0IBR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBS,M0IBS,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBT,M0IBT,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBU,M0IBU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBV,M0IBV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBW,M0IBW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBX,M0IBX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IBY,M0IBY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICF,M0ICF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICG,M0ICG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICH,M0ICH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICI,M0ICI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICL,M0ICL,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICN,M0ICN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICV,M0ICV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICX,M0ICX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ICZ,M0ICZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDC,M0IDC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDE,M0IDE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDF,M0IDF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDH,M0IDH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDJ,M0IDJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDN,M0IDN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDO,M0IDO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDP,M0IDP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDQ,M0IDQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDS,M0IDS,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDV,M0IDV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDW,M0IDW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDY,M0IDY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IDZ,M0IDZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEA,M0IEA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEB,M0IEB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEC,M0IEC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEF,M0IEF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEG,M0IEG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEH,M0IEH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEK,M0IEK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEM,M0IEM,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEP,M0IEP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEQ,M0IEQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IER,M0IER,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IES,M0IES,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEU,M0IEU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEV,M0IEV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEW,M0IEW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEX,M0IEX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEY,M0IEY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IEZ,M0IEZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFA,M0IFA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFB,M0IFB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFC,M0IFC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFD,M0IFD,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFE,M0IFE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFG,M0IFG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFI,M0IFI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFJ,M0IFJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFK,M0IFK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFM,M0IFM,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFN,M0IFN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFO,M0IFO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFP,M0IFP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFQ,M0IFQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFS,M0IFS,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFU,M0IFU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFV,M0IFV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFW,M0IFW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFX,M0IFX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFY,M0IFY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IFZ,M0IFZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGC,M0IGC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGE,M0IGE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGF,M0IGF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGH,M0IGH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGI,M0IGI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGJ,M0IGJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGK,M0IGK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGL,M0IGL,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGM,M0IGM,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGN,M0IGN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGO,M0IGO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGP,M0IGP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGQ,M0IGQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGT,M0IGT,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGU,M0IGU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGV,M0IGV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGW,M0IGW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGX,M0IGX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IGZ,M0IGZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHA,M0IHA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHB,M0IHB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHC,M0IHC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHF,M0IHF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHG,M0IHG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHH,M0IHH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHI,M0IHI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHJ,M0IHJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHK,M0IHK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHN,M0IHN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHP,M0IHP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IHQ,M0IHQ,Call Sign,Amateur Full Radio Licence,Available,N,,
