callsign,status,licence_class
20AAA,Allocated,Amateur Intermediate Radio Licence
20AAB,Allocated,Amateur Intermediate Radio Licence
20AAC,Allocated,Amateur Intermediate Radio Licence
20AAD,Allocated,Amateur Intermediate Radio Licence
20AAE,Allocated,Amateur Intermediate Radio Licence
20AAF,Allocated,Amateur Intermediate Radio Licence
20AAG,Allocated,Amateur Intermediate Radio Licence
20AAH,Allocated,Amateur Intermediate Radio Licence
20AAI,Allocated,Amateur Intermediate Radio Licence
20AAJ,Allocated,Amateur Intermediate Radio Licence
20AAK,Allocated,Amateur Intermediate Radio Licence
20AAL,Allocated,Amateur Intermediate Radio Licence
20AAM,Allocated,Amateur Intermediate Radio Licence
20AAN,Allocated,Amateur Intermediate Radio Licence
20AAO,Allocated,Amateur Intermediate Radio Licence
20AAP,Allocated,Amateur Intermediate Radio Licence
20AAQ,Allocated,Amateur Intermediate Radio Licence
20AAR,Allocated,Amateur Intermediate Radio Licence
20AAS,Allocated,Amateur Intermediate Radio Licence
20AAT,Allocated,
20AAU,Reserved,
20AAV,Reserved,
20AAW,Reserved,
20AAX,Reserved,Amateur Intermediate Radio Licence
20AAY,Allocated,
20AAZ,Reserved,Amateur Intermediate Radio Licence
20ABA,Allocated,
20ABB,Reserved,
20ABC,Reserved,
20ABD,Reserved,Amateur Intermediate Radio Licence
20ABE,Allocated,
20ABF,Reserved,
20ABG,Reserved,
20ABH,Reserved,
20ABI,Reserved,
20ABJ,Reserved,
20ABK,Reserved,
20ABL,Reserved,Amateur Intermediate Radio Licence
20ABM,Allocated,
20ABN,Reserved,Amateur Intermediate Radio Licence
20ABO,Reserved,
20ABP,Reserved,
20ABQ,Reserved,
20ABR,Reserved,
20ABS,Reserved,
20ABT,Reserved,Amateur Intermediate Radio Licence
20ABU,Allocated,
20ABV,Reserved,
20ABW,Reserved,Amateur Intermediate Radio Licence
20ABX,Allocated,
20ABY,Reserved,
20ABZ,Reserved,
20ACA,Reserved,Amateur Intermediate Radio Licence
20ACB,Allocated,
20ACC,Reserved,
20ACD,Reserved,Amateur Intermediate Radio Licence
