Call Sign,Final Status,SF List
G0ARC,Reserved,Amateur Club Radio Licence
G0BOA,Reserved,Amateur Club Radio Licence
G0BPC,Reserved,Amateur Club Radio Licence
G0BRR,Reserved,Amateur Club Radio Licence
G0CRW,Reserved,Amateur Club Radio Licence
G0DFS,Reserved,Amateur Club Radio Licence
G0DQE,Reserved,Amateur Club Radio Licence
G0ECC,Reserved,Amateur Club Radio Licence
G0ECD,Reserved,Amateur Club Radio Licence
G0ECR,Reserved,Amateur Club Radio Licence
G0ERA,Reserved,Amateur Club Radio Licence
G0FOS,Reserved,Amateur Club Radio Licence
G0FRG,Reserved,Amateur Club Radio Licence
G0GEC,Reserved,Amateur Club Radio Licence
G0HSE,Reserved,Amateur Club Radio Licence
G0KUT,Reserved,Amateur Club Radio Licence
G0MGP,Reserved,Amateur Club Radio Licence
G0OMY,Reserved,Amateur Club Radio Licence
G0OWX,Reserved,Amateur Club Radio Licence
G0PCS,Reserved,Amateur Club Radio Licence
G0REG,Reserved,Amateur Club Radio Licence
G0RWH,Reserved,Amateur Club Radio Licence
G0SAT,Reserved,Amateur Club Radio Licence
G0SGS,Reserved,Amateur Club Radio Licence
G0SIX,Reserved,Amateur Club Radio Licence
G0SJW,Reserved,Amateur Club Radio Licence
G0SMK,Reserved,Amateur Club Radio Licence
G0SNR,Reserved,Amateur Club Radio Licence
G0SWI,Reserved,Amateur Club Radio Licence
G0UJE,Reserved,Amateur Club Radio Licence
G0UJJ,Reserved,Amateur Club Radio Licence
G0UQA,Reserved,Amateur Club Radio Licence
G0UVY,Reserved,Amateur Club Radio Licence
G0VES,Reserved,Amateur Club Radio Licence
G0VOP,Reserved,Amateur Club Radio Licence
G0VYJ,Reserved,Amateur Club Radio Licence
G1PWH,Reserved,Amateur Club Radio Licence
G1WAR,Reserved,Amateur Club Radio Licence
G3CRC,Reserved,Amateur Club Radio Licence
G3EPV,Reserved,Amateur Club Radio Licence
G3KIN,Reserved,Amateur Club Radio Licence
G3KQB,Reserved,Amateur Club Radio Licence
G3TAD,Reserved,Amateur Club Radio Licence
G3TDI,Reserved,Amateur Club Radio Licence
G3UOK,Reserved,Amateur Club Radio Licence
G3XZW,Reserved,Amateur Club Radio Licence
G3YCW,Reserved,Amateur Club Radio Licence
G4EXG,Reserved,Amateur Club Radio Licence
G4IPA,Reserved,Amateur Club Radio Licence
G4LWT,Reserved,Amateur Club Radio Licence
