product,normalised_category
Amateur Full Radio Licence,Full
Full,Full
Amateur Foundation Radio Licence,Foundation
Foundation,Foundation
Amateur Intermediate Radio Licence,Intermediate
Intermediate,Intermediate
Amateur Club Radio Licence,Club
Amateur Temporary Reciprocal Radio Licence,Temporary Reciprocal
Amateur Full (Reciprocal) Radio Licence,Full Reciprocal
Special Event Station,Special Event Station
NoV Special Event Station,Special Event Station
NoV Special Special Event Station,Special Event Station
Perm Special Event Station,Permanent Special Event Station
NoV Permanent Special Event Station,Permanent Special Event Station
Special Research Permit,Special Research Permit
