match,pattern,group,verified,explanation
exact,ANAAA,core,yes,single-letter prefix + digit + three-letter suffix - the standard core callsign shape (G/M series)
exact,AANAAA,core,yes,standard core with a Regional Secondary Locator inserted (MW7... / GM0...)
exact,NANAAA,core,yes,2-format Intermediate with its mandatory-in-use RSL (2E0... / 2W1...)
exact,NNAAA,core,yes,2-format Intermediate core stored without the RSL (20... / 21...)
exact,ANAA,core,yes,heritage two-letter suffix (early G-series allocations)
exact,AANAA,core,yes,heritage two-letter suffix with a Regional Secondary Locator
exact,ANA,core,no,believed a contest / special-call shape (single-letter suffix) - not yet grounded in an Ofcom/RSGB citation
exact,AANA,core,no,believed a contest / special-call shape with a Regional Secondary Locator - not yet grounded in an Ofcom/RSGB citation
starts-with,A/,visitor,yes,visitor / temporary-reciprocal format - single-letter UK country prefix + / + home callsign
starts-with,AA/,visitor,yes,visitor / temporary-reciprocal format - two-letter UK country prefix + / + home callsign (see ADR 0005)
starts-with,AANNN,core,yes,GB special event series (GB + digits + suffix)
