scc_code,base_callsign,status,notes
G0A,GW4SKA,Issued,
G0B,M0BUL,Issued,
G0C,G0CER,Issued,
G0D,,Withdrawn,
G0E,,Available,
G0F,G5IAN,Issued,
G0G,,Available,
G0H,G0HEU,Issued,
G0I,,Available,
G0J,,Available,
G0K,,Available,
G0L,,Available,
G0M,,Available,
G0N,,Available,
G0O,,Available,
G0P,,Available,
G0Q,,Available,
G0R,,Available,
G0S,,Available,
G0T,,Available,
G0U,,Available,
G0V,GM0OQV,Issued,
G0W,G0VDZ,Issued,
G0X,,Available,
G0Y,,Available,
G0Z,G1RVD,Issued,
G1A,M0NKR,Issued,
G1B,,Withdrawn,
G1C,,Withdrawn,
G1D,M0AQM,Issued,
G1E,G1TPA,Issued,
G1F,M1AOB,Issued,
G1G,G4KIV,Issued,
G1H,,Available,
G1I,,Available,
G1J,MM0BQI,Issued,
G1K,M0RTQ,Issued,
G1L,,Available,
G1M,G0PZE,Issued,
G1N,G0URR,Issued,
G1O,,Available,
G1P,M0IEP,Issued,
G1Q,G8OO,Issued,
G1R,GM5RDX,Issued,
G1S,,Available,
G1T,GM0ULK,Issued,
G1U,,Available,
G1V,G4CZP,Issued,
G1W,M0HAO,Issued,
G1X,GM0HBF,Issued,
G1Y,,Available,
G1Z,,Available,
G2A,GJ3IT,Issued,
G2B,G8VVY,Issued,
G2C,,Withdrawn,
G2D,G3RAT,Issued,
G2E,G3AKX,Issued,
G2F,M0URL,Issued,
G2G,MM0DFV,Issued,
G2H,,Available,
G2I,,Available,
G2J,,Available,
G2K,,Withdrawn,
G2L,G3SVJ,Issued,
G2M,G0HDB,Issued,
G2N,G4ARN,Issued,
G2O,G0UVX,Issued,
G2P,G0JCC,Issued,
G2Q,,Available,
G2R,,Withdrawn,
G2S,GM3ZDH,Issued,
G2T,MM0CPS,Issued,
G2U,G0UGO,Issued,
G2V,GM3WOJ,Issued,
G2W,G4DBW,Issued,
G2X,G0DCK,Issued,
G2Y,MM0DXH,Issued,
G2Z,,Withdrawn,
G3A,GM3ARA,Issued,
G3B,G2DPQ,Issued,
G3C,,Withdrawn,
G3D,,Withdrawn,
G3E,,Available,
G3F,,Withdrawn,
G3G,G3XLG,Issued,
G3H,,Available,source-cell-remnant:status=Hoover GW3RDB 
G3I,,Available,
G3J,,withdrawn,status-noncanonical-case
